VALEUR,#isabelle,#colombine,#cassandre,#pierrot,#leandre,#ensemble,#colombine #pierrot,#tous,#leandre #isabelle
Fréquences (scènes),0.4166666666666667,0.6666666666666666,0.4166666666666667,0.4166666666666667,0.25,0.08333333333333333,0.08333333333333333,0.0,0.0
Fréquences(répliques),0.1883289124668435,0.27144120247568526,0.2581786030061892,0.17418213969938107,0.08488063660477453,0.005305039787798408,0.0008841732979664014,0.009725906277630416,0.007073386383731211
Confrontation,0.18181818181818182,0.22727272727272727,0.12121212121212122,0.18181818181818182,0.15151515151515152,0.06060606060606061,0.07575757575757576,0.0,0.0
Déviations,#isabelle,#colombine,#cassandre,#pierrot,#leandre,#ensemble,#colombine #pierrot,#tous,#leandre #isabelle
#isabelle,4.083333333333332,0.13333333333333347,0.003333333333333345,0.003333333333333345,0.45,0.8166666666666669,0.8166666666666669,0.0,0.0
#colombine,0.13333333333333328,1.3333333333333337,0.03333333333333336,0.13333333333333328,0.0,0.1666666666666667,0.1666666666666667,0.0,0.0
#cassandre,0.003333333333333345,0.03333333333333328,4.083333333333332,0.5633333333333335,0.05,0.41666666666666663,0.8166666666666669,0.0,0.0
#pierrot,0.003333333333333345,0.13333333333333347,0.5633333333333335,4.083333333333332,2.45,0.8166666666666669,0.8166666666666669,0.0,0.0
#leandre,0.45,0.0,0.05,2.45,6.75,2.25,2.25,0.0,0.0
#ensemble,0.8166666666666664,0.1666666666666667,0.4166666666666667,0.8166666666666664,2.25,10.083333333333332,0.08333333333333333,0.0,0.0
#colombine #pierrot,0.8166666666666664,0.1666666666666667,0.8166666666666664,0.8166666666666664,2.25,0.08333333333333333,10.083333333333332,0.0,0.0
#tous,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#tous,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Successions,#isabelle,#colombine,#cassandre,#pierrot,#leandre,#ensemble,#colombine #pierrot,#tous,#leandre #isabelle
#isabelle,0.0,0.4626865671641791,0.19402985074626866,0.07462686567164178,0.2537313432835821,0.0,0.014925373134328358,0.0,0.0
#colombine,0.21641791044776118,0.014925373134328358,0.30597014925373134,0.4253731343283582,0.022388059701492536,0.007462686567164179,0.0,0.0,0.007462686567164179
#cassandre,0.234375,0.5625,0.046875,0.0625,0.078125,0.0,0.0,0.015625,0.0
#pierrot,0.06329113924050633,0.7721518987341772,0.02531645569620253,0.0,0.13924050632911392,0.0,0.0,0.0,0.0
#leandre,0.4722222222222222,0.08333333333333333,0.1111111111111111,0.3333333333333333,0.0,0.0,0.0,0.0,0.0
#ensemble,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#ensemble,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#tous,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#leandre #isabelle,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
