VALEUR,#bonhommes,#garnement,#fadeze,#l-alzire,#matamore,#negrillon,#le-garde,#negritte
Fréquences (scènes),0.24,0.28,0.16,0.56,0.52,0.12,0.16,0.12
Fréquences(répliques),0.17032967032967034,0.1620879120879121,0.09340659340659341,0.25961538461538464,0.2087912087912088,0.03708791208791209,0.054945054945054944,0.013736263736263736
Confrontation,0.13513513513513514,0.16216216216216217,0.06756756756756757,0.21621621621621623,0.22972972972972974,0.04054054054054054,0.08108108108108109,0.06756756756756757
Déviations,#bonhommes,#garnement,#fadeze,#l-alzire,#matamore,#negrillon,#le-garde,#negritte
#bonhommes,14.440000000000005,1.0371428571428567,0.0016666666666666698,0.5504761904761907,0.004615384615384624,0.72,0.96,0.10888888888888891
#garnement,1.0371428571428567,12.959999999999992,1.12,0.001632653061224456,0.11252747252747271,0.8400000000000001,0.01285714285714288,0.03047619047619044
#fadeze,0.0016666666666666698,1.12,17.639999999999997,0.6864285714285716,0.0030769230769230826,0.48,0.20249999999999999,0.48
#l-alzire,0.5504761904761907,0.001632653061224456,0.6864285714285716,4.839999999999996,1.4778021978021985,1.6800000000000002,0.02571428571428576,1.0371428571428567
#matamore,0.004615384615384624,0.11252747252747271,0.0030769230769230826,1.4778021978021985,5.760000000000001,1.3292307692307692,0.0030769230769230826,1.56
#negrillon,0.72,0.8400000000000001,0.48,1.6800000000000002,1.3292307692307692,19.360000000000003,0.48,0.36
#le-garde,0.96,0.01285714285714288,0.20249999999999999,0.02571428571428576,0.0030769230769230826,0.48,17.639999999999997,0.48
#negritte,0.10888888888888891,0.03047619047619044,0.48,1.0371428571428567,1.56,0.36,0.48,19.360000000000003
Successions,#bonhommes,#garnement,#fadeze,#l-alzire,#matamore,#negrillon,#le-garde,#negritte
#bonhommes,0.0,0.25806451612903225,0.1935483870967742,0.0,0.4838709677419355,0.03225806451612903,0.0,0.03225806451612903
#garnement,0.5217391304347826,0.0,0.043478260869565216,0.2608695652173913,0.13043478260869565,0.0,0.043478260869565216,0.0
#fadeze,0.19230769230769232,0.038461538461538464,0.0,0.23076923076923078,0.46153846153846156,0.0,0.07692307692307693,0.0
#l-alzire,0.07142857142857142,0.16666666666666666,0.11904761904761904,0.023809523809523808,0.35714285714285715,0.0,0.21428571428571427,0.047619047619047616
#matamore,0.21818181818181817,0.09090909090909091,0.23636363636363636,0.2909090909090909,0.01818181818181818,0.12727272727272726,0.01818181818181818,0.0
#negrillon,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
#le-garde,0.0,0.07692307692307693,0.07692307692307693,0.6923076923076923,0.07692307692307693,0.0,0.0,0.07692307692307693
#negritte,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
