VALEUR,#herode,#thare,#pherore,#salome,#mariane,#dina,#l-echanson,#huissier,#premier-juge,#second-juge,#le-grand-prevot,#soesme,#l-eunuque,#le-concierge,#alexandra,#le-chevalier-d-honneur,#narbal
Fréquences (scènes),0.6666666666666666,0.25,0.2916666666666667,0.4166666666666667,0.2916666666666667,0.08333333333333333,0.125,0.041666666666666664,0.041666666666666664,0.041666666666666664,0.08333333333333333,0.041666666666666664,0.041666666666666664,0.041666666666666664,0.08333333333333333,0.041666666666666664,0.125
Fréquences(répliques),0.49641478212906787,0.009376723662437948,0.06508549365692223,0.12906784335355764,0.14065085493656923,0.026475455046883617,0.02206287920573635,0.002206287920573635,0.0011031439602868175,0.0011031439602868175,0.0011031439602868175,0.01820187534473249,0.001654715940430226,0.0027578599007170436,0.0253723110865968,0.0005515719801434088,0.0568119139547711
Confrontation,0.18181818181818182,0.10227272727272728,0.13068181818181818,0.1590909090909091,0.07954545454545454,0.022727272727272728,0.06818181818181818,0.022727272727272728,0.03977272727272727,0.03977272727272727,0.05113636363636364,0.011363636363636364,0.005681818181818182,0.005681818181818182,0.022727272727272728,0.005681818181818182,0.05113636363636364
Déviations,#herode,#thare,#pherore,#salome,#mariane,#dina,#l-echanson,#huissier,#premier-juge,#second-juge,#le-grand-prevot,#soesme,#l-eunuque,#le-concierge,#alexandra,#le-chevalier-d-honneur,#narbal
#herode,2.6666666666666674,0.0,1.1666666666666663,0.26666666666666655,2.8809523809523814,1.3333333333333333,0.0,0.1666666666666667,0.1666666666666667,0.1666666666666667,0.3333333333333334,0.1666666666666667,0.1666666666666667,0.6666666666666666,1.3333333333333333,0.6666666666666666,0.5
#thare,0.0,13.5,0.8928571428571429,0.1,0.03571428571428571,0.5,0.08333333333333333,2.25,0.25,0.25,0.5,0.25,0.25,0.25,0.5,0.25,2.0833333333333335
#pherore,1.1666666666666674,0.8928571428571429,12.041666666666664,3.2595238095238086,0.5314625850340139,0.5833333333333333,0.017857142857142856,0.29166666666666663,1.7202380952380956,1.7202380952380956,0.2976190476190477,0.29166666666666663,0.29166666666666663,0.29166666666666663,0.5833333333333333,0.29166666666666663,1.4464285714285714
#salome,0.26666666666666694,0.1,3.2595238095238086,8.166666666666664,0.28809523809523824,0.8333333333333333,2.45,0.8166666666666669,0.8166666666666669,0.8166666666666669,0.03333333333333337,0.41666666666666663,0.41666666666666663,0.41666666666666663,0.8333333333333333,0.41666666666666663,0.45
#mariane,2.88095238095238,0.03571428571428571,0.5314625850340139,0.28809523809523824,12.041666666666664,3.440476190476191,0.017857142857142856,0.29166666666666663,1.7202380952380956,1.7202380952380956,0.2976190476190477,0.29166666666666663,0.29166666666666663,1.7202380952380956,0.2976190476190477,0.29166666666666663,0.875
#dina,1.3333333333333333,0.5,0.5833333333333334,0.8333333333333334,3.44047619047619,20.166666666666664,0.25,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.16666666666666666,0.08333333333333333,0.08333333333333333,0.08333333333333333,4.166666666666668,0.08333333333333333,0.25
#l-echanson,0.0,0.08333333333333333,0.017857142857142856,2.45,0.017857142857142856,0.25,18.375,6.125,6.125,6.125,2.25,0.125,0.125,0.125,0.25,0.125,0.375
