VALEUR,#pollux,#jason,#creuse,#cleone,#medee,#nerine,#creon,#aegee,#theudas
Fréquences (scènes),0.12,0.4,0.24,0.16,0.4,0.24,0.24,0.12,0.04
Fréquences(répliques),0.05143906919779547,0.24617268830373545,0.10104102878138396,0.019595835884874464,0.3306797305572566,0.07532149418248622,0.10716472749540723,0.05143906919779547,0.017146356399265157
Confrontation,0.06896551724137931,0.1896551724137931,0.1724137931034483,0.13793103448275862,0.15517241379310345,0.08620689655172414,0.13793103448275862,0.034482758620689655,0.017241379310344827
Déviations,#pollux,#jason,#creuse,#cleone,#medee,#nerine,#creon,#aegee,#theudas
#pollux,19.360000000000003,0.03333333333333339,0.72,0.5633333333333335,1.2000000000000002,0.72,2.2755555555555556,0.36,0.12
#jason,0.03333333333333332,9.0,1.0666666666666669,0.09999999999999995,1.0,0.8166666666666665,0.8166666666666665,1.2,0.4000000000000001
#creuse,0.72,1.066666666666666,14.440000000000005,4.335,2.4000000000000004,1.44,0.21777777777777782,0.10888888888888891,0.24
#cleone,0.5633333333333335,0.09999999999999995,4.335,17.639999999999997,1.6000000000000003,0.96,1.126666666666667,0.48,0.16
#medee,1.2,1.0,2.4,1.6000000000000003,9.0,1.0666666666666669,0.8166666666666665,0.03333333333333332,0.8999999999999999
#nerine,0.72,0.816666666666667,1.44,0.96,1.066666666666666,14.440000000000005,1.44,0.72,0.24
#creon,2.2755555555555556,0.816666666666667,0.21777777777777782,1.126666666666667,0.816666666666667,1.44,14.440000000000005,0.72,0.24
#aegee,0.36,1.2000000000000002,0.10888888888888891,0.48,0.03333333333333339,0.72,0.72,19.360000000000003,0.12
#theudas,0.12,0.4000000000000001,0.24,0.16,0.8999999999999999,0.24,0.24,0.12,23.04
Successions,#pollux,#jason,#creuse,#cleone,#medee,#nerine,#creon,#aegee,#theudas
#pollux,0.0,0.5789473684210527,0.0,0.05263157894736842,0.0,0.0,0.3684210526315789,0.0,0.0
#jason,0.2727272727272727,0.022727272727272728,0.1590909090909091,0.022727272727272728,0.4318181818181818,0.06818181818181818,0.022727272727272728,0.0,0.0
#creuse,0.0,0.35,0.0,0.15,0.0,0.0,0.35,0.15,0.0
#cleone,0.125,0.125,0.5,0.0,0.0,0.0,0.25,0.0,0.0
#medee,0.0,0.3508771929824561,0.0,0.017543859649122806,0.03508771929824561,0.2807017543859649,0.14035087719298245,0.08771929824561403,0.08771929824561403
#nerine,0.0,0.09523809523809523,0.0,0.0,0.8095238095238095,0.047619047619047616,0.0,0.047619047619047616,0.0
#creon,0.25,0.03571428571428571,0.17857142857142858,0.07142857142857142,0.35714285714285715,0.03571428571428571,0.07142857142857142,0.0,0.0
#aegee,0.0,0.0,0.4,0.0,0.4,0.0,0.1,0.1,0.0
#theudas,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
