VALEUR,#valere,#madame-grognac,#lisette,#isabelle,#le-chevalier,#carlin,#leandre,#clarice,#laquais,#cerlin
Fréquences (scènes),0.2153846153846154,0.15384615384615385,0.3384615384615385,0.2153846153846154,0.26153846153846155,0.4461538461538462,0.4153846153846154,0.26153846153846155,0.015384615384615385,0.015384615384615385
Fréquences(répliques),0.09015971148892324,0.10303967027305512,0.12210200927357033,0.05512622359608449,0.18083462132921174,0.21226172076249356,0.16950025759917567,0.06543019062339,0.0005151983513652757,0.0010303967027305513
Confrontation,0.10810810810810811,0.08445945945945946,0.12837837837837837,0.13175675675675674,0.13851351351351351,0.14527027027027026,0.14189189189189189,0.11824324324324324,0.0033783783783783786,0.0
Déviations,#valere,#madame-grognac,#lisette,#isabelle,#le-chevalier,#carlin,#leandre,#clarice,#laquais,#cerlin
#valere,40.01538461538462,10.90384615384615,0.3358641358641358,1.3062009419152276,1.4934712346477048,2.8865479348237972,2.5032153032153035,0.03128636069812534,0.21538461538461537,0.21538461538461537
#madame-grognac,10.90384615384615,46.53846153846153,0.7709790209790206,3.760989010989009,0.7330316742081447,2.6856763925729443,1.116809116809117,0.9977375565610861,0.15384615384615385,0.15384615384615385
#lisette,0.3358641358641358,0.7709790209790206,28.446153846153845,5.842357642357642,1.8313862607980256,3.445478659271763,5.5761719761719775,2.449033319621555,0.3384615384615385,0.3384615384615385
#isabelle,1.3062009419152276,3.760989010989009,5.842357642357642,40.01538461538462,5.140530058177116,0.8077302008336491,1.3630036630036635,0.03128636069812534,0.21538461538461537,0.21538461538461537
#le-chevalier,1.4934712346477048,0.7330316742081447,1.8313862607980256,5.140530058177116,35.44615384615385,2.771227960680294,1.3273336685101396,1.4669150918285863,0.26153846153846155,0.26153846153846155
#carlin,2.8865479348237972,2.6856763925729443,3.445478659271763,0.8077302008336491,2.771227960680294,19.93846153846154,5.251773258669811,0.02274925885473546,0.6875331564986739,0.4461538461538462
#leandre,2.5032153032153035,1.116809116809117,5.5761719761719775,1.3630036630036635,1.3273336685101396,5.251773258669811,22.21538461538461,0.5321266968325787,0.4153846153846154,0.4153846153846154
#clarice,0.03128636069812534,0.9977375565610861,2.449033319621555,0.03128636069812534,1.4669150918285863,0.02274925885473546,0.5321266968325787,35.44615384615385,0.26153846153846155,0.26153846153846155
#laquais,0.21538461538461537,0.15384615384615385,0.3384615384615385,0.21538461538461537,0.26153846153846155,0.6875331564986739,0.4153846153846154,0.26153846153846155,63.01538461538462,0.015384615384615385
#cerlin,0.21538461538461537,0.15384615384615385,0.3384615384615385,0.21538461538461537,0.26153846153846155,0.4461538461538462,0.4153846153846154,0.26153846153846155,0.015384615384615385,63.01538461538462
Successions,#valere,#madame-grognac,#lisette,#isabelle,#le-chevalier,#carlin,#leandre,#clarice,#laquais,#cerlin
#valere,0.015384615384615385,0.47692307692307695,0.12307692307692308,0.015384615384615385,0.2153846153846154,0.07692307692307693,0.015384615384615385,0.06153846153846154,0.0,0.0
#madame-grognac,0.35526315789473684,0.02631578947368421,0.23684210526315788,0.11842105263157894,0.14473684210526316,0.06578947368421052,0.05263157894736842,0.0,0.0,0.0
#lisette,0.06930693069306931,0.1485148514851485,0.0297029702970297,0.15841584158415842,0.2376237623762376,0.25742574257425743,0.07920792079207921,0.019801980198019802,0.0,0.0
#isabelle,0.09803921568627451,0.13725490196078433,0.3137254901960784,0.0,0.19607843137254902,0.11764705882352941,0.09803921568627451,0.0392156862745098,0.0,0.0
#le-chevalier,0.17307692307692307,0.125,0.19230769230769232,0.10576923076923077,0.009615384615384616,0.09615384615384616,0.18269230769230768,0.11538461538461539,0.0,0.0
#carlin,0.028985507246376812,0.028985507246376812,0.18115942028985507,0.036231884057971016,0.07246376811594203,0.06521739130434782,0.4855072463768116,0.09420289855072464,0.007246376811594203,0.0
#leandre,0.008,0.032,0.072,0.048,0.152,0.488,0.016,0.184,0.0,0.0
#clarice,0.05172413793103448,0.0,0.034482758620689655,0.05172413793103448,0.25862068965517243,0.25862068965517243,0.29310344827586204,0.034482758620689655,0.0,0.017241379310344827
#laquais,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
#laquais,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
