VALEUR,#frontin,#trivelin,#le-chevalier,#arlequin,#lelio,#la-comtesse,#le-chanteur,#un-paysan,#mathurine,#un-valet,#trivelin #arlequin
Fréquences (scènes),0.1,0.4,0.6333333333333333,0.16666666666666666,0.5333333333333333,0.23333333333333334,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.03333333333333333
Fréquences(répliques),0.0,0.0,0.31313131313131315,0.0,0.0,0.0,0.12121212121212122,0.10101010101010101,0.46464646464646464,0.0,0.0
Confrontation,0.02727272727272727,0.14545454545454545,0.24545454545454545,0.08181818181818182,0.23636363636363636,0.11818181818181818,0.02727272727272727,0.02727272727272727,0.02727272727272727,0.02727272727272727,0.03636363636363636
Déviations,#frontin,#trivelin,#le-chevalier,#arlequin,#lelio,#la-comtesse,#le-chanteur,#un-paysan,#mathurine,#un-valet,#trivelin #arlequin
#frontin,24.3,0.533333333333333,0.42631578947368415,0.5,1.6000000000000003,0.7,0.10000000000000002,0.10000000000000002,0.10000000000000002,0.10000000000000002,0.10000000000000002
#trivelin,0.533333333333333,10.799999999999995,0.8894736842105261,0.5,0.9000000000000002,1.157142857142857,0.4000000000000001,0.4000000000000001,0.4000000000000001,0.4000000000000001,0.8999999999999999
#le-chevalier,0.4263157894736843,0.8894736842105265,4.033333333333333,0.008771929824561387,0.0017543859649122684,0.5536340852130324,0.6333333333333333,0.6333333333333333,0.6333333333333333,0.21228070175438601,0.21228070175438601
#arlequin,0.5,0.5,0.008771929824561387,20.83333333333334,0.041666666666666706,1.1666666666666667,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666
#lelio,1.6000000000000003,0.9000000000000002,0.0017543859649122684,0.041666666666666706,6.533333333333334,0.01904761904761904,0.4083333333333334,0.4083333333333334,0.4083333333333334,0.4083333333333334,0.4083333333333334
#la-comtesse,0.7000000000000001,1.1571428571428575,0.5536340852130324,1.1666666666666665,0.01904761904761904,17.633333333333336,0.23333333333333334,0.23333333333333334,0.23333333333333334,2.519047619047619,2.519047619047619
#le-chanteur,0.10000000000000002,0.4000000000000001,0.6333333333333333,0.16666666666666666,0.4083333333333334,0.23333333333333334,28.03333333333333,28.03333333333333,28.03333333333333,0.03333333333333333,0.03333333333333333
#le-chanteur,0.10000000000000002,0.4000000000000001,0.6333333333333333,0.16666666666666666,0.4083333333333334,0.23333333333333334,28.03333333333333,28.03333333333333,28.03333333333333,0.03333333333333333,0.03333333333333333
#le-chanteur,0.10000000000000002,0.4000000000000001,0.6333333333333333,0.16666666666666666,0.4083333333333334,0.23333333333333334,28.03333333333333,28.03333333333333,28.03333333333333,0.03333333333333333,0.03333333333333333
#un-valet,0.10000000000000002,0.4000000000000001,0.21228070175438601,0.16666666666666666,0.4083333333333334,2.519047619047619,0.03333333333333333,0.03333333333333333,0.03333333333333333,28.03333333333333,0.03333333333333333
#trivelin #arlequin,0.10000000000000002,0.8999999999999999,0.21228070175438601,0.16666666666666666,0.4083333333333334,2.519047619047619,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.03333333333333333,28.03333333333333
Successions,#frontin,#trivelin,#le-chevalier,#arlequin,#lelio,#la-comtesse,#le-chanteur,#un-paysan,#mathurine,#un-valet,#trivelin #arlequin
#frontin,0.0,0.8333333333333334,0.16666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#trivelin,0.174496644295302,0.006711409395973154,0.28187919463087246,0.18120805369127516,0.3422818791946309,0.0,0.0,0.0,0.006711409395973154,0.0,0.006711409395973154
#le-chevalier,0.02040816326530612,0.18775510204081633,0.00816326530612245,0.0163265306122449,0.37551020408163266,0.39183673469387753,0.0,0.0,0.0,0.0,0.0
#arlequin,0.0,0.4482758620689655,0.08620689655172414,0.017241379310344827,0.4482758620689655,0.0,0.0,0.0,0.0,0.0,0.0
#lelio,0.0,0.24154589371980675,0.4492753623188406,0.12560386473429952,0.004830917874396135,0.178743961352657,0.0,0.0,0.0,0.0,0.0
#la-comtesse,0.0,0.007462686567164179,0.7164179104477612,0.0,0.26865671641791045,0.0,0.0,0.0,0.0,0.007462686567164179,0.0
#le-chanteur,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
#un-paysan,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
#mathurine,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
#un-valet,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
#trivelin #arlequin,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
