VALEUR,#dolnange,#germain,#belfort,#dubois,#nadine,#oukea,#zelamire,#zelamire #nadine
Fréquences (scènes),0.25,0.625,0.125,0.1875,0.25,0.3125,0.5,0.0625
Fréquences(répliques),0.1736725663716814,0.26216814159292035,0.046460176991150445,0.030973451327433628,0.12389380530973451,0.22234513274336284,0.13938053097345132,0.0011061946902654867
Confrontation,0.15384615384615385,0.23076923076923078,0.08974358974358974,0.07692307692307693,0.10256410256410256,0.11538461538461539,0.1794871794871795,0.05128205128205128
Déviations,#dolnange,#germain,#belfort,#dubois,#nadine,#oukea,#zelamire,#zelamire #nadine
#dolnange,9.0,0.9,4.5,0.08333333333333333,0.0,0.05,0.0,2.25
#germain,0.9,2.25,0.45,0.675,0.1,0.405,0.2,0.225
#belfort,4.5,0.45,12.25,0.375,0.5,0.225,0.0,0.125
#dubois,0.08333333333333333,0.675,0.375,10.5625,0.75,0.9375,0.16666666666666666,3.5208333333333335
#nadine,0.0,0.1,0.5,0.75,9.0,0.45,0.0,0.25
#oukea,0.05,0.405,0.225,0.9375,0.45,7.5625,0.1,0.3125
#zelamire,0.0,0.2,0.0,0.16666666666666666,0.0,0.1,4.0,0.5
#zelamire #nadine,2.25,0.225,0.125,3.5208333333333335,0.25,0.3125,0.5,14.0625
Successions,#dolnange,#germain,#belfort,#dubois,#nadine,#oukea,#zelamire,#zelamire #nadine
#dolnange,0.0,0.5,0.34615384615384615,0.0,0.0,0.038461538461538464,0.07692307692307693,0.038461538461538464
#germain,0.19402985074626866,0.0,0.07462686567164178,0.16417910447761194,0.2537313432835821,0.19402985074626866,0.11940298507462686,0.0
#belfort,0.5625,0.3125,0.0,0.0,0.0625,0.0,0.0625,0.0
#dubois,0.08333333333333333,0.8333333333333334,0.0,0.0,0.0,0.08333333333333333,0.0,0.0
#nadine,0.0,0.6923076923076923,0.038461538461538464,0.0,0.0,0.23076923076923078,0.038461538461538464,0.0
#oukea,0.02702702702702703,0.35135135135135137,0.02702702702702703,0.0,0.1891891891891892,0.0,0.40540540540540543,0.0
#zelamire,0.07407407407407407,0.2962962962962963,0.0,0.037037037037037035,0.037037037037037035,0.5555555555555556,0.0,0.0
#zelamire #nadine,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
