VALEUR,#podagrambo,#harpagine,#acajou,#mortifer,#metromane,#stentor,#trio,#l-huissier,#le-procureur,#l-avocat,#ninette,#zirphile
Fréquences (scènes),0.2727272727272727,0.3181818181818182,0.7272727272727273,0.045454545454545456,0.045454545454545456,0.045454545454545456,0.045454545454545456,0.045454545454545456,0.045454545454545456,0.045454545454545456,0.18181818181818182,0.36363636363636365
Fréquences(répliques),0.08461538461538462,0.08653846153846154,0.31346153846153846,0.023076923076923078,0.13846153846153847,0.0,0.011538461538461539,0.0057692307692307696,0.0038461538461538464,0.0,0.13846153846153847,0.19423076923076923
Confrontation,0.07954545454545454,0.14772727272727273,0.23863636363636365,0.011363636363636364,0.011363636363636364,0.06818181818181818,0.06818181818181818,0.06818181818181818,0.06818181818181818,0.06818181818181818,0.06818181818181818,0.10227272727272728
Déviations,#podagrambo,#harpagine,#acajou,#mortifer,#metromane,#stentor,#trio,#l-huissier,#le-procureur,#l-avocat,#ninette,#zirphile
#podagrambo,11.636363636363635,0.6233766233766233,1.28030303030303,0.2727272727272727,0.2727272727272727,0.2727272727272727,0.2727272727272727,0.2727272727272727,0.2727272727272727,0.2727272727272727,0.007575757575757562,0.640151515151515
#harpagine,0.6233766233766236,10.22727272727273,0.0016233766233766204,0.3181818181818182,0.3181818181818182,1.4610389610389614,1.4610389610389614,1.4610389610389614,1.4610389610389614,1.4610389610389614,1.2727272727272727,2.5454545454545454
#acajou,1.28030303030303,0.0016233766233766204,1.636363636363636,0.10227272727272725,0.10227272727272725,0.10227272727272725,0.10227272727272725,0.10227272727272725,0.10227272727272725,0.10227272727272725,0.2840909090909091,0.11505681818181822
#mortifer,0.2727272727272727,0.3181818181818182,0.10227272727272725,20.045454545454547,0.045454545454545456,0.045454545454545456,0.045454545454545456,0.045454545454545456,0.045454545454545456,0.045454545454545456,0.18181818181818182,0.36363636363636365
#metromane,0.2727272727272727,0.3181818181818182,0.10227272727272725,0.045454545454545456,20.045454545454547,0.045454545454545456,0.045454545454545456,0.045454545454545456,0.045454545454545456,0.045454545454545456,0.18181818181818182,0.36363636363636365
#stentor,0.2727272727272727,1.4610389610389614,0.10227272727272725,0.045454545454545456,0.045454545454545456,20.045454545454547,20.045454545454547,20.045454545454547,20.045454545454547,20.045454545454547,0.18181818181818182,0.36363636363636365
#stentor,0.2727272727272727,1.4610389610389614,0.10227272727272725,0.045454545454545456,0.045454545454545456,20.045454545454547,20.045454545454547,20.045454545454547,20.045454545454547,20.045454545454547,0.18181818181818182,0.36363636363636365
#stentor,0.2727272727272727,1.4610389610389614,0.10227272727272725,0.045454545454545456,0.045454545454545456,20.045454545454547,20.045454545454547,20.045454545454547,20.045454545454547,20.045454545454547,0.18181818181818182,0.36363636363636365
#stentor,0.2727272727272727,1.4610389610389614,0.10227272727272725,0.045454545454545456,0.045454545454545456,20.045454545454547,20.045454545454547,20.045454545454547,20.045454545454547,20.045454545454547,0.18181818181818182,0.36363636363636365
#stentor,0.2727272727272727,1.4610389610389614,0.10227272727272725,0.045454545454545456,0.045454545454545456,20.045454545454547,20.045454545454547,20.045454545454547,20.045454545454547,20.045454545454547,0.18181818181818182,0.36363636363636365
#ninette,0.007575757575757562,1.2727272727272727,0.2840909090909091,0.18181818181818182,0.18181818181818182,0.18181818181818182,0.18181818181818182,0.18181818181818182,0.18181818181818182,0.18181818181818182,14.727272727272725,1.6420454545454544
#zirphile,0.640151515151515,2.5454545454545454,0.11505681818181822,0.36363636363636365,0.36363636363636365,0.36363636363636365,0.36363636363636365,0.36363636363636365,0.36363636363636365,0.36363636363636365,1.6420454545454544,8.909090909090908
Successions,#podagrambo,#harpagine,#acajou,#mortifer,#metromane,#stentor,#trio,#l-huissier,#le-procureur,#l-avocat,#ninette,#zirphile
#podagrambo,0.0,0.4634146341463415,0.3902439024390244,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14634146341463414,0.0
#harpagine,0.5641025641025641,0.05128205128205128,0.358974358974359,0.0,0.0,0.0,0.02564102564102564,0.0,0.0,0.0,0.0,0.0
#acajou,0.12264150943396226,0.1509433962264151,0.009433962264150943,0.05660377358490566,0.0660377358490566,0.0,0.0,0.0,0.0,0.018867924528301886,0.10377358490566038,0.4716981132075472
#mortifer,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#metromane,0.0,0.0,0.8571428571428571,0.14285714285714285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#mortifer,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#trio,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0
#l-huissier,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
#l-huissier,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
#l-avocat,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#ninette,0.1,0.03333333333333333,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4666666666666667
#zirphile,0.0625,0.0,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1875,0.0
