VALEUR,#le-medecin,#la-comtesse,#le-chirurgien,#vambeunin,#zelande #la-frise,#amsterdam,#la-zelande,#la-frise,#l-apothicaire,#le-laquais,#uvic,#vambeunin #uvic,#le-ministre,#l-avocat,#le-notaire
Fréquences (scènes),0.8,0.7333333333333333,0.3333333333333333,0.26666666666666666,0.06666666666666667,0.4,0.2,0.2,0.3333333333333333,0.2,0.2,0.06666666666666667,0.06666666666666667,0.13333333333333333,0.13333333333333333
Fréquences(répliques),0.4032114183764496,0.14272970561998216,0.015165031222123104,0.014272970561998216,0.0008920606601248885,0.2631578947368421,0.003568242640499554,0.0053523639607493305,0.013380909901873328,0.008920606601248885,0.024977698483496878,0.0008920606601248885,0.039250669045495096,0.06155218554861731,0.0026761819803746653
Confrontation,0.1346153846153846,0.15384615384615385,0.07307692307692308,0.057692307692307696,0.011538461538461539,0.11923076923076924,0.07307692307692308,0.07307692307692308,0.08461538461538462,0.046153846153846156,0.03076923076923077,0.023076923076923078,0.011538461538461539,0.05384615384615385,0.05384615384615385
Déviations,#le-medecin,#la-comtesse,#le-chirurgien,#vambeunin,#zelande #la-frise,#amsterdam,#la-zelande,#la-frise,#l-apothicaire,#le-laquais,#uvic,#vambeunin #uvic,#le-ministre,#l-avocat,#le-notaire
#le-medecin,0.5999999999999992,0.004545454545454594,0.25,1.5125000000000002,0.049999999999999975,0.13333333333333355,0.06666666666666678,0.06666666666666678,0.25,0.816666666666667,0.816666666666667,0.049999999999999975,0.049999999999999975,0.22500000000000006,0.22500000000000006
#la-comtesse,0.004545454545454513,1.0666666666666669,0.12121212121212116,0.0015151515151515247,0.09696969696969701,0.08181818181818172,0.29090909090909073,0.29090909090909073,0.12121212121212116,0.018181818181818212,0.018181818181818212,0.09696969696969701,0.09696969696969701,0.19393939393939402,0.19393939393939402
#le-chirurgien,0.25,0.12121212121212116,6.666666666666668,1.3333333333333333,0.3333333333333333,0.0,0.0,0.0,1.0666666666666669,0.0,1.0,1.3333333333333337,0.3333333333333333,0.1666666666666667,0.1666666666666667
#vambeunin,1.5125000000000002,0.0015151515151515247,1.3333333333333333,8.066666666666668,2.016666666666667,0.09999999999999995,0.049999999999999975,0.049999999999999975,1.3333333333333333,1.7999999999999998,1.7999999999999998,0.26666666666666666,0.26666666666666666,0.4083333333333334,0.4083333333333334
#zelande #la-frise,0.049999999999999975,0.09696969696969701,0.3333333333333333,2.016666666666667,13.066666666666668,0.4000000000000001,0.20000000000000004,0.20000000000000004,0.3333333333333333,0.20000000000000004,0.20000000000000004,0.06666666666666667,0.06666666666666667,0.13333333333333333,0.13333333333333333
#amsterdam,0.13333333333333355,0.08181818181818197,0.0,0.09999999999999995,0.4000000000000001,5.399999999999998,2.699999999999999,2.699999999999999,0.5,0.533333333333333,0.03333333333333339,0.8999999999999999,0.8999999999999999,1.7999999999999998,1.7999999999999998
#la-zelande,0.06666666666666678,0.2909090909090912,0.0,0.049999999999999975,0.20000000000000004,2.699999999999999,9.599999999999998,9.599999999999998,1.0,0.6000000000000001,0.6000000000000001,0.20000000000000004,0.20000000000000004,6.400000000000001,6.400000000000001
