VALEUR,#kilacare,#la-marquise,#jusitne,#mademoiselle-de-lesbosie,#justine,#le-comte,#l-abbe,#le-chevalier,#brochure,#necelle,#eglante,#le-president,#le-baron,#le-vicomte,#germon,#pamene,#la-verdure,#le-chevalier #le-president #le-vicomte,#ensemble,#adeline,#necelle #adeline #eglante,#le-marquis,#l-exempt,#chanteurs-du-cantique
Fréquences (scènes),0.04,0.64,0.04,0.16,0.12,0.04,0.04,0.4,0.08,0.28,0.28,0.2,0.2,0.28,0.12,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04
Fréquences(répliques),0.0,0.0660377358490566,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9339622641509434
Confrontation,0.002840909090909091,0.13636363636363635,0.0,0.008522727272727272,0.017045454545454544,0.002840909090909091,0.002840909090909091,0.12215909090909091,0.014204545454545454,0.10511363636363637,0.10511363636363637,0.09659090909090909,0.09659090909090909,0.09943181818181818,0.05113636363636364,0.022727272727272728,0.002840909090909091,0.02556818181818182,0.02556818181818182,0.022727272727272728,0.022727272727272728,0.008522727272727272,0.008522727272727272,0.0
Déviations,#kilacare,#la-marquise,#jusitne,#mademoiselle-de-lesbosie,#justine,#le-comte,#l-abbe,#le-chevalier,#brochure,#necelle,#eglante,#le-president,#le-baron,#le-vicomte,#germon,#pamene,#la-verdure,#le-chevalier #le-president #le-vicomte,#ensemble,#adeline,#necelle #adeline #eglante,#le-marquis,#l-exempt,#chanteurs-du-cantique
#kilacare,23.04,0.20249999999999999,0.04,0.16,0.12,0.04,0.04,0.4000000000000001,0.08,0.28,0.28,0.20000000000000004,0.20000000000000004,0.28,0.12,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04
#la-marquise,0.20249999999999999,3.2399999999999998,0.64,0.12250000000000001,0.0033333333333333396,0.20249999999999999,0.20249999999999999,1.0562499999999997,0.40499999999999997,0.05142857142857152,0.05142857142857152,1.0124999999999997,0.1999999999999999,0.05142857142857152,0.0033333333333333396,0.20249999999999999,0.64,0.20249999999999999,0.20249999999999999,0.20249999999999999,0.20249999999999999,0.20249999999999999,0.20249999999999999,0.64
#jusitne,0.04,0.64,23.04,0.16,0.12,0.04,0.04,0.4000000000000001,0.08,0.28,0.28,0.20000000000000004,0.20000000000000004,0.28,0.12,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04
#mademoiselle-de-lesbosie,0.16,0.12250000000000001,0.16,17.639999999999997,0.5633333333333335,0.16,0.16,1.6000000000000003,0.32,1.12,1.12,0.8000000000000002,0.8000000000000002,1.12,0.48,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16
#justine,0.12,0.0033333333333333396,0.12,0.5633333333333335,19.360000000000003,0.12,0.12,0.533333333333333,2.4066666666666667,0.8400000000000001,0.8400000000000001,0.6000000000000001,0.6000000000000001,0.8400000000000001,0.36,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12
#le-comte,0.04,0.20249999999999999,0.04,0.16,0.12,23.04,0.04,0.4000000000000001,0.08,0.28,0.28,0.20000000000000004,0.20000000000000004,0.28,0.12,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04
