VALEUR,#richard,#martin,#l-amiral,#smilis,#albert,#madame-nerval,#madame-de-nancey,#madame-d-origny,#un-officier-de-marine,#georges,#l-officier,#premier-officier
Fréquences (scènes),0.4146341463414634,0.43902439024390244,0.5609756097560976,0.34146341463414637,0.024390243902439025,0.0975609756097561,0.04878048780487805,0.04878048780487805,0.024390243902439025,0.24390243902439024,0.07317073170731707,0.024390243902439025
Fréquences(répliques),0.0,0.10810810810810811,0.0,0.8918918918918919,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Confrontation,0.17647058823529413,0.12941176470588237,0.21764705882352942,0.15294117647058825,0.023529411764705882,0.07058823529411765,0.01764705882352941,0.01764705882352941,0.01764705882352941,0.1,0.058823529411764705,0.01764705882352941
Déviations,#richard,#martin,#l-amiral,#smilis,#albert,#madame-nerval,#madame-de-nancey,#madame-d-origny,#un-officier-de-marine,#georges,#l-officier,#premier-officier
#richard,14.048780487804878,3.999362346564643,0.22456490549560212,0.006558721049395319,0.8263988522238161,0.07030129124820654,0.8292682926829269,0.8292682926829269,0.8263988522238161,0.17575322812051644,0.4595887135341942,0.41463414634146345
#martin,3.9993623465646415,12.902439024390244,0.0009426181218333938,0.21380178087495164,0.43902439024390244,0.03387533875338753,0.8780487804878049,0.8780487804878049,0.43902439024390244,2.618021680216802,0.07633242999096651,0.7168021680216804
#l-amiral,0.22456490549560212,0.000942618121833428,7.902439024390237,0.4375094682623851,0.34358430540827134,0.2547720042417814,1.1219512195121952,1.1219512195121952,0.5609756097560976,1.2141039236479325,0.05973842347119117,0.34358430540827134
#smilis,0.006558721049395319,0.21380178087495194,0.4375094682623851,17.780487804878042,1.2700348432055744,0.2944250871080136,0.6829268292682928,0.6829268292682928,0.3414634146341464,0.7360627177700345,0.0005807200929152158,0.3414634146341464
#albert,0.8263988522238167,0.43902439024390244,0.34358430540827134,1.2700348432055746,39.02439024390243,8.347560975609756,0.04878048780487805,0.04878048780487805,0.024390243902439025,0.24390243902439024,0.07317073170731707,0.024390243902439025
#madame-nerval,0.07030129124820664,0.03387533875338753,0.2547720042417814,0.29442508710801385,8.347560975609756,33.390243902439025,3.320121951219513,3.320121951219513,0.0975609756097561,0.975609756097561,0.2926829268292683,0.0975609756097561
#madame-de-nancey,0.8292682926829268,0.8780487804878049,1.1219512195121952,0.6829268292682927,0.04878048780487805,3.320121951219513,37.09756097560975,37.09756097560975,0.04878048780487805,0.4878048780487805,0.14634146341463414,0.04878048780487805
#madame-de-nancey,0.8292682926829268,0.8780487804878049,1.1219512195121952,0.6829268292682927,0.04878048780487805,3.320121951219513,37.09756097560975,37.09756097560975,0.04878048780487805,0.4878048780487805,0.14634146341463414,0.04878048780487805
#un-officier-de-marine,0.8263988522238167,0.43902439024390244,0.5609756097560976,0.34146341463414637,0.024390243902439025,0.0975609756097561,0.04878048780487805,0.04878048780487805,39.02439024390243,2.3439024390243905,11.739837398373986,0.024390243902439025
#georges,0.17575322812051644,2.618021680216802,1.2141039236479325,0.7360627177700345,0.24390243902439024,0.975609756097561,0.4878048780487805,0.4878048780487805,2.3439024390243905,23.4390243902439,2.1983739837398373,0.24390243902439024
#l-officier,0.4595887135341942,0.07633242999096661,0.05973842347119117,0.0005807200929152158,0.07317073170731708,0.29268292682926833,0.14634146341463417,0.14634146341463417,11.73983739837398,2.1983739837398373,35.21951219512195,11.73983739837398
#premier-officier,0.4146341463414634,0.7168021680216804,0.34358430540827134,0.34146341463414637,0.024390243902439025,0.0975609756097561,0.04878048780487805,0.04878048780487805,0.024390243902439025,0.24390243902439024,11.739837398373986,39.02439024390243
Successions,#richard,#martin,#l-amiral,#smilis,#albert,#madame-nerval,#madame-de-nancey,#madame-d-origny,#un-officier-de-marine,#georges,#l-officier,#premier-officier
#richard,0.005434782608695652,0.18478260869565216,0.6467391304347826,0.09239130434782608,0.0,0.0,0.0,0.0,0.005434782608695652,0.04891304347826087,0.016304347826086956,0.0
#martin,0.45569620253164556,0.0,0.17721518987341772,0.34177215189873417,0.0,0.0,0.0,0.012658227848101266,0.0,0.012658227848101266,0.0,0.0
#l-amiral,0.654054054054054,0.08648648648648649,0.021621621621621623,0.17297297297297298,0.0,0.010810810810810811,0.0,0.0,0.0,0.03783783783783784,0.010810810810810811,0.005405405405405406
#smilis,0.12121212121212122,0.26262626262626265,0.3838383838383838,0.0,0.0,0.010101010101010102,0.0,0.0,0.0,0.21212121212121213,0.010101010101010102,0.0
#albert,0.0,0.0,0.5,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0
#madame-nerval,0.0,0.2,0.1,0.0,0.2,0.0,0.2,0.3,0.0,0.0,0.0,0.0
#madame-de-nancey,0.0,0.0,0.0,0.0,0.0,0.5714285714285714,0.0,0.42857142857142855,0.0,0.0,0.0,0.0
#madame-d-origny,0.0,0.0,0.0,0.0,0.0,0.2857142857142857,0.7142857142857143,0.0,0.0,0.0,0.0,0.0
#un-officier-de-marine,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#georges,0.2619047619047619,0.0,0.11904761904761904,0.5238095238095238,0.0,0.0,0.0,0.0,0.0,0.0,0.09523809523809523,0.0
#l-officier,0.36363636363636365,0.0,0.09090909090909091,0.09090909090909091,0.0,0.0,0.0,0.0,0.0,0.36363636363636365,0.09090909090909091,0.0
#premier-officier,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
