VALEUR,#electre,#arcas,#itys,#clytemnestre,#egisthe,#iphianasse,#melite,#tydee,#antenor,#palamede,#oreste
Fréquences (scènes),0.45454545454545453,0.06060606060606061,0.15151515151515152,0.18181818181818182,0.09090909090909091,0.24242424242424243,0.030303030303030304,0.2727272727272727,0.030303030303030304,0.15151515151515152,0.2727272727272727
Fréquences(répliques),0.24563445867287545,0.03550640279394645,0.059371362048894066,0.05529685681024447,0.07159487776484284,0.06344586728754366,0.005238649592549476,0.21944121071012807,0.016880093131548313,0.15366705471478465,0.0739231664726426
Confrontation,0.21428571428571427,0.02857142857142857,0.07142857142857142,0.1,0.04285714285714286,0.11428571428571428,0.014285714285714285,0.1,0.014285714285714285,0.11428571428571428,0.18571428571428572
Déviations,#electre,#arcas,#itys,#clytemnestre,#egisthe,#iphianasse,#melite,#tydee,#antenor,#palamede,#oreste
#electre,9.818181818181818,0.009090909090909073,0.03272727272727277,0.19393939393939405,0.09696969696969703,1.9113636363636366,0.4545454545454546,2.3353535353535353,0.4545454545454546,0.03272727272727277,0.20202020202020204
#arcas,0.009090909090909097,29.12121212121212,0.30303030303030304,0.36363636363636365,0.18181818181818182,0.5473484848484849,0.06060606060606061,0.5454545454545454,0.06060606060606061,0.30303030303030304,0.5454545454545454
#itys,0.03272727272727267,0.30303030303030304,23.757575757575754,1.3090909090909089,0.4545454545454546,0.03712121212121213,0.15151515151515152,1.3636363636363635,0.15151515151515152,0.7575757575757576,1.3636363636363635
#clytemnestre,0.19393939393939383,0.36363636363636365,1.3090909090909089,22.090909090909093,0.3787878787878789,0.14204545454545456,0.18181818181818182,1.6363636363636362,0.18181818181818182,0.9090909090909092,0.2474747474747474
#egisthe,0.09696969696969691,0.18181818181818182,0.4545454545454546,0.3787878787878789,27.272727272727277,0.7272727272727273,0.09090909090909091,0.040404040404040435,0.09090909090909091,0.4545454545454546,0.8181818181818181
#iphianasse,1.9113636363636364,0.5473484848484849,0.03712121212121213,0.14204545454545456,0.7272727272727273,18.939393939393938,2.367424242424242,0.015151515151515124,0.24242424242424243,1.2121212121212122,0.640151515151515
#melite,0.45454545454545453,0.06060606060606061,0.15151515151515152,0.18181818181818182,0.09090909090909091,2.367424242424242,31.03030303030303,0.2727272727272727,0.030303030303030304,0.15151515151515152,0.2727272727272727
#tydee,2.3353535353535353,0.5454545454545454,1.3636363636363638,1.6363636363636365,0.04040404040404038,0.015151515151515124,0.2727272727272727,17.45454545454546,1.9393939393939397,0.09696969696969703,0.8619528619528616
#antenor,0.45454545454545453,0.06060606060606061,0.15151515151515152,0.18181818181818182,0.09090909090909091,0.24242424242424243,0.030303030303030304,1.9393939393939397,31.03030303030303,0.15151515151515152,0.2727272727272727
#palamede,0.03272727272727267,0.30303030303030304,0.7575757575757576,0.9090909090909092,0.4545454545454546,1.2121212121212122,0.15151515151515152,0.09696969696969691,0.15151515151515152,23.757575757575754,9.696969696969699
#oreste,0.20202020202020204,0.5454545454545454,1.3636363636363638,0.24747474747474754,0.8181818181818182,0.640151515151515,0.2727272727272727,0.8619528619528616,0.2727272727272727,9.696969696969695,17.45454545454546
Successions,#electre,#arcas,#itys,#clytemnestre,#egisthe,#iphianasse,#melite,#tydee,#antenor,#palamede,#oreste
#electre,0.2558139534883721,0.046511627906976744,0.20930232558139536,0.046511627906976744,0.023255813953488372,0.023255813953488372,0.0,0.16279069767441862,0.0,0.046511627906976744,0.18604651162790697
#arcas,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#itys,0.7272727272727273,0.0,0.0,0.18181818181818182,0.0,0.09090909090909091,0.0,0.0,0.0,0.0,0.0
#clytemnestre,0.3,0.0,0.2,0.2,0.1,0.1,0.0,0.0,0.0,0.0,0.1
#egisthe,0.2222222222222222,0.0,0.0,0.1111111111111111,0.0,0.0,0.0,0.6666666666666666,0.0,0.0,0.0
#iphianasse,0.11764705882352941,0.058823529411764705,0.0,0.058823529411764705,0.058823529411764705,0.0,0.11764705882352941,0.47058823529411764,0.0,0.0,0.11764705882352941
#melite,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
#tydee,0.17073170731707318,0.0,0.0,0.0,0.14634146341463414,0.21951219512195122,0.0,0.0975609756097561,0.1951219512195122,0.17073170731707318,0.0
#antenor,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
#palamede,0.14285714285714285,0.0,0.0,0.0,0.0,0.0,0.0,0.38095238095238093,0.0,0.0,0.47619047619047616
#oreste,0.2,0.0,0.0,0.08,0.0,0.12,0.0,0.0,0.0,0.48,0.12
