VALEUR,#ptolemee,#photin,#achillas,#septime,#cleopatre,#charmion,#achoree,#cesar,#antoine,#cornelie,#philippe,#philipe
Fréquences (scènes),0.4090909090909091,0.2727272727272727,0.09090909090909091,0.09090909090909091,0.45454545454545453,0.13636363636363635,0.22727272727272727,0.36363636363636365,0.045454545454545456,0.2727272727272727,0.045454545454545456,0.045454545454545456
Fréquences(répliques),0.1628415300546448,0.09289617486338798,0.04426229508196721,0.015846994535519125,0.19617486338797815,0.018032786885245903,0.1251366120218579,0.16010928961748633,0.015300546448087432,0.14153005464480875,0.017486338797814208,0.010382513661202186
Confrontation,0.1511627906976744,0.11627906976744186,0.05813953488372093,0.05813953488372093,0.1744186046511628,0.046511627906976744,0.10465116279069768,0.12790697674418605,0.011627906976744186,0.10465116279069768,0.023255813953488372,0.023255813953488372
Déviations,#ptolemee,#photin,#achillas,#septime,#cleopatre,#charmion,#achoree,#cesar,#antoine,#cornelie,#philippe,#philipe
#ptolemee,7.681818181818182,5.121212121212123,1.7070707070707065,0.04040404040404038,0.2909090909090909,1.227272727272727,2.0454545454545454,1.5782828282828285,0.4090909090909091,2.454545454545454,0.4090909090909091,0.4090909090909091
#photin,5.121212121212121,11.636363636363635,3.8787878787878793,0.3787878787878789,1.0939393939393938,0.8181818181818181,1.3636363636363635,2.1818181818181817,0.2727272727272727,1.6363636363636362,0.2727272727272727,0.2727272727272727
#achillas,1.7070707070707065,3.8787878787878793,18.18181818181818,3.681818181818181,0.9090909090909091,0.2727272727272727,0.45454545454545453,0.7272727272727273,0.09090909090909091,0.5454545454545454,0.09090909090909091,0.09090909090909091
#septime,0.04040404040404038,0.3787878787878789,3.681818181818181,18.18181818181818,0.9090909090909091,0.2727272727272727,0.45454545454545453,0.10227272727272725,0.09090909090909091,0.3787878787878789,0.09090909090909091,0.09090909090909091
#cleopatre,0.2909090909090909,1.0939393939393938,0.9090909090909092,0.9090909090909092,6.545454545454547,0.2969696969696971,1.3127272727272732,0.11136363636363647,0.4545454545454546,0.19393939393939383,0.4545454545454546,0.4545454545454546
#charmion,1.2272727272727273,0.8181818181818181,0.2727272727272727,0.2727272727272727,0.2969696969696971,16.40909090909091,2.5484848484848492,1.0909090909090908,0.13636363636363635,0.8181818181818181,0.13636363636363635,0.13636363636363635
#achoree,2.0454545454545454,1.3636363636363635,0.4545454545454546,0.4545454545454546,1.3127272727272732,2.5484848484848492,13.136363636363638,0.018181818181818146,0.2272727272727273,0.09696969696969691,0.2272727272727273,0.2272727272727273
#cesar,1.5782828282828285,2.1818181818181817,0.7272727272727273,0.10227272727272725,0.11136363636363633,1.0909090909090908,0.018181818181818195,8.909090909090908,1.1136363636363635,0.30681818181818193,0.36363636363636365,0.36363636363636365
#antoine,0.4090909090909091,0.2727272727272727,0.09090909090909091,0.09090909090909091,0.45454545454545453,0.13636363636363635,0.22727272727272727,1.1136363636363635,20.045454545454547,0.2727272727272727,0.045454545454545456,0.045454545454545456
#cornelie,2.4545454545454546,1.6363636363636362,0.5454545454545454,0.3787878787878789,0.19393939393939383,0.8181818181818181,0.09696969696969691,0.30681818181818193,0.2727272727272727,11.636363636363635,1.9393939393939397,1.9393939393939397
#philippe,0.4090909090909091,0.2727272727272727,0.09090909090909091,0.09090909090909091,0.45454545454545453,0.13636363636363635,0.22727272727272727,0.36363636363636365,0.045454545454545456,1.9393939393939397,20.045454545454547,20.045454545454547
#philippe,0.4090909090909091,0.2727272727272727,0.09090909090909091,0.09090909090909091,0.45454545454545453,0.13636363636363635,0.22727272727272727,0.36363636363636365,0.045454545454545456,1.9393939393939397,20.045454545454547,20.045454545454547
Successions,#ptolemee,#photin,#achillas,#septime,#cleopatre,#charmion,#achoree,#cesar,#antoine,#cornelie,#philippe,#philipe
#ptolemee,0.020833333333333332,0.20833333333333334,0.0625,0.020833333333333332,0.5833333333333334,0.020833333333333332,0.020833333333333332,0.041666666666666664,0.0,0.020833333333333332,0.0,0.0
#photin,0.9230769230769231,0.0,0.0,0.0,0.07692307692307693,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#achillas,0.75,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#septime,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0
#cleopatre,0.4827586206896552,0.034482758620689655,0.0,0.0,0.017241379310344827,0.10344827586206896,0.1206896551724138,0.08620689655172414,0.0,0.15517241379310345,0.0,0.0
#charmion,0.1,0.0,0.0,0.0,0.7,0.0,0.2,0.0,0.0,0.0,0.0,0.0
#achoree,0.0,0.0,0.0,0.0,0.7692307692307693,0.23076923076923078,0.0,0.0,0.0,0.0,0.0,0.0
#cesar,0.21052631578947367,0.0,0.0,0.05263157894736842,0.21052631578947367,0.0,0.05263157894736842,0.05263157894736842,0.21052631578947367,0.21052631578947367,0.0,0.0
#antoine,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
#cornelie,0.0,0.0,0.0,0.0,0.4375,0.0,0.125,0.3125,0.0,0.0,0.0625,0.0625
#philippe,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
#philippe,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
