VALEUR,#verseuil,#le-valet,#nerine,#montbrisson,#madame-de-verseuil,#lafleur,#julie,#terville,#saingerans
Fréquences (scènes),0.26666666666666666,0.022222222222222223,0.2222222222222222,0.2222222222222222,0.37777777777777777,0.06666666666666667,0.3111111111111111,0.4666666666666667,0.13333333333333333
Fréquences(répliques),0.0995260663507109,0.0012925463162429987,0.07195174493752693,0.17061611374407584,0.14347264110297286,0.025420077552778975,0.10641964670400689,0.2998707453683757,0.08143041792330892
Confrontation,0.14,0.006666666666666667,0.08666666666666667,0.10666666666666667,0.19333333333333333,0.02,0.15333333333333332,0.21333333333333335,0.08
Déviations,#verseuil,#le-valet,#nerine,#montbrisson,#madame-de-verseuil,#lafleur,#julie,#terville,#saingerans
#verseuil,24.200000000000003,2.016666666666667,0.1666666666666666,1.0416666666666665,0.4745098039215688,0.8000000000000002,0.1440476190476191,0.028571428571428623,0.09999999999999995
#le-valet,2.016666666666667,43.02222222222222,0.2222222222222222,0.2222222222222222,0.37777777777777777,0.06666666666666667,0.3111111111111111,0.4666666666666667,0.13333333333333333
#nerine,0.1666666666666666,0.22222222222222224,27.222222222222218,0.6722222222222223,0.8366013071895425,2.6666666666666674,0.0039682539682539715,1.523809523809524,0.0833333333333333
#montbrisson,1.0416666666666665,0.22222222222222224,0.6722222222222223,27.222222222222218,0.39542483660130723,0.6666666666666666,0.0039682539682539715,0.023809523809523767,0.0833333333333333
#madame-de-verseuil,0.4745098039215688,0.37777777777777777,0.8366013071895425,0.39542483660130723,17.42222222222222,1.1333333333333333,0.09561157796451919,0.0005602240896358504,0.03137254901960783
#lafleur,0.8000000000000002,0.06666666666666667,2.6666666666666674,0.6666666666666666,1.1333333333333333,39.199999999999996,0.9333333333333333,0.11428571428571424,0.4000000000000001
#julie,0.1440476190476191,0.3111111111111111,0.00396825396825394,0.00396825396825394,0.09561157796451919,0.9333333333333333,21.35555555555555,0.04353741496598638,0.00952380952380952
#terville,0.028571428571428623,0.4666666666666667,1.5238095238095233,0.0238095238095239,0.0005602240896358504,0.11428571428571424,0.04353741496598638,12.799999999999997,0.5142857142857145
#saingerans,0.09999999999999995,0.13333333333333333,0.0833333333333333,0.0833333333333333,0.03137254901960783,0.4000000000000001,0.00952380952380952,0.5142857142857145,33.800000000000004
Successions,#verseuil,#le-valet,#nerine,#montbrisson,#madame-de-verseuil,#lafleur,#julie,#terville,#saingerans
#verseuil,0.03296703296703297,0.02197802197802198,0.08791208791208792,0.0,0.26373626373626374,0.0,0.02197802197802198,0.5384615384615384,0.03296703296703297
#le-valet,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#nerine,0.14285714285714285,0.0,0.0,0.017857142857142856,0.07142857142857142,0.39285714285714285,0.2857142857142857,0.07142857142857142,0.017857142857142856
#montbrisson,0.010101010101010102,0.0,0.020202020202020204,0.030303030303030304,0.25252525252525254,0.0,0.13131313131313133,0.5555555555555556,0.0
#madame-de-verseuil,0.18791946308724833,0.0,0.026845637583892617,0.18120805369127516,0.006711409395973154,0.0,0.26174496644295303,0.30201342281879195,0.03355704697986577
#lafleur,0.0,0.0,0.75,0.0,0.0,0.07142857142857142,0.0,0.17857142857142858,0.0
#julie,0.0,0.0,0.16,0.15,0.42,0.0,0.0,0.24,0.03
#terville,0.20689655172413793,0.0,0.01293103448275862,0.22844827586206898,0.20689655172413793,0.017241379310344827,0.11206896551724138,0.017241379310344827,0.19827586206896552
#saingerans,0.03333333333333333,0.0,0.03333333333333333,0.0,0.08333333333333333,0.0,0.06666666666666667,0.75,0.03333333333333333
