VALEUR,#granville,#pembrock,#bernard,#belrose,#blinval,#floridore,#victor,#lucile,#madame-blinval,#tous,#le-laquais,#estelle
Fréquences (scènes),0.4117647058823529,0.19607843137254902,0.13725490196078433,0.49019607843137253,0.13725490196078433,0.17647058823529413,0.47058823529411764,0.19607843137254902,0.11764705882352941,0.0196078431372549,0.0392156862745098,0.1568627450980392
Fréquences(répliques),0.2030407062285434,0.08925944090240313,0.028445316331535065,0.16772927905836194,0.05247670426679745,0.07945071113290829,0.24080431584109857,0.047081902893575285,0.0461010299166258,0.0004904364884747426,0.004904364884747425,0.04021579205492889
Confrontation,0.11875,0.05,0.084375,0.165625,0.065625,0.096875,0.1375,0.08125,0.071875,0.021875,0.025,0.08125
Déviations,#granville,#pembrock,#bernard,#belrose,#blinval,#floridore,#victor,#lucile,#madame-blinval,#tous,#le-laquais,#estelle
#granville,17.647058823529417,1.0890756302521005,0.43337334933973554,0.008403361344537756,0.004801920768307288,1.4201680672268906,1.5252100840336136,0.30336134453781494,0.08963585434173672,0.4117647058823529,0.8235294117647058,0.5084033613445378
#pembrock,1.0890756302521005,32.96078431372549,0.10112044817927171,0.7379607843137251,1.3725490196078431,1.7647058823529413,0.01838235294117645,0.4707843137254901,1.1764705882352942,0.19607843137254902,0.39215686274509803,3.768627450980393
#bernard,0.43337334933973554,0.10112044817927181,37.960784313725476,0.09422969187675062,0.00160064025610242,2.521008403361343,0.8834033613445375,1.9296918767506992,1.6806722689075624,5.42296918767507,1.9173669467787111,0.7408963585434172
#belrose,0.008403361344537756,0.7379607843137257,0.09422969187675062,13.254901960784316,0.7170868347338933,0.5717647058823526,1.9297058823529405,0.0019607843137254763,1.4411764705882357,0.5301960784313725,1.060392156862745,0.2965686274509805
#blinval,0.004801920768307288,1.3725490196078434,0.00160064025610242,0.7170868347338933,37.960784313725476,0.4733893557422965,0.508403361344538,0.10112044817927181,5.752100840336134,5.42296918767507,1.9173669467787111,0.7408963585434172
#floridore,1.4201680672268913,1.7647058823529411,2.521008403361344,0.5717647058823535,0.47338935574229685,34.588235294117645,0.13807189542483658,0.03137254901960786,3.5588235294117645,3.843137254901961,1.1862745098039218,0.2450980392156864
#victor,1.5252100840336136,0.01838235294117645,0.8834033613445375,1.9297058823529405,0.508403361344538,0.13807189542483658,14.294117647058826,3.9183823529411757,0.24019607843137245,0.47058823529411764,0.9411764705882353,0.15533088235294118
#lucile,0.30336134453781494,0.4707843137254901,1.9296918767507003,0.001960784313725512,0.10112044817927171,0.031372549019607794,3.9183823529411757,32.96078431372549,0.026470588235294128,0.19607843137254902,0.39215686274509803,0.20612745098039212
#madame-blinval,0.08963585434173672,1.1764705882352942,1.6806722689075624,1.4411764705882357,5.752100840336134,3.5588235294117645,0.24019607843137245,0.026470588235294128,39.70588235294118,6.617647058823529,2.485294117647059,4.503676470588235
#tous,0.4117647058823529,0.19607843137254902,5.42296918767507,0.5301960784313725,5.42296918767507,3.8431372549019605,0.47058823529411764,0.19607843137254902,6.617647058823529,49.01960784313725,23.53921568627451,4.531862745098039
#le-laquais,0.8235294117647058,0.39215686274509803,1.9173669467787111,1.060392156862745,1.9173669467787111,1.1862745098039214,0.9411764705882353,0.39215686274509803,2.485294117647059,23.53921568627451,47.07843137254902,1.5012254901960784
#estelle,0.5084033613445378,3.768627450980393,0.7408963585434172,0.2965686274509805,0.7408963585434172,0.2450980392156862,0.15533088235294118,0.20612745098039212,4.503676470588235,4.531862745098039,1.5012254901960784,36.25490196078431
Successions,#granville,#pembrock,#bernard,#belrose,#blinval,#floridore,#victor,#lucile,#madame-blinval,#tous,#le-laquais,#estelle
#granville,0.012903225806451613,0.1032258064516129,0.01935483870967742,0.3741935483870968,0.05161290322580645,0.16774193548387098,0.12903225806451613,0.12258064516129032,0.0064516129032258064,0.0,0.0,0.012903225806451613
#pembrock,0.20833333333333334,0.0,0.027777777777777776,0.041666666666666664,0.0,0.0,0.4583333333333333,0.013888888888888888,0.0,0.0,0.0,0.25
#bernard,0.16,0.04,0.0,0.04,0.0,0.0,0.64,0.08,0.04,0.0,0.0,0.0
#belrose,0.4206896551724138,0.027586206896551724,0.006896551724137931,0.034482758620689655,0.06896551724137931,0.0896551724137931,0.13793103448275862,0.013793103448275862,0.15862068965517243,0.0,0.020689655172413793,0.020689655172413793
#blinval,0.15,0.0,0.0,0.325,0.0,0.05,0.375,0.05,0.025,0.0,0.0,0.025
#floridore,0.39436619718309857,0.0,0.028169014084507043,0.16901408450704225,0.028169014084507043,0.0,0.28169014084507044,0.0,0.014084507042253521,0.014084507042253521,0.028169014084507043,0.04225352112676056
#victor,0.13245033112582782,0.18543046357615894,0.07947019867549669,0.12582781456953643,0.10596026490066225,0.152317880794702,0.019867549668874173,0.13245033112582782,0.013245033112582781,0.0,0.0,0.052980132450331126
#lucile,0.3695652173913043,0.021739130434782608,0.10869565217391304,0.0,0.021739130434782608,0.021739130434782608,0.43478260869565216,0.0,0.021739130434782608,0.0,0.0,0.0
#madame-blinval,0.03125,0.0,0.0,0.75,0.0625,0.03125,0.0625,0.0,0.0,0.0,0.0,0.0625
#tous,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#le-laquais,0.0,0.0,0.0,0.6,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0
#estelle,0.05405405405405406,0.5945945945945946,0.0,0.13513513513513514,0.02702702702702703,0.08108108108108109,0.05405405405405406,0.0,0.05405405405405406,0.0,0.0,0.0
