VALEUR,#petit-jean,#l-intime,#dandin,#leandre,#chicanneau,#la-comtesse,#isabelle,#chicanneau #la-comtesse,#chicanneau #la-comtesse #l-intime,#le-souffleur
Fréquences (scènes),0.4,0.56,0.36,0.64,0.48,0.24,0.16,0.04,0.04,0.08
Fréquences(répliques),0.1310116086235489,0.20978441127694858,0.14925373134328357,0.17495854063018243,0.20812603648424544,0.07048092868988391,0.04311774461028192,0.0008291873963515755,0.001658374792703151,0.01077943615257048
Confrontation,0.12234042553191489,0.17553191489361702,0.14893617021276595,0.18085106382978725,0.15425531914893617,0.0851063829787234,0.047872340425531915,0.026595744680851064,0.026595744680851064,0.031914893617021274
Déviations,#petit-jean,#l-intime,#dandin,#leandre,#chicanneau,#la-comtesse,#isabelle,#chicanneau #la-comtesse,#chicanneau #la-comtesse #l-intime,#le-souffleur
#petit-jean,9.0,0.06428571428571439,1.6000000000000005,0.025000000000000043,0.6749999999999999,0.06666666666666664,1.6000000000000003,0.4000000000000001,0.4000000000000001,0.049999999999999975
#l-intime,0.06428571428571457,4.839999999999996,0.18285714285714286,0.10285714285714304,0.07714285714285728,0.5504761904761907,0.2578571428571427,0.34571428571428564,0.34571428571428564,0.01285714285714288
#dandin,1.5999999999999999,0.18285714285714247,10.24,0.26694444444444454,0.4033333333333335,0.011851851851851872,0.13444444444444442,1.1377777777777778,1.1377777777777778,0.10888888888888891
#leandre,0.025000000000000043,0.10285714285714304,0.26694444444444454,3.2399999999999998,0.3674999999999999,0.18374999999999994,0.12250000000000001,0.64,0.64,0.40499999999999997
#chicanneau,0.6750000000000004,0.07714285714285728,0.4033333333333335,0.3674999999999999,6.760000000000001,1.560555555555556,0.6075,0.5633333333333335,0.5633333333333335,0.0016666666666666698
#la-comtesse,0.06666666666666678,0.5504761904761907,0.011851851851851872,0.18374999999999994,1.560555555555556,14.440000000000005,0.96,2.4066666666666667,2.4066666666666667,0.48
#isabelle,1.6000000000000003,0.2578571428571427,0.13444444444444442,0.12250000000000001,0.6075,0.96,17.639999999999997,0.16,0.16,0.32
#chicanneau #la-comtesse,0.4000000000000001,0.34571428571428564,1.1377777777777778,0.64,0.5633333333333335,2.4066666666666667,0.16,23.04,23.04,0.08
#chicanneau #la-comtesse,0.4000000000000001,0.34571428571428564,1.1377777777777778,0.64,0.5633333333333335,2.4066666666666667,0.16,23.04,23.04,0.08
#le-souffleur,0.049999999999999975,0.01285714285714288,0.10888888888888891,0.40499999999999997,0.0016666666666666698,0.48,0.32,0.08,0.08,21.16
Successions,#petit-jean,#l-intime,#dandin,#leandre,#chicanneau,#la-comtesse,#isabelle,#chicanneau #la-comtesse,#chicanneau #la-comtesse #l-intime,#le-souffleur
#petit-jean,0.0,0.16393442622950818,0.13114754098360656,0.2459016393442623,0.21311475409836064,0.06557377049180328,0.0,0.0,0.0,0.18032786885245902
#l-intime,0.11224489795918367,0.01020408163265306,0.22448979591836735,0.19387755102040816,0.22448979591836735,0.030612244897959183,0.1836734693877551,0.01020408163265306,0.01020408163265306,0.0
#dandin,0.1348314606741573,0.29213483146067415,0.0,0.29213483146067415,0.16853932584269662,0.033707865168539325,0.06741573033707865,0.0,0.0,0.011235955056179775
#leandre,0.15,0.19,0.29,0.01,0.24,0.07,0.04,0.0,0.0,0.01
#chicanneau,0.08130081300813008,0.1951219512195122,0.13821138211382114,0.16260162601626016,0.008130081300813009,0.34146341463414637,0.06504065040650407,0.0,0.008130081300813009,0.0
#la-comtesse,0.06666666666666667,0.016666666666666666,0.05,0.13333333333333333,0.7333333333333333,0.0,0.0,0.0,0.0,0.0
#isabelle,0.0,0.4444444444444444,0.16666666666666666,0.2777777777777778,0.1111111111111111,0.0,0.0,0.0,0.0,0.0
#chicanneau #la-comtesse,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
#chicanneau #la-comtesse #l-intime,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#le-souffleur,0.7692307692307693,0.0,0.15384615384615385,0.07692307692307693,0.0,0.0,0.0,0.0,0.0,0.0
