VALEUR,#arlequin,#colombine,#leandre,#la-chanteuse,#pierrot,#octave,#le-comedien,#pasquariel,#mezzetin,#la-pretresse,#le-sacrificateur
Fréquences (scènes),0.8888888888888888,0.3333333333333333,0.3333333333333333,0.2222222222222222,0.2222222222222222,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111
Fréquences(répliques),0.6475409836065574,0.01639344262295082,0.09836065573770492,0.08196721311475409,0.01639344262295082,0.0,0.0,0.0,0.09836065573770492,0.040983606557377046,0.0
Confrontation,0.17045454545454544,0.125,0.10227272727272728,0.10227272727272728,0.11363636363636363,0.011363636363636364,0.011363636363636364,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.09090909090909091
Déviations,#arlequin,#colombine,#leandre,#la-chanteuse,#pierrot,#octave,#le-comedien,#pasquariel,#mezzetin,#la-pretresse,#le-sacrificateur
#arlequin,0.11111111111111122,0.041666666666666706,0.1666666666666666,0.027777777777777804,0.027777777777777804,0.013888888888888902,0.013888888888888902,0.013888888888888902,0.013888888888888902,0.013888888888888902,0.013888888888888902
#colombine,0.041666666666666706,4.0,0.0,0.1666666666666667,2.6666666666666674,0.3333333333333333,0.3333333333333333,1.3333333333333337,1.3333333333333337,1.3333333333333337,1.3333333333333337
#leandre,0.1666666666666666,0.0,4.0,0.1666666666666667,0.1666666666666667,0.3333333333333333,0.3333333333333333,1.3333333333333337,1.3333333333333337,1.3333333333333337,1.3333333333333337
#la-chanteuse,0.027777777777777804,0.1666666666666667,0.1666666666666667,5.444444444444445,0.6944444444444445,0.2222222222222222,0.2222222222222222,2.7222222222222223,2.7222222222222223,2.7222222222222223,2.7222222222222223
#pierrot,0.027777777777777804,2.6666666666666674,0.1666666666666667,0.6944444444444445,5.444444444444445,0.2222222222222222,0.2222222222222222,2.7222222222222223,2.7222222222222223,2.7222222222222223,2.7222222222222223
#octave,0.013888888888888902,0.3333333333333333,0.3333333333333333,0.2222222222222222,0.2222222222222222,7.111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111
#le-comedien,0.013888888888888902,0.3333333333333333,0.3333333333333333,0.2222222222222222,0.2222222222222222,0.1111111111111111,7.111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111
#pasquariel,0.013888888888888902,1.3333333333333337,1.3333333333333337,2.7222222222222223,2.7222222222222223,0.1111111111111111,0.1111111111111111,7.111111111111111,7.111111111111111,7.111111111111111,7.111111111111111
#pasquariel,0.013888888888888902,1.3333333333333337,1.3333333333333337,2.7222222222222223,2.7222222222222223,0.1111111111111111,0.1111111111111111,7.111111111111111,7.111111111111111,7.111111111111111,7.111111111111111
#pasquariel,0.013888888888888902,1.3333333333333337,1.3333333333333337,2.7222222222222223,2.7222222222222223,0.1111111111111111,0.1111111111111111,7.111111111111111,7.111111111111111,7.111111111111111,7.111111111111111
#pasquariel,0.013888888888888902,1.3333333333333337,1.3333333333333337,2.7222222222222223,2.7222222222222223,0.1111111111111111,0.1111111111111111,7.111111111111111,7.111111111111111,7.111111111111111,7.111111111111111
Successions,#arlequin,#colombine,#leandre,#la-chanteuse,#pierrot,#octave,#le-comedien,#pasquariel,#mezzetin,#la-pretresse,#le-sacrificateur
#arlequin,0.09259259259259259,0.24074074074074073,0.1111111111111111,0.018518518518518517,0.1111111111111111,0.16666666666666666,0.07407407407407407,0.037037037037037035,0.09259259259259259,0.018518518518518517,0.037037037037037035
#colombine,0.5416666666666666,0.0,0.041666666666666664,0.0,0.4166666666666667,0.0,0.0,0.0,0.0,0.0,0.0
#leandre,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#la-chanteuse,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0
#pierrot,0.3125,0.625,0.0,0.0625,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#leandre,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#leandre,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#leandre,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#mezzetin,0.8571428571428571,0.14285714285714285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#la-pretresse,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
#leandre,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
