VALEUR,#racine,#courtes,#georges,#monsingre,#georges #courtes,#jeanne,#clorinde,#locuteur-de-l-epiloque
Fréquences (scènes),0.3888888888888889,0.3888888888888889,0.3888888888888889,0.3333333333333333,0.05555555555555555,0.3333333333333333,0.16666666666666666,0.05555555555555555
Fréquences(répliques),0.2722063037249284,0.16332378223495703,0.1384909264565425,0.21967526265520534,0.0009551098376313276,0.09169054441260745,0.07927411652340019,0.034383954154727794
Confrontation,0.14285714285714285,0.19642857142857142,0.19642857142857142,0.16071428571428573,0.05357142857142857,0.17857142857142858,0.07142857142857142,0.0
Déviations,#racine,#courtes,#georges,#monsingre,#georges #courtes,#jeanne,#clorinde,#locuteur-de-l-epiloque
#racine,6.722222222222222,1.0895691609977325,0.028344671201814036,0.7619047619047616,0.3888888888888888,0.04761904761904754,0.02380952380952377,0.3888888888888888
#courtes,1.0895691609977325,6.722222222222222,0.028344671201814036,0.1904761904761907,0.9603174603174606,0.1904761904761907,1.1666666666666665,0.3888888888888888
#georges,0.028344671201814036,0.028344671201814036,6.722222222222222,0.04761904761904754,0.9603174603174606,0.04761904761904754,1.1666666666666665,0.3888888888888888
#monsingre,0.761904761904762,0.19047619047619038,0.04761904761904766,8.0,1.3333333333333337,0.5,0.0,0.3333333333333333
#georges #courtes,0.3888888888888889,0.9603174603174605,0.9603174603174605,1.3333333333333337,16.055555555555557,0.3333333333333333,0.16666666666666666,0.05555555555555555
#jeanne,0.04761904761904766,0.19047619047619038,0.04761904761904766,0.5,0.3333333333333333,8.0,1.0,0.3333333333333333
#clorinde,0.02380952380952383,1.1666666666666667,1.1666666666666667,0.0,0.16666666666666666,1.0,12.5,0.16666666666666666
#locuteur-de-l-epiloque,0.3888888888888889,0.3888888888888889,0.3888888888888889,0.3333333333333333,0.05555555555555555,0.3333333333333333,0.16666666666666666,16.055555555555557
Successions,#racine,#courtes,#georges,#monsingre,#georges #courtes,#jeanne,#clorinde,#locuteur-de-l-epiloque
#racine,0.0,0.14285714285714285,0.39285714285714285,0.2785714285714286,0.0,0.05714285714285714,0.12857142857142856,0.0
#courtes,0.2413793103448276,0.011494252873563218,0.08045977011494253,0.4942528735632184,0.0,0.1724137931034483,0.0,0.0
#georges,0.6067415730337079,0.06741573033707865,0.0,0.10112359550561797,0.0,0.2247191011235955,0.0,0.0
#monsingre,0.3669724770642202,0.4036697247706422,0.05504587155963303,0.009174311926605505,0.009174311926605505,0.009174311926605505,0.14678899082568808,0.0
#georges #courtes,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
#jeanne,0.171875,0.234375,0.3125,0.03125,0.0,0.015625,0.234375,0.0
#clorinde,0.2857142857142857,0.0,0.02040816326530612,0.30612244897959184,0.0,0.3877551020408163,0.0,0.0
#locuteur-de-l-epiloque,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
