VALEUR,#thisbe,#bersiane,#narbal,#lidias,#le-roi,#syllar,#pyrame,#disarque,#deuxis,#un-messager,#la-mere,#la-confidente
Fréquences (scènes),0.4166666666666667,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.16666666666666666,0.25,0.4166666666666667,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333
Fréquences(répliques),0.232355273592387,0.0190325138778747,0.0317208564631245,0.03409992069785884,0.08723235527359238,0.08088818398096749,0.32989690721649484,0.019825535289452814,0.0626486915146709,0.0055511498810467885,0.07216494845360824,0.02458366375892149
Confrontation,0.11538461538461539,0.038461538461538464,0.038461538461538464,0.038461538461538464,0.11538461538461539,0.19230769230769232,0.19230769230769232,0.038461538461538464,0.07692307692307693,0.07692307692307693,0.038461538461538464,0.038461538461538464
Déviations,#thisbe,#bersiane,#narbal,#lidias,#le-roi,#syllar,#pyrame,#disarque,#deuxis,#un-messager,#la-mere,#la-confidente
#thisbe,4.083333333333332,0.8166666666666669,0.41666666666666663,0.41666666666666663,0.8333333333333333,1.25,0.003333333333333345,0.41666666666666663,0.41666666666666663,0.41666666666666663,0.41666666666666663,0.41666666666666663
#bersiane,0.8166666666666664,10.083333333333332,0.08333333333333333,0.08333333333333333,0.16666666666666666,0.25,0.4166666666666667,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333
#narbal,0.4166666666666667,0.08333333333333333,10.083333333333332,10.083333333333332,0.16666666666666666,0.25,0.4166666666666667,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333
#narbal,0.4166666666666667,0.08333333333333333,10.083333333333332,10.083333333333332,0.16666666666666666,0.25,0.4166666666666667,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333
#le-roi,0.8333333333333334,0.16666666666666666,0.16666666666666666,0.16666666666666666,8.333333333333336,4.5,0.8333333333333334,0.16666666666666666,0.16666666666666666,4.166666666666668,0.16666666666666666,0.16666666666666666
#syllar,1.25,0.25,0.25,0.25,4.5,6.75,0.05,0.25,2.25,2.25,0.25,0.25
#pyrame,0.003333333333333345,0.41666666666666663,0.41666666666666663,0.41666666666666663,0.8333333333333333,0.05,4.083333333333332,0.8166666666666669,0.8166666666666669,0.41666666666666663,0.41666666666666663,0.41666666666666663
#disarque,0.4166666666666667,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.16666666666666666,0.25,0.8166666666666664,10.083333333333332,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333
#deuxis,0.4166666666666667,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.16666666666666666,2.25,0.8166666666666664,0.08333333333333333,10.083333333333332,0.08333333333333333,0.08333333333333333,0.08333333333333333
#un-messager,0.4166666666666667,0.08333333333333333,0.08333333333333333,0.08333333333333333,4.166666666666668,2.25,0.4166666666666667,0.08333333333333333,0.08333333333333333,10.083333333333332,0.08333333333333333,0.08333333333333333
#la-mere,0.4166666666666667,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.16666666666666666,0.25,0.4166666666666667,0.08333333333333333,0.08333333333333333,0.08333333333333333,10.083333333333332,10.083333333333332
#la-mere,0.4166666666666667,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.16666666666666666,0.25,0.4166666666666667,0.08333333333333333,0.08333333333333333,0.08333333333333333,10.083333333333332,10.083333333333332
Successions,#thisbe,#bersiane,#narbal,#lidias,#le-roi,#syllar,#pyrame,#disarque,#deuxis,#un-messager,#la-mere,#la-confidente
#thisbe,0.0,0.35714285714285715,0.0,0.0,0.0,0.0,0.6071428571428571,0.0,0.0,0.0,0.03571428571428571,0.0
#bersiane,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#narbal,0.0,0.25,0.0,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#lidias,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#le-roi,0.0,0.0,0.0,0.0625,0.0,0.75,0.0625,0.0,0.0,0.125,0.0,0.0
#syllar,0.0,0.0,0.0,0.0,0.45161290322580644,0.0,0.03225806451612903,0.0,0.5161290322580645,0.0,0.0,0.0
#pyrame,0.45714285714285713,0.0,0.0,0.0,0.0,0.05714285714285714,0.0,0.2571428571428571,0.22857142857142856,0.0,0.0,0.0
#disarque,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
#deuxis,0.0,0.0,0.0,0.0,0.0,0.7083333333333334,0.2916666666666667,0.0,0.0,0.0,0.0,0.0
#un-messager,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#la-mere,0.08333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9166666666666666
#la-confidente,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
