VALEUR,#merlin,#le-chevalier,#angelique,#le-marquis,#le-comte,#monsieur-philidor,#madame-philidor,#tous-trois-ensemble,#la-ronce
Fréquences (scènes),0.6,0.26666666666666666,0.4,0.3333333333333333,0.3333333333333333,0.6,0.6,0.06666666666666667,0.06666666666666667
Fréquences(répliques),0.30101302460202606,0.053545586107091175,0.07959479015918958,0.06801736613603473,0.07959479015918958,0.2706222865412446,0.1447178002894356,0.001447178002894356,0.001447178002894356
Confrontation,0.0963855421686747,0.10843373493975904,0.14457831325301204,0.12650602409638553,0.12650602409638553,0.1746987951807229,0.1746987951807229,0.03614457831325301,0.012048192771084338
Déviations,#merlin,#le-chevalier,#angelique,#le-marquis,#le-comte,#monsieur-philidor,#madame-philidor,#tous-trois-ensemble,#la-ronce
#merlin,2.4000000000000012,0.15000000000000005,0.10000000000000002,0.3333333333333333,0.3333333333333333,1.0666666666666662,1.0666666666666662,0.6,0.6
#le-chevalier,0.15000000000000005,8.066666666666668,3.5999999999999996,0.3333333333333334,0.3333333333333334,0.15000000000000005,0.15000000000000005,2.016666666666667,0.26666666666666666
#angelique,0.0999999999999999,3.5999999999999996,5.399999999999998,0.5,0.5,0.5444444444444448,0.5444444444444448,0.8999999999999999,0.4000000000000001
#le-marquis,0.3333333333333333,0.3333333333333334,0.5,6.666666666666668,6.666666666666668,0.3333333333333333,0.3333333333333333,1.3333333333333337,0.3333333333333333
#le-marquis,0.3333333333333333,0.3333333333333334,0.5,6.666666666666668,6.666666666666668,0.3333333333333333,0.3333333333333333,1.3333333333333337,0.3333333333333333
#monsieur-philidor,1.0666666666666662,0.15000000000000005,0.5444444444444444,0.3333333333333333,0.3333333333333333,2.4000000000000012,1.2518518518518524,0.2666666666666667,0.2666666666666667
#madame-philidor,1.0666666666666662,0.15000000000000005,0.5444444444444444,0.3333333333333333,0.3333333333333333,1.2518518518518524,2.4000000000000012,0.2666666666666667,0.2666666666666667
#tous-trois-ensemble,0.6,2.016666666666667,0.8999999999999999,1.3333333333333337,1.3333333333333337,0.2666666666666667,0.2666666666666667,13.066666666666668,0.06666666666666667
#la-ronce,0.6,0.26666666666666666,0.4000000000000001,0.3333333333333333,0.3333333333333333,0.2666666666666667,0.2666666666666667,0.06666666666666667,13.066666666666668
Successions,#merlin,#le-chevalier,#angelique,#le-marquis,#le-comte,#monsieur-philidor,#madame-philidor,#tous-trois-ensemble,#la-ronce
#merlin,0.017857142857142856,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.17857142857142858,0.35714285714285715,0.017857142857142856,0.0,0.0
#le-chevalier,0.4666666666666667,0.0,0.13333333333333333,0.0,0.2,0.13333333333333333,0.06666666666666667,0.0,0.0
#angelique,0.2,0.11428571428571428,0.0,0.02857142857142857,0.02857142857142857,0.42857142857142855,0.2,0.0,0.0
#le-marquis,0.34375,0.0,0.0625,0.0,0.40625,0.125,0.0625,0.0,0.0
#le-comte,0.23529411764705882,0.0,0.0,0.5588235294117647,0.0,0.08823529411764706,0.11764705882352941,0.0,0.0
#monsieur-philidor,0.20212765957446807,0.031914893617021274,0.18085106382978725,0.031914893617021274,0.0425531914893617,0.0,0.48936170212765956,0.010638297872340425,0.010638297872340425
#madame-philidor,0.047619047619047616,0.0,0.09523809523809523,0.015873015873015872,0.047619047619047616,0.7777777777777778,0.015873015873015872,0.0,0.0
#tous-trois-ensemble,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
#la-ronce,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
