VALEUR,#proetus,#licas,#bellerophon,#stenobee,#megare,#philonoe,#ladice,#timante
Fréquences (scènes),0.4166666666666667,0.041666666666666664,0.2916666666666667,0.5,0.25,0.5,0.08333333333333333,0.125
Fréquences(répliques),0.20913302448709464,0.007941760423560556,0.15618795499669094,0.3944407677035076,0.048312375909993384,0.11978821972203839,0.011912640635340834,0.05228325612177366
Confrontation,0.18055555555555555,0.013888888888888888,0.09722222222222222,0.2222222222222222,0.1111111111111111,0.2361111111111111,0.05555555555555555,0.08333333333333333
Déviations,#proetus,#licas,#bellerophon,#stenobee,#megare,#philonoe,#ladice,#timante
#proetus,8.166666666666664,0.8166666666666669,0.28809523809523824,0.8,0.9,0.0,0.8333333333333333,0.05
#licas,0.8166666666666664,22.04166666666667,0.2916666666666667,0.5,0.25,0.5,0.08333333333333333,0.125
#bellerophon,0.28809523809523824,0.29166666666666663,12.041666666666664,1.7857142857142858,1.75,0.07142857142857142,0.5833333333333333,0.017857142857142856
#stenobee,0.8,0.5,1.7857142857142858,6.0,3.0,0.6666666666666666,0.0,0.16666666666666666
#megare,0.9,0.25,1.75,3.0,13.5,1.3333333333333333,0.5,0.75
#philonoe,0.0,0.5,0.07142857142857142,0.6666666666666666,1.3333333333333333,6.0,1.0,0.16666666666666666
#ladice,0.8333333333333334,0.08333333333333333,0.5833333333333334,0.0,0.5,1.0,20.166666666666664,2.25
#timante,0.05,0.125,0.017857142857142856,0.16666666666666666,0.75,0.16666666666666666,2.25,18.375
Successions,#proetus,#licas,#bellerophon,#stenobee,#megare,#philonoe,#ladice,#timante
#proetus,0.015625,0.015625,0.1875,0.5,0.03125,0.203125,0.0,0.046875
#licas,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#bellerophon,0.23529411764705882,0.0,0.0,0.27450980392156865,0.0,0.39215686274509803,0.0196078431372549,0.0784313725490196
#stenobee,0.3673469387755102,0.0,0.15306122448979592,0.05102040816326531,0.24489795918367346,0.14285714285714285,0.0,0.04081632653061224
#megare,0.07692307692307693,0.0,0.0,0.8846153846153846,0.0,0.038461538461538464,0.0,0.0
#philonoe,0.1896551724137931,0.0,0.3620689655172414,0.3103448275862069,0.0,0.017241379310344827,0.10344827586206896,0.017241379310344827
#ladice,0.0,0.0,0.0,0.2857142857142857,0.0,0.7142857142857143,0.0,0.0
#timante,0.16666666666666666,0.0,0.25,0.3333333333333333,0.0,0.25,0.0,0.0
