VALEUR,#fabrice,#philinte,#diane,#ismene,#thimante,#thersandre,#felicie,#clidamant,#parthenie
Fréquences (scènes),0.07142857142857142,0.32142857142857145,0.5,0.6785714285714286,0.5,0.39285714285714285,0.32142857142857145,0.42857142857142855,0.39285714285714285
Fréquences(répliques),0.055611729019211326,0.05712841253791709,0.15015166835187058,0.1911021233569262,0.07229524772497473,0.14711830131445905,0.160262891809909,0.10212335692618807,0.06420626895854398
Confrontation,0.011764705882352941,0.08529411764705883,0.1323529411764706,0.17352941176470588,0.14705882352941177,0.10588235294117647,0.1,0.12058823529411765,0.12352941176470589
Déviations,#fabrice,#philinte,#diane,#ismene,#thimante,#thersandre,#felicie,#clidamant,#parthenie
#fabrice,24.142857142857146,0.19841269841269835,0.0,1.3571428571428572,1.0,0.058441558441558454,0.19841269841269835,0.8571428571428571,0.7857142857142857
#philinte,0.1984126984126985,12.89285714285714,0.05555555555555555,0.20071010860484562,0.5,0.667027417027417,1.5348324514991174,0.3386243386243389,0.060966810966811
#diane,0.0,0.05555555555555555,7.0,0.02631578947368421,0.0,3.6818181818181817,1.3888888888888888,1.5,0.4090909090909091
#ismene,1.357142857142857,0.20071010860484562,0.02631578947368421,2.892857142857141,2.1315789473684212,0.028879015721121,0.7270258980785299,0.423558897243108,0.861414900888585
#thimante,1.0,0.5,0.0,2.1315789473684212,7.0,0.045454545454545456,0.05555555555555555,0.6666666666666666,1.1363636363636365
#thersandre,0.058441558441558454,0.6670274170274173,3.6818181818181817,0.028879015721121,0.045454545454545456,10.321428571428573,0.6064213564213562,1.5627705627705628,0.40407319952774484
#felicie,0.1984126984126985,1.5348324514991174,1.3888888888888888,0.7270258980785299,0.05555555555555555,0.6064213564213566,12.89285714285714,0.00529100529100532,0.060966810966811
#clidamant,0.8571428571428571,0.3386243386243383,1.5,0.423558897243108,0.6666666666666666,1.5627705627705628,0.005291005291005253,9.142857142857146,3.8961038961038956
#parthenie,0.7857142857142857,0.06096681096681088,0.4090909090909091,0.861414900888585,1.1363636363636365,0.40407319952774484,0.06096681096681088,3.8961038961038956,10.321428571428573
Successions,#fabrice,#philinte,#diane,#ismene,#thimante,#thersandre,#felicie,#clidamant,#parthenie
#fabrice,0.0,0.14285714285714285,0.17857142857142858,0.0,0.0,0.17857142857142858,0.5,0.0,0.0
#philinte,0.10526315789473684,0.0,0.2631578947368421,0.07894736842105263,0.0,0.05263157894736842,0.05263157894736842,0.4473684210526316,0.0
#diane,0.05319148936170213,0.0851063829787234,0.010638297872340425,0.2553191489361702,0.05319148936170213,0.30851063829787234,0.22340425531914893,0.0,0.010638297872340425
#ismene,0.0,0.017699115044247787,0.21238938053097345,0.017699115044247787,0.1415929203539823,0.21238938053097345,0.008849557522123894,0.168141592920354,0.22123893805309736
#thimante,0.0,0.0,0.05263157894736842,0.47368421052631576,0.0,0.15789473684210525,0.07894736842105263,0.07894736842105263,0.15789473684210525
#thersandre,0.09523809523809523,0.0,0.35714285714285715,0.2619047619047619,0.11904761904761904,0.0,0.15476190476190477,0.0,0.011904761904761904
#felicie,0.1935483870967742,0.08064516129032258,0.3387096774193548,0.03225806451612903,0.016129032258064516,0.24193548387096775,0.016129032258064516,0.04838709677419355,0.03225806451612903
#clidamant,0.0,0.32727272727272727,0.01818181818181818,0.32727272727272727,0.05454545454545454,0.01818181818181818,0.09090909090909091,0.0,0.16363636363636364
#parthenie,0.0,0.022727272727272728,0.0,0.5454545454545454,0.06818181818181818,0.045454545454545456,0.045454545454545456,0.2727272727272727,0.0
