VALEUR,#segeste,#sunnon,#ismenie,#varus,#barsine,#sinorix,#arminius,#polixene,#sigismond,#tullus
Fréquences (scènes),0.4444444444444444,0.08333333333333333,0.3888888888888889,0.3055555555555556,0.16666666666666666,0.05555555555555555,0.25,0.1388888888888889,0.2222222222222222,0.08333333333333333
Fréquences(répliques),0.23845193508114856,0.05056179775280899,0.17540574282147317,0.10362047440699126,0.03682896379525593,0.011235955056179775,0.20724094881398253,0.08239700374531835,0.06679151061173533,0.02746566791510612
Confrontation,0.16666666666666666,0.043859649122807015,0.16666666666666666,0.13157894736842105,0.07017543859649122,0.017543859649122806,0.11403508771929824,0.08771929824561403,0.14912280701754385,0.05263157894736842
Déviations,#segeste,#sunnon,#ismenie,#varus,#barsine,#sinorix,#arminius,#polixene,#sigismond,#tullus
#segeste,11.111111111111112,0.0833333333333333,1.6686507936507937,0.9116161616161612,2.6666666666666665,0.013888888888888902,0.25,2.2222222222222223,0.6805555555555554,0.3333333333333334
#sunnon,0.0833333333333333,30.25,1.1666666666666667,0.9166666666666667,0.5,0.16666666666666666,2.0833333333333335,0.8166666666666664,0.1666666666666667,0.25
#ismenie,1.668650793650793,1.1666666666666665,13.444444444444445,2.5115440115440126,3.047619047619049,0.7777777777777776,0.07142857142857142,0.4587301587301589,0.25396825396825423,0.02380952380952377
#varus,0.9116161616161621,0.9166666666666666,2.5115440115440113,17.361111111111104,1.8333333333333333,0.2474747474747476,1.1136363636363635,0.1823232323232324,0.08080808080808072,1.2803030303030307
#barsine,2.6666666666666665,0.5,3.0476190476190474,1.8333333333333335,25.0,0.3333333333333333,1.5,1.6333333333333329,0.0833333333333333,0.5
#sinorix,0.013888888888888902,0.16666666666666666,0.7777777777777778,0.24747474747474738,0.3333333333333333,32.111111111111114,0.5,0.2777777777777778,0.4444444444444444,0.16666666666666666
#arminius,0.25,2.0833333333333335,0.07142857142857142,1.1136363636363635,1.5,0.5,20.25,0.05,0.0,0.75
#polixene,2.2222222222222223,0.8166666666666669,0.4587301587301587,0.1823232323232324,1.6333333333333337,0.2777777777777778,0.05,26.694444444444443,7.51111111111111,0.41666666666666663
#sigismond,0.6805555555555554,0.1666666666666667,0.25396825396825395,0.08080808080808087,0.0833333333333333,0.4444444444444444,0.0,7.51111111111111,21.77777777777778,0.1666666666666667
#tullus,0.3333333333333334,0.25,0.02380952380952383,1.28030303030303,0.5,0.16666666666666666,0.75,0.4166666666666667,0.1666666666666667,30.25
Successions,#segeste,#sunnon,#ismenie,#varus,#barsine,#sinorix,#arminius,#polixene,#sigismond,#tullus
#segeste,0.0196078431372549,0.11764705882352941,0.29411764705882354,0.21568627450980393,0.0,0.058823529411764705,0.21568627450980393,0.0,0.0392156862745098,0.0392156862745098
#sunnon,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,0.2222222222222222,0.0,0.1111111111111111,0.0
#ismenie,0.3333333333333333,0.0,0.07692307692307693,0.05128205128205128,0.1282051282051282,0.02564102564102564,0.3076923076923077,0.02564102564102564,0.05128205128205128,0.0
#varus,0.4090909090909091,0.0,0.09090909090909091,0.045454545454545456,0.0,0.0,0.13636363636363635,0.045454545454545456,0.09090909090909091,0.18181818181818182
#barsine,0.0,0.0,0.6363636363636364,0.0,0.0,0.0,0.0,0.36363636363636365,0.0,0.0
#sinorix,0.5,0.0,0.25,0.25,0.0,0.0,0.0,0.0,0.0,0.0
#arminius,0.42424242424242425,0.06060606060606061,0.3333333333333333,0.030303030303030304,0.030303030303030304,0.0,0.0,0.06060606060606061,0.06060606060606061,0.0
#polixene,0.0625,0.0,0.0,0.0,0.25,0.0,0.125,0.0,0.5625,0.0
#sigismond,0.2222222222222222,0.05555555555555555,0.0,0.1111111111111111,0.05555555555555555,0.0,0.1111111111111111,0.4444444444444444,0.0,0.0
#tullus,0.3333333333333333,0.0,0.0,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,0.0
