VALEUR,#le-tibre,#la-seine,#brute,#cassie,#porcie,#lepide,#antoine,#calphurnie,#cesar,#philippus,#labeo,#quintus,#albin,#artemidore,#emilie,#un-citoyen,#un-autre-citoyen
Fréquences (scènes),0.038461538461538464,0.038461538461538464,0.46153846153846156,0.23076923076923078,0.19230769230769232,0.23076923076923078,0.3076923076923077,0.23076923076923078,0.3076923076923077,0.07692307692307693,0.038461538461538464,0.038461538461538464,0.07692307692307693,0.07692307692307693,0.038461538461538464,0.038461538461538464,0.038461538461538464
Fréquences(répliques),0.0,0.0,0.2857142857142857,0.09289617486338798,0.10460577673692428,0.02888368462138954,0.20140515222482436,0.08196721311475409,0.13505074160811867,0.00156128024980484,0.00858704137392662,0.00624512099921936,0.01483216237314598,0.0078064012490242,0.01717408274785324,0.00312256049960968,0.01014832162373146
Confrontation,0.008771929824561403,0.008771929824561403,0.18421052631578946,0.09649122807017543,0.043859649122807015,0.10526315789473684,0.13157894736842105,0.07017543859649122,0.14035087719298245,0.03508771929824561,0.03508771929824561,0.03508771929824561,0.05263157894736842,0.017543859649122806,0.008771929824561403,0.017543859649122806,0.008771929824561403
Déviations,#le-tibre,#la-seine,#brute,#cassie,#porcie,#lepide,#antoine,#calphurnie,#cesar,#philippus,#labeo,#quintus,#albin,#artemidore,#emilie,#un-citoyen,#un-autre-citoyen
#le-tibre,24.038461538461537,24.038461538461537,0.46153846153846156,0.23076923076923078,0.19230769230769232,0.23076923076923078,0.3076923076923077,0.23076923076923078,0.3076923076923077,0.07692307692307693,0.038461538461538464,0.038461538461538464,0.07692307692307693,0.07692307692307693,0.038461538461538464,0.038461538461538464,0.038461538461538464
#le-tibre,24.038461538461537,24.038461538461537,0.46153846153846156,0.23076923076923078,0.19230769230769232,0.23076923076923078,0.3076923076923077,0.23076923076923078,0.3076923076923077,0.07692307692307693,0.038461538461538464,0.038461538461538464,0.07692307692307693,0.07692307692307693,0.038461538461538464,0.038461538461538464,0.038461538461538464
#brute,0.46153846153846156,0.46153846153846156,7.538461538461539,3.7692307692307696,0.20769230769230754,1.1303418803418803,1.9631410256410258,1.1303418803418803,0.46314102564102544,0.9230769230769231,0.6282051282051281,0.6282051282051281,0.006410256410256401,0.006410256410256401,0.46153846153846156,0.46153846153846156,0.46153846153846156
#cassie,0.23076923076923078,0.23076923076923078,3.7692307692307696,15.384615384615381,0.020512820512820544,1.3846153846153846,1.8461538461538463,1.3846153846153846,0.38782051282051294,0.46153846153846156,2.5641025641025634,2.5641025641025634,0.6282051282051281,0.46153846153846156,0.23076923076923078,0.23076923076923078,0.23076923076923078
#porcie,0.19230769230769232,0.19230769230769232,0.20769230769230754,0.020512820512820544,16.96153846153846,1.153846153846154,1.5384615384615385,0.020512820512820544,1.5384615384615385,0.38461538461538464,0.19230769230769232,0.19230769230769232,0.38461538461538464,0.38461538461538464,0.19230769230769232,0.19230769230769232,0.19230769230769232
#lepide,0.23076923076923078,0.23076923076923078,1.1303418803418803,1.3846153846153846,1.153846153846154,15.384615384615381,9.346153846153843,1.3846153846153846,0.7211538461538459,0.6282051282051281,0.23076923076923078,0.23076923076923078,0.6282051282051281,0.46153846153846156,0.23076923076923078,0.23076923076923078,0.23076923076923078
