VALEUR,#momus,#thalie,#sosie,#lelie,#tartuffe,#madame-pernelle,#harpagon,#trissotin,#alceste,#angelique,#claudine,#clitandre,#george-dandin,#monsieur-jourdain,#tous-les-acteurs,#monsieur-le-kain,#monsieur-brizard,#choeur,#momus #monsieur-jourdain
Fréquences (scènes),0.76,0.4,0.64,0.16,0.08,0.04,0.08,0.16,0.08,0.12,0.08,0.04,0.04,0.08,0.04,0.04,0.04,0.04,0.0
Fréquences(répliques),0.17376681614349776,0.25448430493273544,0.2085201793721973,0.0795964125560538,0.0515695067264574,0.04035874439461883,0.007847533632286996,0.06278026905829596,0.06278026905829596,0.008968609865470852,0.0,0.0,0.0,0.01569506726457399,0.002242152466367713,0.006726457399103139,0.014573991031390135,0.008968609865470852,0.0011210762331838565
Confrontation,0.23333333333333334,0.11666666666666667,0.19444444444444445,0.05,0.03333333333333333,0.011111111111111112,0.027777777777777776,0.07222222222222222,0.027777777777777776,0.05,0.03333333333333333,0.016666666666666666,0.016666666666666666,0.044444444444444446,0.022222222222222223,0.016666666666666666,0.016666666666666666,0.016666666666666666,0.0
Déviations,#momus,#thalie,#sosie,#lelie,#tartuffe,#madame-pernelle,#harpagon,#trissotin,#alceste,#angelique,#claudine,#clitandre,#george-dandin,#monsieur-jourdain,#tous-les-acteurs,#monsieur-le-kain,#monsieur-brizard,#choeur,#momus #monsieur-jourdain
#momus,1.4400000000000004,0.8894736842105265,0.2784210526315789,0.35578947368421054,0.15157894736842104,0.07578947368421052,0.15157894736842104,0.30315789473684207,0.15157894736842104,0.22736842105263172,0.15157894736842104,0.07578947368421052,0.07578947368421052,0.15157894736842104,0.07578947368421052,0.76,0.76,0.76,0.0
#thalie,0.8894736842105261,9.0,0.30625000000000013,3.5999999999999996,0.049999999999999975,0.4000000000000001,0.8000000000000002,0.22500000000000006,0.8000000000000002,1.2,0.8000000000000002,0.4000000000000001,0.4000000000000001,0.049999999999999975,0.8999999999999999,0.8999999999999999,0.8999999999999999,0.8999999999999999,0.0
#sosie,0.2784210526315789,0.30625000000000013,3.2399999999999998,0.12250000000000001,0.061250000000000006,0.20249999999999999,0.40499999999999997,0.8099999999999999,0.40499999999999997,0.44083333333333324,1.28,0.64,0.64,0.40499999999999997,0.20249999999999999,0.64,0.64,0.64,0.0
#lelie,0.35578947368421054,3.5999999999999996,0.12250000000000001,17.639999999999997,0.32,0.16,0.32,0.64,0.32,0.48,0.32,0.16,0.16,0.32,4.409999999999999,0.16,0.16,0.16,0.0
#tartuffe,0.15157894736842104,0.049999999999999975,0.061250000000000006,0.32,21.16,0.08,0.16,1.4449999999999996,0.16,0.24,0.16,0.08,0.08,4.409999999999999,0.08,0.08,0.08,0.08,0.0
#madame-pernelle,0.07578947368421052,0.4000000000000001,0.20249999999999999,0.16,0.08,23.04,0.08,0.16,0.08,0.12,0.08,0.04,0.04,0.08,0.04,0.04,0.04,0.04,0.0
