VALEUR,#hali,#adraste,#premier-musicien,#deuxieme-musicien,#premie #deuxieme-musicien,#troisieme-musicien,#premier #deuxieme-musicien,#don-pedre,#isidore,#climene,#le-senateur
Fréquences (scènes),0.45,0.5,0.05,0.05,0.05,0.05,0.05,0.7,0.25,0.15,0.05
Fréquences(répliques),0.475,0.0,0.1125,0.0875,0.0375,0.15,0.0125,0.125,0.0,0.0,0.0
Confrontation,0.17346938775510204,0.19387755102040816,0.061224489795918366,0.061224489795918366,0.061224489795918366,0.061224489795918366,0.061224489795918366,0.19387755102040816,0.09183673469387756,0.030612244897959183,0.01020408163265306
Déviations,#hali,#adraste,#premier-musicien,#deuxieme-musicien,#premie #deuxieme-musicien,#troisieme-musicien,#premier #deuxieme-musicien,#don-pedre,#isidore,#climene,#le-senateur
#hali,6.050000000000001,0.5,0.6722222222222223,0.6722222222222223,0.6722222222222223,0.6722222222222223,0.6722222222222223,0.8396825396825396,0.027777777777777776,1.3499999999999999,0.45
#adraste,0.5,5.0,0.5,0.5,0.5,0.5,0.5,0.14285714285714285,0.1,1.5,0.5
#premier-musicien,0.6722222222222223,0.5,18.049999999999997,18.049999999999997,18.049999999999997,18.049999999999997,18.049999999999997,0.7,0.25,0.15,0.05000000000000001
#premier-musicien,0.6722222222222223,0.5,18.049999999999997,18.049999999999997,18.049999999999997,18.049999999999997,18.049999999999997,0.7,0.25,0.15,0.05000000000000001
#premier-musicien,0.6722222222222223,0.5,18.049999999999997,18.049999999999997,18.049999999999997,18.049999999999997,18.049999999999997,0.7,0.25,0.15,0.05000000000000001
#premier-musicien,0.6722222222222223,0.5,18.049999999999997,18.049999999999997,18.049999999999997,18.049999999999997,18.049999999999997,0.7,0.25,0.15,0.05000000000000001
#premier-musicien,0.6722222222222223,0.5,18.049999999999997,18.049999999999997,18.049999999999997,18.049999999999997,18.049999999999997,0.7,0.25,0.15,0.05000000000000001
#don-pedre,0.8396825396825396,0.14285714285714285,0.7000000000000001,0.7000000000000001,0.7000000000000001,0.7000000000000001,0.7000000000000001,1.800000000000001,0.6428571428571429,0.3857142857142856,0.1285714285714285
#isidore,0.027777777777777776,0.1,0.25,0.25,0.25,0.25,0.25,0.6428571428571429,11.25,0.75,0.25
#climene,1.35,1.5,0.15000000000000002,0.15000000000000002,0.15000000000000002,0.15000000000000002,0.15000000000000002,0.38571428571428606,0.75,14.450000000000001,0.15000000000000002
#le-senateur,0.45,0.5,0.05000000000000001,0.05000000000000001,0.05000000000000001,0.05000000000000001,0.05000000000000001,0.12857142857142861,0.25,0.15,18.049999999999997
Successions,#hali,#adraste,#premier-musicien,#deuxieme-musicien,#premie #deuxieme-musicien,#troisieme-musicien,#premier #deuxieme-musicien,#don-pedre,#isidore,#climene,#le-senateur
#hali,0.05,0.55,0.0,0.0,0.0,0.0,0.025,0.35,0.025,0.0,0.0
#adraste,0.43636363636363634,0.0,0.0,0.0,0.0,0.0,0.0,0.32727272727272727,0.23636363636363636,0.0,0.0
#premier-musicien,0.0,0.25,0.0,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#deuxieme-musicien,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#deuxieme-musicien,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#troisieme-musicien,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
#premier #deuxieme-musicien,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
#don-pedre,0.19696969696969696,0.2727272727272727,0.0,0.0,0.0,0.0,0.0,0.07575757575757576,0.2878787878787879,0.045454545454545456,0.12121212121212122
#isidore,0.05714285714285714,0.4,0.0,0.0,0.0,0.0,0.0,0.5142857142857142,0.02857142857142857,0.0,0.0
#climene,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,0.3333333333333333,0.0,0.0
#le-senateur,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
