VALEUR,#mome,#apollon,#melasie,#philinte,#cleone,#alcipe,#rosimon,#alcidor,#de-la-rancune
Fréquences (scènes),0.16666666666666666,0.3333333333333333,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.6666666666666666,0.16666666666666666,0.3333333333333333,0.16666666666666666
Fréquences(répliques),0.19624217118997914,0.4342379958246347,0.033402922755741124,0.13987473903966596,0.07515657620041753,0.12108559498956159,0.0,0.0,0.0
Confrontation,0.00980392156862745,0.06862745098039216,0.18627450980392157,0.18627450980392157,0.18627450980392157,0.16666666666666666,0.0392156862745098,0.09803921568627451,0.058823529411764705
Déviations,#mome,#apollon,#melasie,#philinte,#cleone,#alcipe,#rosimon,#alcidor,#de-la-rancune
#mome,4.166666666666668,1.3333333333333337,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.6666666666666666,0.16666666666666666,0.3333333333333333,0.16666666666666666
#apollon,1.3333333333333337,2.6666666666666674,0.2666666666666667,0.2666666666666667,0.2666666666666667,0.0833333333333333,0.3333333333333333,0.1666666666666667,1.3333333333333337
#melasie,0.8333333333333333,0.26666666666666655,0.16666666666666655,0.16666666666666655,0.16666666666666655,0.13333333333333347,0.03333333333333337,0.06666666666666674,0.03333333333333337
#melasie,0.8333333333333333,0.26666666666666655,0.16666666666666655,0.16666666666666655,0.16666666666666655,0.13333333333333347,0.03333333333333337,0.06666666666666674,0.03333333333333337
#melasie,0.8333333333333333,0.26666666666666655,0.16666666666666655,0.16666666666666655,0.16666666666666655,0.13333333333333347,0.03333333333333337,0.06666666666666674,0.03333333333333337
#alcipe,0.6666666666666666,0.0833333333333333,0.13333333333333328,0.13333333333333328,0.13333333333333328,0.6666666666666669,0.1666666666666667,0.3333333333333334,0.1666666666666667
#rosimon,0.16666666666666666,0.3333333333333333,0.03333333333333332,0.03333333333333332,0.03333333333333332,0.1666666666666667,4.166666666666668,0.3333333333333333,0.16666666666666666
#alcidor,0.3333333333333333,0.1666666666666667,0.06666666666666664,0.06666666666666664,0.06666666666666664,0.3333333333333334,0.3333333333333333,2.6666666666666674,1.3333333333333337
#de-la-rancune,0.16666666666666666,1.3333333333333337,0.03333333333333332,0.03333333333333332,0.03333333333333332,0.1666666666666667,0.16666666666666666,1.3333333333333337,4.166666666666668
Successions,#mome,#apollon,#melasie,#philinte,#cleone,#alcipe,#rosimon,#alcidor,#de-la-rancune
#mome,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#apollon,0.9473684210526315,0.0,0.0,0.0,0.05263157894736842,0.0,0.0,0.0,0.0
#melasie,0.0,0.04,0.0,0.4,0.12,0.28,0.04,0.08,0.04
#philinte,0.0,0.0,0.16,0.0,0.2,0.28,0.1,0.24,0.02
#cleone,0.0,0.0,0.21212121212121213,0.24242424242424243,0.0,0.24242424242424243,0.06060606060606061,0.15151515151515152,0.09090909090909091
#alcipe,0.0,0.0,0.10638297872340426,0.2978723404255319,0.23404255319148937,0.02127659574468085,0.10638297872340426,0.19148936170212766,0.0425531914893617
#rosimon,0.0,0.0,0.15384615384615385,0.23076923076923078,0.15384615384615385,0.46153846153846156,0.0,0.0,0.0
#alcidor,0.0,0.0,0.0967741935483871,0.3548387096774194,0.0967741935483871,0.3225806451612903,0.0,0.0,0.12903225806451613
#de-la-rancune,0.0,0.0,0.0,0.36363636363636365,0.2727272727272727,0.09090909090909091,0.0,0.2727272727272727,0.0
