VALEUR,#lavinie,#albine,#mezence,#tirrhene,#agrippa,#julie,#fauste,#lauzus,#atis,#camille
Fréquences (scènes),0.56,0.32,0.32,0.48,0.32,0.08,0.16,0.04,0.04,0.04
Fréquences(répliques),0.23545554335894622,0.12294182217343579,0.14654226125137212,0.22557628979143798,0.20417124039517015,0.010428100987925357,0.05214050493962678,0.0005488474204171241,0.0005488474204171241,0.001646542261251372
Confrontation,0.2391304347826087,0.11956521739130435,0.09782608695652174,0.21739130434782608,0.14130434782608695,0.03260869565217391,0.06521739130434782,0.03260869565217391,0.03260869565217391,0.021739130434782608
Déviations,#lavinie,#albine,#mezence,#tirrhene,#agrippa,#julie,#fauste,#lauzus,#atis,#camille
#lavinie,4.839999999999996,0.05142857142857152,0.05142857142857152,0.011666666666666612,0.48892857142857166,0.01285714285714288,0.02571428571428576,0.56,0.56,0.34571428571428564
#albine,0.05142857142857152,11.559999999999997,2.56,0.18374999999999994,0.12250000000000001,2.8899999999999992,1.28,0.32,0.32,0.32
#mezence,0.05142857142857152,2.56,11.559999999999997,0.8816666666666665,0.950625,0.64,0.40499999999999997,0.32,0.32,0.32
#tirrhene,0.011666666666666612,0.18374999999999994,0.8816666666666665,6.760000000000001,0.35041666666666677,0.96,0.44083333333333324,0.5633333333333335,0.5633333333333335,0.48
#agrippa,0.48892857142857166,0.12250000000000001,0.950625,0.35041666666666677,11.559999999999997,0.64,1.28,1.4449999999999996,1.4449999999999996,0.32
#julie,0.01285714285714288,2.8899999999999992,0.64,0.96,0.64,21.16,0.32,0.08,0.08,0.08
#fauste,0.02571428571428576,1.28,0.40499999999999997,0.44083333333333324,1.28,0.32,17.639999999999997,0.16,0.16,4.409999999999999
#lauzus,0.56,0.32,0.32,0.5633333333333335,1.4449999999999996,0.08,0.16,23.04,23.04,0.04
#lauzus,0.56,0.32,0.32,0.5633333333333335,1.4449999999999996,0.08,0.16,23.04,23.04,0.04
#camille,0.34571428571428564,0.32,0.32,0.48,0.32,0.08,4.409999999999999,0.04,0.04,23.04
Successions,#lavinie,#albine,#mezence,#tirrhene,#agrippa,#julie,#fauste,#lauzus,#atis,#camille
#lavinie,0.031746031746031744,0.19047619047619047,0.2222222222222222,0.2698412698412698,0.19047619047619047,0.0,0.07936507936507936,0.0,0.0,0.015873015873015872
#albine,0.34210526315789475,0.0,0.0,0.18421052631578946,0.21052631578947367,0.2631578947368421,0.0,0.0,0.0,0.0
#mezence,0.4722222222222222,0.0,0.027777777777777776,0.2222222222222222,0.2222222222222222,0.0,0.05555555555555555,0.0,0.0,0.0
#tirrhene,0.22857142857142856,0.12857142857142856,0.14285714285714285,0.02857142857142857,0.4142857142857143,0.0,0.04285714285714286,0.0,0.014285714285714285,0.0
#agrippa,0.19298245614035087,0.12280701754385964,0.15789473684210525,0.5087719298245614,0.0,0.0,0.0,0.017543859649122806,0.0,0.0
#julie,0.0,0.9,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0
#fauste,0.3,0.1,0.2,0.4,0.0,0.0,0.0,0.0,0.0,0.0
#lauzus,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
#lauzus,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
#camille,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
