VALEUR,#zirphee,#le-choeur,#zirene,#zirphee #zirene,#amadis,#le-prince-de-thrace,#un-berger,#la-bergere,#melisse,#niquee,#niquee #amadis,#un-chevalier-enchante,#choeur,#la-princesse-enchantee,#choeur-de-magiciens,#le-conducteur-de-la-fee,#un-matelot,#l-ombre
#choeur,0.17391304347826086,0.34782608695652173,0.08695652173913043,0.08695652173913043,0.0018115942028985484,0.5217391304347826,0.08695652173913043,0.08695652173913043,0.782608695652174,0.2515527950310558,2.094202898550724,9.58695652173913,19.17391304347826,9.58695652173913,0.08695652173913043,0.08695652173913043,0.08695652173913043,0.08695652173913043
#un-chevalier-enchante,0.08695652173913043,0.17391304347826086,0.043478260869565216,0.043478260869565216,0.43840579710144933,0.2608695652173913,0.043478260869565216,0.043478260869565216,0.391304347826087,1.590062111801242,5.797101449275362,21.043478260869566,9.58695652173913,21.043478260869566,0.043478260869565216,0.043478260869565216,0.043478260869565216,0.043478260869565216
#choeur-de-magiciens,0.08695652173913043,3.9239130434782608,0.043478260869565216,0.043478260869565216,0.43840579710144933,0.2608695652173913,0.043478260869565216,0.043478260869565216,0.9468599033816426,0.30434782608695654,0.13043478260869565,0.043478260869565216,0.08695652173913043,0.043478260869565216,21.043478260869566,0.043478260869565216,0.043478260869565216,0.043478260869565216
#le-conducteur-de-la-fee,0.08695652173913043,3.9239130434782608,0.043478260869565216,0.043478260869565216,0.5217391304347826,0.2608695652173913,0.043478260869565216,0.043478260869565216,0.391304347826087,1.590062111801242,0.13043478260869565,0.043478260869565216,0.08695652173913043,0.043478260869565216,0.043478260869565216,21.043478260869566,21.043478260869566,0.043478260869565216
#le-conducteur-de-la-fee,0.08695652173913043,3.9239130434782608,0.043478260869565216,0.043478260869565216,0.5217391304347826,0.2608695652173913,0.043478260869565216,0.043478260869565216,0.391304347826087,1.590062111801242,0.13043478260869565,0.043478260869565216,0.08695652173913043,0.043478260869565216,0.043478260869565216,21.043478260869566,21.043478260869566,0.043478260869565216
#l-ombre,0.08695652173913043,0.17391304347826086,0.043478260869565216,0.043478260869565216,0.5217391304347826,0.2608695652173913,0.043478260869565216,0.043478260869565216,0.391304347826087,0.30434782608695654,0.13043478260869565,0.043478260869565216,0.08695652173913043,0.043478260869565216,0.043478260869565216,0.043478260869565216,0.043478260869565216,21.043478260869566
Successions,#zirphee,#le-choeur,#zirene,#zirphee #zirene,#amadis,#le-prince-de-thrace,#un-berger,#la-bergere,#melisse,#niquee,#niquee #amadis,#un-chevalier-enchante,#choeur,#la-princesse-enchantee,#choeur-de-magiciens,#le-conducteur-de-la-fee,#un-matelot,#l-ombre
#zirphee,0.0,0.25,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#le-choeur,0.16666666666666666,0.0,0.08333333333333333,0.0,0.16666666666666666,0.0,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.08333333333333333,0.25,0.0
#zirene,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#zirphee #zirene,0.0,0.5,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#amadis,0.05555555555555555,0.0,0.0,0.0,0.05555555555555555,0.2222222222222222,0.0,0.027777777777777776,0.4722222222222222,0.1388888888888889,0.0,0.0,0.0,0.0,0.027777777777777776,0.0,0.0,0.0
#le-prince-de-thrace,0.0,0.07142857142857142,0.0,0.0,0.6428571428571429,0.0,0.0,0.0,0.14285714285714285,0.14285714285714285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#zirene,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#zirene,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#melisse,0.0,0.0,0.0,0.0,0.5862068965517241,0.06896551724137931,0.0,0.0,0.06896551724137931,0.1724137931034483,0.034482758620689655,0.0,0.0,0.034482758620689655,0.0,0.0,0.0,0.034482758620689655
#niquee,0.0,0.058823529411764705,0.0,0.0,0.23529411764705882,0.23529411764705882,0.0,0.0,0.35294117647058826,0.0,0.11764705882352941,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#niquee #amadis,0.0,0.0,0.0,0.0,0.6666666666666666,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#un-chevalier-enchante,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#choeur,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.3333333333333333,0.0,0.0,0.0,0.0
#la-princesse-enchantee,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
#zirene,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#un-chevalier-enchante,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#zirene,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#l-ombre,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
