VALEUR,#zirphee,#le-choeur,#zirene,#zirphee #zirene,#amadis,#le-prince-de-thrace,#un-berger,#la-bergere,#melisse,#niquee,#niquee #amadis,#un-chevalier-enchante,#choeur,#la-princesse-enchantee,#choeur-de-magiciens,#le-conducteur-de-la-fee,#un-matelot,#l-ombre
Fréquences (scènes),0.08695652173913043,0.17391304347826086,0.043478260869565216,0.043478260869565216,0.5217391304347826,0.2608695652173913,0.043478260869565216,0.043478260869565216,0.391304347826087,0.30434782608695654,0.13043478260869565,0.043478260869565216,0.08695652173913043,0.043478260869565216,0.043478260869565216,0.043478260869565216,0.043478260869565216,0.043478260869565216
Fréquences(répliques),0.0487062404870624,0.0745814307458143,0.0076103500761035,0.0167427701674277,0.2633181126331811,0.1035007610350076,0.0060882800608828,0.0228310502283105,0.2617960426179604,0.091324200913242,0.0136986301369863,0.0060882800608828,0.0121765601217656,0.0182648401826484,0.0060882800608828,0.0060882800608828,0.0319634703196347,0.0091324200913242
Confrontation,0.040983606557377046,0.09836065573770492,0.02459016393442623,0.02459016393442623,0.1885245901639344,0.03278688524590164,0.02459016393442623,0.02459016393442623,0.10655737704918032,0.14754098360655737,0.09016393442622951,0.040983606557377046,0.040983606557377046,0.040983606557377046,0.02459016393442623,0.02459016393442623,0.02459016393442623,0.0
Déviations,#zirphee,#le-choeur,#zirene,#zirphee #zirene,#amadis,#le-prince-de-thrace,#un-berger,#la-bergere,#melisse,#niquee,#niquee #amadis,#un-chevalier-enchante,#choeur,#la-princesse-enchantee,#choeur-de-magiciens,#le-conducteur-de-la-fee,#un-matelot,#l-ombre
#zirphee,19.17391304347826,1.2228260869565217,9.58695652173913,9.58695652173913,0.0018115942028985484,0.5217391304347826,0.08695652173913043,0.08695652173913043,0.782608695652174,0.2515527950310558,0.2608695652173913,0.08695652173913043,0.17391304347826086,0.08695652173913043,0.08695652173913043,0.08695652173913043,0.08695652173913043,0.08695652173913043
#le-choeur,1.2228260869565217,15.695652173913043,3.9239130434782608,3.9239130434782608,0.0036231884057970967,1.0434782608695652,3.9239130434782608,3.9239130434782608,0.20410628019323673,0.03881987577639754,0.5217391304347826,0.17391304347826086,0.34782608695652173,0.17391304347826086,3.9239130434782608,3.9239130434782608,3.9239130434782608,0.17391304347826086
#zirene,9.58695652173913,3.9239130434782608,21.043478260869566,21.043478260869566,0.5217391304347826,0.2608695652173913,0.043478260869565216,0.043478260869565216,0.391304347826087,0.30434782608695654,0.13043478260869565,0.043478260869565216,0.08695652173913043,0.043478260869565216,0.043478260869565216,0.043478260869565216,0.043478260869565216,0.043478260869565216
#zirene,9.58695652173913,3.9239130434782608,21.043478260869566,21.043478260869566,0.5217391304347826,0.2608695652173913,0.043478260869565216,0.043478260869565216,0.391304347826087,0.30434782608695654,0.13043478260869565,0.043478260869565216,0.08695652173913043,0.043478260869565216,0.043478260869565216,0.043478260869565216,0.043478260869565216,0.043478260869565216
#amadis,0.0018115942028985484,0.0036231884057970967,0.5217391304347826,0.5217391304347826,5.2608695652173925,0.40821256038647324,0.43840579710144933,0.43840579710144933,0.019726247987117498,0.03312629399585917,1.3152173913043481,0.43840579710144933,0.0018115942028985484,0.43840579710144933,0.43840579710144933,0.5217391304347826,0.5217391304347826,0.5217391304347826
#le-prince-de-thrace,0.5217391304347826,1.0434782608695652,0.2608695652173913,0.2608695652173913,0.40821256038647324,12.56521739130435,0.2608695652173913,0.2608695652173913,0.7737520128824478,0.3737060041407868,0.7826086956521738,0.2608695652173913,0.5217391304347826,0.2608695652173913,0.2608695652173913,0.2608695652173913,0.2608695652173913,0.2608695652173913
#un-berger,0.08695652173913043,3.9239130434782608,0.043478260869565216,0.043478260869565216,0.43840579710144933,0.2608695652173913,21.043478260869566,21.043478260869566,0.391304347826087,0.30434782608695654,0.13043478260869565,0.043478260869565216,0.08695652173913043,0.043478260869565216,0.043478260869565216,0.043478260869565216,0.043478260869565216,0.043478260869565216
#un-berger,0.08695652173913043,3.9239130434782608,0.043478260869565216,0.043478260869565216,0.43840579710144933,0.2608695652173913,21.043478260869566,21.043478260869566,0.391304347826087,0.30434782608695654,0.13043478260869565,0.043478260869565216,0.08695652173913043,0.043478260869565216,0.043478260869565216,0.043478260869565216,0.043478260869565216,0.043478260869565216
#melisse,0.7826086956521738,0.20410628019323662,0.3913043478260869,0.3913043478260869,0.019726247987117616,0.7737520128824474,0.3913043478260869,0.3913043478260869,8.52173913043478,0.024844720496894377,0.5813204508856685,0.3913043478260869,0.7826086956521738,0.3913043478260869,0.9468599033816427,0.3913043478260869,0.3913043478260869,0.3913043478260869
#niquee,0.2515527950310558,0.03881987577639754,0.30434782608695654,0.30434782608695654,0.03312629399585926,0.3737060041407867,0.30434782608695654,0.30434782608695654,0.024844720496894377,11.130434782608695,4.770186335403727,1.590062111801242,0.2515527950310558,1.590062111801242,0.30434782608695654,1.590062111801242,1.590062111801242,0.30434782608695654
#niquee #amadis,0.2608695652173913,0.5217391304347826,0.13043478260869565,0.13043478260869565,1.3152173913043481,0.7826086956521738,0.13043478260869565,0.13043478260869565,0.5813204508856681,4.770186335403726,17.39130434782609,5.797101449275362,2.094202898550724,5.797101449275362,0.13043478260869565,0.13043478260869565,0.13043478260869565,0.13043478260869565
#un-chevalier-enchante,0.08695652173913043,0.17391304347826086,0.043478260869565216,0.043478260869565216,0.43840579710144933,0.2608695652173913,0.043478260869565216,0.043478260869565216,0.391304347826087,1.590062111801242,5.797101449275362,21.043478260869566,9.58695652173913,21.043478260869566,0.043478260869565216,0.043478260869565216,0.043478260869565216,0.043478260869565216
