VALEUR,#theandre,#rosilee,#lucidan,#policrane,#androphile,#glacitide,#lindorante,#philidaspe,#rosimar,#un-citoyen,#artesie,#alcaste,#palinonde,#perintor,#menocrite,#orchomene,#lucidame
Fréquences (scènes),0.43478260869565216,0.43478260869565216,0.5652173913043478,0.043478260869565216,0.08695652173913043,0.21739130434782608,0.13043478260869565,0.17391304347826086,0.13043478260869565,0.043478260869565216,0.21739130434782608,0.043478260869565216,0.043478260869565216,0.13043478260869565,0.043478260869565216,0.043478260869565216,0.043478260869565216
Fréquences(répliques),0.23265592151366504,0.0700770847932726,0.3251576734407849,0.000700770847932726,0.06797477224947442,0.050455501051156273,0.03363700070077085,0.05185704274702172,0.05185704274702172,0.001401541695865452,0.03714085494043448,0.005606166783461808,0.002803083391730904,0.026629292221443588,0.01401541695865452,0.01401541695865452,0.01401541695865452
Confrontation,0.16666666666666666,0.15333333333333332,0.17333333333333334,0.013333333333333334,0.04,0.08666666666666667,0.04,0.04666666666666667,0.06,0.006666666666666667,0.06666666666666667,0.013333333333333334,0.006666666666666667,0.04666666666666667,0.02666666666666667,0.02666666666666667,0.02666666666666667
Déviations,#theandre,#rosilee,#lucidan,#policrane,#androphile,#glacitide,#lindorante,#philidaspe,#rosimar,#un-citoyen,#artesie,#alcaste,#palinonde,#perintor,#menocrite,#orchomene,#lucidame
#theandre,7.347826086956523,0.627826086956522,0.48294314381270864,0.43478260869565216,0.019565217391304356,1.533913043478261,1.3043478260869565,1.7391304347826086,0.37101449275362314,0.43478260869565216,0.013913043478260851,0.43478260869565216,0.43478260869565216,2.2043478260869565,0.7347826086956523,0.7347826086956523,0.7347826086956523
#rosilee,0.627826086956522,7.347826086956523,0.07525083612040119,0.7347826086956523,0.019565217391304356,0.313913043478261,1.3043478260869565,1.7391304347826086,0.07101449275362319,0.43478260869565216,1.533913043478261,0.7347826086956523,0.43478260869565216,0.07101449275362319,0.43478260869565216,0.43478260869565216,0.43478260869565216
#lucidan,0.48294314381270864,0.07525083612040119,4.347826086956526,0.3344481605351171,0.6688963210702342,0.010702341137123789,1.0033444816053518,1.3377926421404684,0.28539576365663305,0.5652173913043478,1.1799331103678927,0.5652173913043478,0.3344481605351171,0.28539576365663305,0.5652173913043478,0.5652173913043478,0.5652173913043478
#policrane,0.43478260869565216,0.7347826086956523,0.3344481605351171,21.043478260869566,0.08695652173913043,0.21739130434782608,0.13043478260869565,0.17391304347826086,0.13043478260869565,0.043478260869565216,0.21739130434782608,0.043478260869565216,0.043478260869565216,0.13043478260869565,0.043478260869565216,0.043478260869565216,0.043478260869565216
#androphile,0.019565217391304356,0.019565217391304356,0.6688963210702342,0.08695652173913043,19.17391304347826,5.634782608695653,0.2608695652173913,0.34782608695652173,0.2608695652173913,0.08695652173913043,0.43478260869565216,0.08695652173913043,0.08695652173913043,0.2608695652173913,0.08695652173913043,0.08695652173913043,0.08695652173913043
#glacitide,1.533913043478261,0.313913043478261,0.010702341137123789,0.21739130434782608,5.634782608695653,14.08695652173913,0.6521739130434783,0.8695652173913043,0.18550724637681157,0.21739130434782608,1.0869565217391304,0.21739130434782608,0.21739130434782608,0.6521739130434783,0.21739130434782608,0.21739130434782608,0.21739130434782608
#lindorante,1.3043478260869565,1.3043478260869565,1.0033444816053512,0.13043478260869565,0.2608695652173913,0.6521739130434783,17.39130434782609,11.771739130434781,0.3913043478260869,0.13043478260869565,0.6521739130434783,0.13043478260869565,0.13043478260869565,0.3913043478260869,0.13043478260869565,0.13043478260869565,0.13043478260869565
#philidaspe,1.7391304347826086,1.7391304347826086,1.3377926421404684,0.17391304347826086,0.34782608695652173,0.8695652173913043,11.771739130434781,15.695652173913043,0.5217391304347826,0.17391304347826086,0.8695652173913043,0.17391304347826086,0.17391304347826086,0.5217391304347826,0.17391304347826086,0.17391304347826086,0.17391304347826086
#rosimar,0.37101449275362314,0.07101449275362319,0.2853957636566332,0.13043478260869565,0.2608695652173913,0.18550724637681157,0.3913043478260869,0.5217391304347826,17.39130434782609,5.797101449275362,0.6521739130434783,0.13043478260869565,0.13043478260869565,0.3913043478260869,5.797101449275362,5.797101449275362,5.797101449275362
#un-citoyen,0.43478260869565216,0.43478260869565216,0.5652173913043478,0.043478260869565216,0.08695652173913043,0.21739130434782608,0.13043478260869565,0.17391304347826086,5.797101449275362,21.043478260869566,0.21739130434782608,0.043478260869565216,0.043478260869565216,0.13043478260869565,0.043478260869565216,0.043478260869565216,0.043478260869565216
