VALEUR,#le-comte,#figaro,#rosine,#bartholo,#l-eveille,#la-jeunesse,#bazile,#tous,#le-notaire,#l-alcade
Fréquences (scènes),0.45454545454545453,0.38636363636363635,0.5454545454545454,0.5909090909090909,0.045454545454545456,0.022727272727272728,0.11363636363636363,0.022727272727272728,0.045454545454545456,0.022727272727272728
Fréquences(répliques),0.18110236220472442,0.2047244094488189,0.5196850393700787,0.09448818897637795,0.0,0.0,0.0,0.0,0.0,0.0
Confrontation,0.20618556701030927,0.17525773195876287,0.1958762886597938,0.211340206185567,0.015463917525773196,0.010309278350515464,0.08247422680412371,0.02577319587628866,0.04639175257731959,0.030927835051546393
Déviations,#le-comte,#figaro,#rosine,#bartholo,#l-eveille,#la-jeunesse,#bazile,#tous,#le-notaire,#l-alcade
#le-comte,13.090909090909093,1.3860962566844925,0.000757575757575771,0.05664335664335666,0.9090909090909092,0.4545454545454546,0.2327272727272729,0.6545454545454544,1.3090909090909089,0.6545454545454544
#figaro,1.3860962566844925,16.568181818181817,0.008021390374331484,0.9232825997531887,0.7727272727272727,0.38636363636363635,0.5906417112299467,0.9745989304812834,1.9491978609625669,0.9745989304812834
#rosine,0.000757575757575771,0.008021390374331588,9.090909090909093,0.09848484848484874,1.0909090909090908,0.5454545454545454,0.19393939393939383,0.3787878787878789,0.007575757575757562,0.3787878787878789
#bartholo,0.05664335664335666,0.9232825997531878,0.09848484848484818,7.363636363636361,0.5664335664335663,0.2832167832167832,0.3699300699300699,0.2832167832167832,0.02797202797202799,0.2832167832167832
#l-eveille,0.9090909090909091,0.7727272727272727,1.0909090909090908,0.5664335664335663,40.09090909090909,20.045454545454547,0.22727272727272727,0.045454545454545456,0.09090909090909091,0.045454545454545456
#la-jeunesse,0.45454545454545453,0.38636363636363635,0.5454545454545454,0.2832167832167832,20.045454545454547,42.02272727272727,0.11363636363636363,0.022727272727272728,0.045454545454545456,0.022727272727272728
#bazile,0.2327272727272729,0.5906417112299467,0.19393939393939383,0.3699300699300699,0.2272727272727273,0.11363636363636365,34.56818181818182,6.913636363636363,13.827272727272726,6.913636363636363
#tous,0.6545454545454544,0.9745989304812834,0.3787878787878789,0.2832167832167832,0.045454545454545456,0.022727272727272728,6.913636363636364,42.02272727272727,0.045454545454545456,0.022727272727272728
#le-notaire,1.3090909090909089,1.9491978609625669,0.007575757575757562,0.02797202797202799,0.09090909090909091,0.045454545454545456,13.827272727272728,0.045454545454545456,40.09090909090909,20.045454545454547
#l-alcade,0.6545454545454544,0.9745989304812834,0.3787878787878789,0.2832167832167832,0.045454545454545456,0.022727272727272728,6.913636363636364,0.022727272727272728,20.045454545454547,42.02272727272727
Successions,#le-comte,#figaro,#rosine,#bartholo,#l-eveille,#la-jeunesse,#bazile,#tous,#le-notaire,#l-alcade
#le-comte,0.0,0.45544554455445546,0.13366336633663367,0.3564356435643564,0.0,0.0,0.039603960396039604,0.0,0.009900990099009901,0.0049504950495049506
#figaro,0.5705882352941176,0.0,0.2,0.18823529411764706,0.0,0.0,0.023529411764705882,0.0,0.011764705882352941,0.0058823529411764705
#rosine,0.1744186046511628,0.20930232558139536,0.011627906976744186,0.5930232558139535,0.0,0.0,0.011627906976744186,0.0,0.0,0.0
#bartholo,0.2595419847328244,0.12595419847328243,0.40076335877862596,0.015267175572519083,0.022900763358778626,0.015267175572519083,0.15267175572519084,0.0,0.003816793893129771,0.003816793893129771
#l-eveille,0.0,0.0,0.0,0.8571428571428571,0.0,0.14285714285714285,0.0,0.0,0.0,0.0
#la-jeunesse,0.0,0.0,0.0,0.8,0.2,0.0,0.0,0.0,0.0,0.0
#bazile,0.1016949152542373,0.11864406779661017,0.06779661016949153,0.6610169491525424,0.0,0.0,0.0,0.03389830508474576,0.01694915254237288,0.0
#tous,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
#le-notaire,0.16666666666666666,0.16666666666666666,0.0,0.3333333333333333,0.0,0.0,0.3333333333333333,0.0,0.0,0.0
#l-alcade,0.3333333333333333,0.0,0.0,0.3333333333333333,0.0,0.0,0.3333333333333333,0.0,0.0,0.0
