VALEUR,#bocchar,#sophonisbe,#herminie,#eryxe,#syphax,#barcee,#massinisse,#mezetulle,#lepide,#lelius,#albin,#page
Fréquences (scènes),0.03571428571428571,0.5714285714285714,0.10714285714285714,0.39285714285714285,0.17857142857142858,0.03571428571428571,0.32142857142857145,0.14285714285714285,0.14285714285714285,0.21428571428571427,0.03571428571428571,0.03571428571428571
Fréquences(répliques),0.016181229773462782,0.3354908306364617,0.022653721682847898,0.19093851132686085,0.10571736785329018,0.010248112189859764,0.1574973031283711,0.024271844660194174,0.03290183387270766,0.09870550161812297,0.0037756202804746495,0.0016181229773462784
Confrontation,0.012195121951219513,0.24390243902439024,0.036585365853658534,0.17073170731707318,0.06097560975609756,0.012195121951219513,0.14634146341463414,0.08536585365853659,0.07317073170731707,0.0975609756097561,0.024390243902439025,0.036585365853658534
Déviations,#bocchar,#sophonisbe,#herminie,#eryxe,#syphax,#barcee,#massinisse,#mezetulle,#lepide,#lelius,#albin,#page
#bocchar,26.03571428571429,0.3214285714285715,0.10714285714285714,0.39285714285714285,0.17857142857142858,0.03571428571428571,0.32142857142857145,0.14285714285714285,0.14285714285714285,0.21428571428571427,0.03571428571428571,0.03571428571428571
#sophonisbe,0.3214285714285715,5.142857142857144,0.9642857142857145,0.26298701298701294,0.2571428571428572,0.5714285714285714,0.2539682539682541,0.22321428571428584,0.7232142857142856,3.4285714285714284,0.5714285714285714,0.3214285714285715
#herminie,0.10714285714285714,0.9642857142857145,22.321428571428577,1.1785714285714286,0.5357142857142857,0.10714285714285714,0.9642857142857144,0.42857142857142855,0.42857142857142855,0.6428571428571428,0.10714285714285714,0.10714285714285714
#eryxe,0.39285714285714285,0.26298701298701294,1.1785714285714286,10.321428571428573,1.9642857142857144,0.9383116883116885,0.6670274170274173,0.20779220779220778,0.20779220779220778,0.17532467532467527,0.39285714285714285,0.9383116883116885
#syphax,0.17857142857142855,0.25714285714285695,0.5357142857142857,1.9642857142857142,18.89285714285714,0.17857142857142855,1.6071428571428572,0.7142857142857142,2.314285714285715,0.004761904761904758,0.17857142857142855,0.17857142857142855
#barcee,0.03571428571428571,0.5714285714285714,0.10714285714285714,0.9383116883116885,0.17857142857142858,26.03571428571429,0.32142857142857145,0.14285714285714285,0.14285714285714285,0.21428571428571427,0.03571428571428571,0.03571428571428571
#massinisse,0.3214285714285714,0.25396825396825373,0.9642857142857142,0.667027417027417,1.6071428571428572,0.3214285714285714,12.89285714285714,0.396825396825397,0.06349206349206343,0.00264550264550266,1.4325396825396828,0.3214285714285714
#mezetulle,0.14285714285714285,0.22321428571428584,0.42857142857142855,0.20779220779220778,0.7142857142857143,0.14285714285714285,0.3968253968253967,20.571428571428577,0.5714285714285714,0.8571428571428571,0.14285714285714285,5.142857142857144
#lepide,0.14285714285714285,0.7232142857142856,0.42857142857142855,0.20779220779220778,2.3142857142857136,0.14285714285714285,0.06349206349206353,0.5714285714285714,20.571428571428577,0.023809523809523826,0.14285714285714285,0.14285714285714285
#lelius,0.21428571428571427,3.4285714285714284,0.6428571428571428,0.17532467532467527,0.004761904761904758,0.21428571428571427,0.0026455026455026267,0.8571428571428571,0.023809523809523826,17.28571428571429,2.880952380952381,0.21428571428571427
#albin,0.03571428571428571,0.5714285714285714,0.10714285714285714,0.39285714285714285,0.17857142857142858,0.03571428571428571,1.4325396825396826,0.14285714285714285,0.14285714285714285,2.880952380952381,26.03571428571429,0.03571428571428571
#page,0.03571428571428571,0.3214285714285715,0.10714285714285714,0.9383116883116885,0.17857142857142858,0.03571428571428571,0.32142857142857145,5.142857142857144,0.14285714285714285,0.21428571428571427,0.03571428571428571,26.03571428571429
Successions,#bocchar,#sophonisbe,#herminie,#eryxe,#syphax,#barcee,#massinisse,#mezetulle,#lepide,#lelius,#albin,#page
#bocchar,,,,,,,,,,,,
#sophonisbe,0.01282051282051282,0.05128205128205128,0.10256410256410256,0.34615384615384615,0.19230769230769232,0.0,0.1794871794871795,0.10256410256410256,0.0,0.0,0.0,0.01282051282051282
#herminie,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#eryxe,0.0,0.6190476190476191,0.0,0.047619047619047616,0.023809523809523808,0.047619047619047616,0.11904761904761904,0.0,0.023809523809523808,0.11904761904761904,0.0,0.0
#syphax,0.0,0.7391304347826086,0.0,0.0,0.0,0.0,0.0,0.0,0.08695652173913043,0.17391304347826086,0.0,0.0
#barcee,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#massinisse,0.0,0.29411764705882354,0.0,0.14705882352941177,0.0,0.0,0.0,0.08823529411764706,0.029411764705882353,0.4411764705882353,0.0,0.0
#mezetulle,0.0,0.9090909090909091,0.0,0.0,0.0,0.0,0.09090909090909091,0.0,0.0,0.0,0.0,0.0
#lepide,0.0,0.14285714285714285,0.0,0.0,0.42857142857142855,0.0,0.0,0.0,0.14285714285714285,0.2857142857142857,0.0,0.0
#lelius,0.0,0.03333333333333333,0.0,0.2,0.13333333333333333,0.0,0.4666666666666667,0.0,0.06666666666666667,0.06666666666666667,0.03333333333333333,0.0
#albin,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
#herminie,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
