VALEUR,#lisandre,#beatrix,#isabelle,#le-docteur,#le-poete,#le-peintre,#le-musicien,#le-capitan,#l-astrologue,#le-medecin
Fréquences (scènes),0.3,0.1,0.8,0.8,0.1,0.1,0.1,0.1,0.1,0.1
Fréquences(répliques),0.09418837675350701,0.03507014028056112,0.12124248496993988,0.343687374749499,0.05711422845691383,0.041082164328657314,0.05110220440881764,0.12024048096192384,0.07314629258517034,0.06312625250501001
Confrontation,0.06521739130434782,0.021739130434782608,0.32608695652173914,0.32608695652173914,0.043478260869565216,0.043478260869565216,0.043478260869565216,0.043478260869565216,0.043478260869565216,0.043478260869565216
Déviations,#lisandre,#beatrix,#isabelle,#le-docteur,#le-poete,#le-peintre,#le-musicien,#le-capitan,#l-astrologue,#le-medecin
#lisandre,4.9,1.6333333333333329,0.816666666666667,0.816666666666667,0.30000000000000004,0.30000000000000004,0.30000000000000004,0.30000000000000004,0.30000000000000004,0.30000000000000004
#beatrix,1.633333333333333,8.1,0.8000000000000002,0.8000000000000002,0.10000000000000002,0.10000000000000002,0.10000000000000002,0.10000000000000002,0.10000000000000002,0.10000000000000002
#isabelle,0.8166666666666665,0.8000000000000002,0.3999999999999998,0.3999999999999998,0.049999999999999975,0.049999999999999975,0.049999999999999975,0.049999999999999975,0.049999999999999975,0.049999999999999975
#isabelle,0.8166666666666665,0.8000000000000002,0.3999999999999998,0.3999999999999998,0.049999999999999975,0.049999999999999975,0.049999999999999975,0.049999999999999975,0.049999999999999975,0.049999999999999975
#le-poete,0.3,0.10000000000000002,0.049999999999999975,0.049999999999999975,8.1,0.10000000000000002,0.10000000000000002,0.10000000000000002,0.10000000000000002,0.10000000000000002
#le-peintre,0.3,0.10000000000000002,0.049999999999999975,0.049999999999999975,0.10000000000000002,8.1,0.10000000000000002,0.10000000000000002,0.10000000000000002,0.10000000000000002
#le-musicien,0.3,0.10000000000000002,0.049999999999999975,0.049999999999999975,0.10000000000000002,0.10000000000000002,8.1,0.10000000000000002,0.10000000000000002,0.10000000000000002
#le-capitan,0.3,0.10000000000000002,0.049999999999999975,0.049999999999999975,0.10000000000000002,0.10000000000000002,0.10000000000000002,8.1,0.10000000000000002,0.10000000000000002
#l-astrologue,0.3,0.10000000000000002,0.049999999999999975,0.049999999999999975,0.10000000000000002,0.10000000000000002,0.10000000000000002,0.10000000000000002,8.1,0.10000000000000002
#le-medecin,0.3,0.10000000000000002,0.049999999999999975,0.049999999999999975,0.10000000000000002,0.10000000000000002,0.10000000000000002,0.10000000000000002,0.10000000000000002,8.1
Successions,#lisandre,#beatrix,#isabelle,#le-docteur,#le-poete,#le-peintre,#le-musicien,#le-capitan,#l-astrologue,#le-medecin
#lisandre,0.08333333333333333,0.25,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0
#beatrix,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#isabelle,0.13333333333333333,0.0,0.0,0.7333333333333333,0.0,0.0,0.044444444444444446,0.044444444444444446,0.044444444444444446,0.0
#le-docteur,0.03896103896103896,0.0,0.44155844155844154,0.012987012987012988,0.12987012987012986,0.06493506493506493,0.05194805194805195,0.1038961038961039,0.07792207792207792,0.07792207792207792
#le-poete,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
#le-peintre,0.0,0.0,0.2,0.8,0.0,0.0,0.0,0.0,0.0,0.0
#le-musicien,0.0,0.0,0.16666666666666666,0.8333333333333334,0.0,0.0,0.0,0.0,0.0,0.0
#le-peintre,0.0,0.0,0.2,0.8,0.0,0.0,0.0,0.0,0.0,0.0
#l-astrologue,0.0,0.0,0.375,0.625,0.0,0.0,0.0,0.0,0.0,0.0
#le-poete,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
