VALEUR,#terfile,#philarque,#atlante,#philiste,#aristee,#eliane,#pauline,#silene,#olinthe,#oracle,#alcinon
Fréquences (scènes),0.5,0.8,0.9,0.35,0.15,0.35,0.1,0.05,0.15,0.05,0.15
Fréquences(répliques),0.05634544497103739,0.39652448657187994,0.26540284360189575,0.061084781463928386,0.1253291205897841,0.04370721432332807,0.001579778830963665,0.000526592943654555,0.0315955766192733,0.00421274354923644,0.01369141653501843
Confrontation,0.11261261261261261,0.20270270270270271,0.21171171171171171,0.12162162162162163,0.05855855855855856,0.12612612612612611,0.04054054054054054,0.018018018018018018,0.04054054054054054,0.009009009009009009,0.05855855855855856
Déviations,#terfile,#philarque,#atlante,#philiste,#aristee,#eliane,#pauline,#silene,#olinthe,#oracle,#alcinon
#terfile,5.0,0.125,0.1111111111111111,0.07142857142857142,0.16666666666666666,0.07142857142857142,0.0,0.5,1.5,0.5,0.16666666666666666
#philarque,0.125,0.7999999999999996,0.01111111111111113,0.3500000000000002,0.15000000000000005,0.028571428571428623,0.09999999999999995,0.049999999999999975,0.06666666666666664,0.8000000000000002,0.15000000000000005
#atlante,0.1111111111111111,0.01111111111111113,0.20000000000000015,0.01428571428571427,0.18148148148148135,0.07777777777777782,0.02222222222222221,0.011111111111111105,0.033333333333333395,0.011111111111111105,0.033333333333333395
#philiste,0.07142857142857142,0.3499999999999997,0.01428571428571427,8.450000000000005,3.621428571428571,0.9806122448979596,0.1285714285714285,0.35000000000000003,0.002380952380952385,0.35000000000000003,0.8595238095238095
#aristee,0.16666666666666666,0.1499999999999998,0.18148148148148158,3.6214285714285728,14.450000000000001,0.8595238095238099,0.30000000000000004,0.15000000000000002,0.6722222222222224,0.15000000000000002,0.6722222222222224
#eliane,0.07142857142857142,0.028571428571428494,0.07777777777777782,0.9806122448979596,0.8595238095238095,8.450000000000005,2.4142857142857133,1.2071428571428566,0.002380952380952385,0.35000000000000003,0.8595238095238095
#pauline,0.0,0.09999999999999995,0.02222222222222221,0.12857142857142861,0.3,2.4142857142857146,16.2,8.1,0.3,0.10000000000000002,0.3
#silene,0.5,0.049999999999999975,0.011111111111111105,0.35,0.15,1.2071428571428573,8.1,18.049999999999997,0.15,0.05000000000000001,0.15
#olinthe,1.5,0.06666666666666678,0.03333333333333329,0.0023809523809523647,0.6722222222222224,0.0023809523809523647,0.30000000000000004,0.15000000000000002,14.450000000000001,0.15000000000000002,0.6722222222222224
#oracle,0.5,0.8000000000000002,0.011111111111111105,0.35,0.15,0.35,0.10000000000000002,0.05000000000000001,0.15,18.049999999999997,0.15
#alcinon,0.16666666666666666,0.1499999999999998,0.03333333333333329,0.8595238095238099,0.6722222222222224,0.8595238095238099,0.30000000000000004,0.15000000000000002,0.6722222222222224,0.15000000000000002,14.450000000000001
Successions,#terfile,#philarque,#atlante,#philiste,#aristee,#eliane,#pauline,#silene,#olinthe,#oracle,#alcinon
#terfile,0.0,0.6226415094339622,0.2830188679245283,0.03773584905660377,0.018867924528301886,0.018867924528301886,0.0,0.0,0.0,0.018867924528301886,0.0
#philarque,0.21428571428571427,0.005952380952380952,0.39880952380952384,0.02976190476190476,0.20238095238095238,0.05357142857142857,0.0,0.0,0.041666666666666664,0.0,0.05357142857142857
#atlante,0.12030075187969924,0.5338345864661654,0.015037593984962405,0.045112781954887216,0.015037593984962405,0.18045112781954886,0.007518796992481203,0.007518796992481203,0.06766917293233082,0.0,0.007518796992481203
#philiste,0.125,0.375,0.3125,0.0,0.0,0.1875,0.0,0.0,0.0,0.0,0.0
#aristee,0.0,0.9047619047619048,0.023809523809523808,0.0,0.023809523809523808,0.0,0.0,0.0,0.023809523809523808,0.0,0.023809523809523808
#eliane,0.0,0.20512820512820512,0.6666666666666666,0.07692307692307693,0.0,0.0,0.05128205128205128,0.0,0.0,0.0,0.0
#pauline,0.0,0.0,0.3333333333333333,0.0,0.0,0.6666666666666666,0.0,0.0,0.0,0.0,0.0
#silene,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#olinthe,0.0,0.17647058823529413,0.7058823529411765,0.0,0.11764705882352941,0.0,0.0,0.0,0.0,0.0,0.0
#silene,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#alcinon,0.0,0.7272727272727273,0.09090909090909091,0.0,0.18181818181818182,0.0,0.0,0.0,0.0,0.0,0.0
