VALEUR,#jacinte,#isabelle,#guzman,#don-garcie,#don-alvar,#mendoce,#don-felix,#don-bertran,#leonor,#don-bertan,#gusman
Fréquences (scènes),0.3488372093023256,0.4186046511627907,0.627906976744186,0.23255813953488372,0.32558139534883723,0.13953488372093023,0.3023255813953488,0.5348837209302325,0.37209302325581395,0.023255813953488372,0.023255813953488372
Fréquences(répliques),0.0708085883965281,0.13339424394700777,0.1525810872544541,0.05756052992233897,0.1187756966651439,0.01507537688442211,0.08222932846048424,0.3170397441754226,0.05162174508908177,0.00045682960255824577,0.00045682960255824577
Confrontation,0.10141509433962265,0.1320754716981132,0.16273584905660377,0.06367924528301887,0.08726415094339622,0.05188679245283019,0.09433962264150944,0.1650943396226415,0.125,0.009433962264150943,0.007075471698113208
Déviations,#jacinte,#isabelle,#guzman,#don-garcie,#don-alvar,#mendoce,#don-felix,#don-bertran,#leonor,#don-bertan,#gusman
#jacinte,18.23255813953488,5.212403100775193,0.018604651162790763,0.07503875968992249,0.0027685492801771544,0.5708010335917314,1.4169350029815146,0.5102123356926188,1.1938953488372095,1.2155038759689925,0.3488372093023256
#isabelle,5.212403100775193,14.534883720930234,0.15006220690975225,0.7860465116279066,0.1263381321520858,0.9097760551248922,1.095706618962433,0.014380406695876919,0.013646640826873434,0.8074935400516797,0.8074935400516797
#guzman,0.018604651162790763,0.15006220690975225,5.953488372093023,1.7124031007751934,1.1716500553709843,0.014355440712029854,0.16563970052342153,0.013519080253155015,0.00021533161068044865,0.627906976744186,0.627906976744186
#don-garcie,0.07503875968992249,0.7860465116279066,1.712403100775194,25.32558139534883,0.020099667774086446,0.11201550387596901,1.3540250447227191,0.0792719919110213,0.13968023255813952,0.23255813953488372,0.23255813953488372
#don-alvar,0.0027685492801771544,0.1263381321520858,1.1716500553709843,0.020099667774086446,19.55813953488371,0.46539313399778526,1.1776130845898292,0.8268814097934422,0.28073089700996695,0.32558139534883723,0.32558139534883723
#mendoce,0.5708010335917314,0.9097760551248922,0.014355440712029854,0.11201550387596901,0.46539313399778526,31.837209302325586,9.660107334525941,0.19480957195820722,1.3992248062015504,0.13953488372093023,0.13953488372093023
#don-felix,1.4169350029815146,1.095706618962433,0.16563970052342153,1.3540250447227191,1.1776130845898292,9.660107334525941,20.930232558139537,1.3347592751030577,2.067978533094813,0.3023255813953488,1.6100178890876566
#don-bertran,0.510212335692618,0.014380406695876919,0.01351908025315491,0.07927199191102154,0.8268814097934416,0.19480957195820722,1.3347592751030586,9.302325581395356,2.305422143579374,0.404448938321537,0.404448938321537
#leonor,1.1938953488372095,0.01364664082687335,0.00021533161068044865,0.13968023255813952,0.28073089700996695,1.3992248062015504,2.067978533094813,2.305422143579374,16.953488372093023,1.059593023255814,0.3720930232558139
#don-bertan,1.2155038759689925,0.8074935400516793,0.627906976744186,0.23255813953488372,0.32558139534883723,0.13953488372093023,0.3023255813953488,0.404448938321537,1.059593023255814,41.02325581395348,0.02325581395348837
#gusman,0.3488372093023256,0.8074935400516793,0.627906976744186,0.23255813953488372,0.32558139534883723,0.13953488372093023,1.6100178890876566,0.404448938321537,0.3720930232558139,0.02325581395348837,41.02325581395348
Successions,#jacinte,#isabelle,#guzman,#don-garcie,#don-alvar,#mendoce,#don-felix,#don-bertran,#leonor,#don-bertan,#gusman
#jacinte,0.01639344262295082,0.5573770491803278,0.26229508196721313,0.03278688524590164,0.04918032786885246,0.0,0.01639344262295082,0.06557377049180328,0.0,0.0,0.0
#isabelle,0.25757575757575757,0.015151515151515152,0.11363636363636363,0.12878787878787878,0.16666666666666666,0.0,0.05303030303030303,0.22727272727272727,0.030303030303030304,0.007575757575757576,0.0
#guzman,0.10144927536231885,0.12318840579710146,0.007246376811594203,0.014492753623188406,0.21739130434782608,0.0,0.036231884057971016,0.43478260869565216,0.06521739130434782,0.0,0.0
#don-garcie,0.05128205128205128,0.19230769230769232,0.02564102564102564,0.0,0.10256410256410256,0.0,0.01282051282051282,0.6025641025641025,0.01282051282051282,0.0,0.0
#don-alvar,0.011627906976744186,0.29069767441860467,0.3023255813953488,0.11627906976744186,0.011627906976744186,0.0,0.011627906976744186,0.22093023255813954,0.03488372093023256,0.0,0.0
#mendoce,0.0,0.06666666666666667,0.06666666666666667,0.0,0.0,0.0,0.8,0.0,0.06666666666666667,0.0,0.0
#don-felix,0.0,0.0958904109589041,0.0136986301369863,0.0,0.0273972602739726,0.1780821917808219,0.0,0.4931506849315068,0.1780821917808219,0.0,0.0136986301369863
#don-bertran,0.030303030303030304,0.12121212121212122,0.2813852813852814,0.19480519480519481,0.06060606060606061,0.008658008658008658,0.13852813852813853,0.025974025974025976,0.13852813852813853,0.0,0.0
#leonor,0.015625,0.015625,0.171875,0.03125,0.078125,0.0,0.21875,0.453125,0.015625,0.0,0.0
#don-bertan,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#don-bertan,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
