VALEUR,#la-sultane,#fatime,#leontine,#osman,#mamud,#la-fille-du-mufti,#selim,#orcane,#musulman,#lodia,#capigi
Fréquences (scènes),0.3888888888888889,0.2777777777777778,0.1111111111111111,0.4444444444444444,0.2777777777777778,0.3888888888888889,0.2777777777777778,0.16666666666666666,0.05555555555555555,0.16666666666666666,0.1111111111111111
Fréquences(répliques),0.145233525271913,0.026231605886116442,0.006397952655150352,0.24120281509916827,0.06525911708253358,0.2290467050543826,0.11388355726167626,0.07293666026871401,0.0582213691618682,0.037747920665387076,0.003838771593090211
Confrontation,0.10317460317460317,0.10317460317460317,0.06349206349206349,0.14285714285714285,0.14285714285714285,0.09523809523809523,0.1349206349206349,0.07936507936507936,0.007936507936507936,0.06349206349206349,0.06349206349206349
Déviations,#la-sultane,#fatime,#leontine,#osman,#mamud,#la-fille-du-mufti,#selim,#orcane,#musulman,#lodia,#capigi
#la-sultane,6.722222222222222,0.5730158730158728,1.9206349206349211,0.25396825396825423,0.4587301587301589,1.0895691609977325,0.4587301587301589,1.1666666666666665,0.3888888888888888,0.02380952380952377,0.7777777777777776
#fatime,0.5730158730158731,9.38888888888889,3.755555555555555,0.02222222222222224,0.26888888888888896,0.5730158730158731,0.10888888888888885,0.8333333333333333,0.2777777777777778,0.8333333333333333,0.5555555555555556
#leontine,1.920634920634921,3.755555555555555,14.222222222222221,0.013888888888888902,0.3555555555555555,0.06349206349206349,0.3555555555555555,0.3333333333333333,0.1111111111111111,0.3333333333333333,0.2222222222222222
#osman,0.25396825396825395,0.02222222222222224,0.013888888888888902,5.555555555555556,0.02222222222222224,0.39682539682539686,0.02222222222222224,0.0833333333333333,0.4444444444444444,2.083333333333334,0.013888888888888902
#mamud,0.4587301587301587,0.26888888888888896,0.3555555555555555,0.02222222222222224,9.38888888888889,0.0015873015873015888,4.908888888888889,5.6333333333333355,0.2777777777777778,0.03333333333333337,3.755555555555555
#la-fille-du-mufti,1.0895691609977325,0.5730158730158728,0.06349206349206356,0.3968253968253966,0.0015873015873015758,6.722222222222222,0.0015873015873015758,1.1666666666666665,0.9603174603174606,1.1666666666666665,0.7777777777777776
#selim,0.4587301587301587,0.10888888888888885,0.3555555555555555,0.02222222222222224,4.908888888888889,0.0015873015873015888,9.38888888888889,5.6333333333333355,0.2777777777777778,0.03333333333333337,3.755555555555555
#orcane,1.1666666666666667,0.8333333333333334,0.3333333333333333,0.0833333333333333,5.633333333333332,1.1666666666666667,5.633333333333332,12.5,0.16666666666666666,0.5,8.333333333333336
#musulman,0.3888888888888889,0.2777777777777778,0.1111111111111111,0.4444444444444444,0.2777777777777778,0.9603174603174605,0.2777777777777778,0.16666666666666666,16.055555555555557,0.16666666666666666,0.1111111111111111
#lodia,0.02380952380952383,0.8333333333333334,0.3333333333333333,2.083333333333334,0.03333333333333332,1.1666666666666667,0.03333333333333332,0.5,0.16666666666666666,12.5,1.3333333333333337
#capigi,0.7777777777777778,0.5555555555555556,0.2222222222222222,0.013888888888888902,3.755555555555555,0.7777777777777778,3.755555555555555,8.333333333333336,0.1111111111111111,1.3333333333333337,14.222222222222221
Successions,#la-sultane,#fatime,#leontine,#osman,#mamud,#la-fille-du-mufti,#selim,#orcane,#musulman,#lodia,#capigi
#la-sultane,0.0,0.18421052631578946,0.07894736842105263,0.6842105263157895,0.0,0.02631578947368421,0.0,0.0,0.0,0.02631578947368421,0.0
#fatime,0.23809523809523808,0.0,0.047619047619047616,0.5238095238095238,0.0,0.19047619047619047,0.0,0.0,0.0,0.0,0.0
#leontine,0.8,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#osman,0.5178571428571429,0.16071428571428573,0.0,0.017857142857142856,0.03571428571428571,0.16071428571428573,0.03571428571428571,0.0,0.0,0.05357142857142857,0.017857142857142856
#mamud,0.0,0.0,0.0,0.0625,0.0,0.4375,0.1875,0.3125,0.0,0.0,0.0
#la-fille-du-mufti,0.0,0.06976744186046512,0.023255813953488372,0.23255813953488372,0.13953488372093023,0.023255813953488372,0.4418604651162791,0.0,0.06976744186046512,0.0,0.0
#selim,0.0,0.0,0.0,0.034482758620689655,0.1724137931034483,0.6206896551724138,0.0,0.06896551724137931,0.0,0.034482758620689655,0.06896551724137931
#orcane,0.0,0.0,0.0,0.2222222222222222,0.2222222222222222,0.0,0.3333333333333333,0.0,0.0,0.0,0.2222222222222222
#musulman,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
#lodia,0.2,0.0,0.0,0.6,0.0,0.0,0.0,0.2,0.0,0.0,0.0
#capigi,0.0,0.0,0.0,0.2,0.2,0.0,0.4,0.2,0.0,0.0,0.0
