VALEUR,#monsieur-de-blandimare,#belle-ombre,#arlequin,#belle-fleur,#belle-epine,#beau-sejour,#madame-belle-epine,#beau-soleil,#la-belle-epine,#madame-beau-soleil,#l-hote,#tancrede,#iris,#clorice,#alcidon,#clorlce
Fréquences (scènes),0.5555555555555556,0.3333333333333333,0.2222222222222222,0.2222222222222222,0.3333333333333333,0.2222222222222222,0.1111111111111111,0.3333333333333333,0.1111111111111111,0.3333333333333333,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111
Fréquences(répliques),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.25,0.20833333333333334,0.25,0.041666666666666664
Confrontation,0.07246376811594203,0.06521739130434782,0.057971014492753624,0.09420289855072464,0.11594202898550725,0.09420289855072464,0.057971014492753624,0.11594202898550725,0.057971014492753624,0.11594202898550725,0.007246376811594203,0.028985507246376812,0.028985507246376812,0.028985507246376812,0.028985507246376812,0.028985507246376812
Déviations,#monsieur-de-blandimare,#belle-ombre,#arlequin,#belle-fleur,#belle-epine,#beau-sejour,#madame-belle-epine,#beau-soleil,#la-belle-epine,#madame-beau-soleil,#l-hote,#tancrede,#iris,#clorice,#alcidon,#clorlce
#monsieur-de-blandimare,1.7777777777777781,0.26666666666666655,1.1111111111111112,0.01111111111111112,0.06666666666666674,0.01111111111111112,0.5555555555555556,0.06666666666666674,0.5555555555555556,0.06666666666666674,0.3555555555555555,0.5555555555555556,0.5555555555555556,0.5555555555555556,0.5555555555555556,0.5555555555555556
#belle-ombre,0.2666666666666667,4.0,0.1666666666666667,0.1666666666666667,0.0,0.1666666666666667,1.3333333333333337,0.0,1.3333333333333337,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333
#arlequin,1.1111111111111112,0.1666666666666667,5.444444444444445,0.6944444444444445,0.1666666666666667,0.6944444444444445,2.7222222222222223,0.1666666666666667,2.7222222222222223,0.1666666666666667,0.2222222222222222,0.2222222222222222,0.2222222222222222,0.2222222222222222,0.2222222222222222,0.2222222222222222
#belle-fleur,0.01111111111111112,0.1666666666666667,0.6944444444444445,5.444444444444445,2.6666666666666674,5.444444444444445,2.7222222222222223,2.6666666666666674,2.7222222222222223,2.6666666666666674,0.2222222222222222,0.2222222222222222,0.2222222222222222,0.2222222222222222,0.2222222222222222,0.2222222222222222
#belle-epine,0.06666666666666664,0.0,0.1666666666666667,2.6666666666666674,4.0,2.6666666666666674,1.3333333333333337,4.0,1.3333333333333337,4.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333
#belle-fleur,0.01111111111111112,0.1666666666666667,0.6944444444444445,5.444444444444445,2.6666666666666674,5.444444444444445,2.7222222222222223,2.6666666666666674,2.7222222222222223,2.6666666666666674,0.2222222222222222,0.2222222222222222,0.2222222222222222,0.2222222222222222,0.2222222222222222,0.2222222222222222
#madame-belle-epine,0.5555555555555556,1.3333333333333337,2.7222222222222223,2.7222222222222223,1.3333333333333337,2.7222222222222223,7.111111111111111,1.3333333333333337,7.111111111111111,1.3333333333333337,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111
#belle-epine,0.06666666666666664,0.0,0.1666666666666667,2.6666666666666674,4.0,2.6666666666666674,1.3333333333333337,4.0,1.3333333333333337,4.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333
#madame-belle-epine,0.5555555555555556,1.3333333333333337,2.7222222222222223,2.7222222222222223,1.3333333333333337,2.7222222222222223,7.111111111111111,1.3333333333333337,7.111111111111111,1.3333333333333337,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111
#belle-epine,0.06666666666666664,0.0,0.1666666666666667,2.6666666666666674,4.0,2.6666666666666674,1.3333333333333337,4.0,1.3333333333333337,4.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333
#l-hote,0.3555555555555555,0.3333333333333333,0.2222222222222222,0.2222222222222222,0.3333333333333333,0.2222222222222222,0.1111111111111111,0.3333333333333333,0.1111111111111111,0.3333333333333333,7.111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111
#tancrede,0.5555555555555556,0.3333333333333333,0.2222222222222222,0.2222222222222222,0.3333333333333333,0.2222222222222222,0.1111111111111111,0.3333333333333333,0.1111111111111111,0.3333333333333333,0.1111111111111111,7.111111111111111,7.111111111111111,7.111111111111111,7.111111111111111,7.111111111111111
#tancrede,0.5555555555555556,0.3333333333333333,0.2222222222222222,0.2222222222222222,0.3333333333333333,0.2222222222222222,0.1111111111111111,0.3333333333333333,0.1111111111111111,0.3333333333333333,0.1111111111111111,7.111111111111111,7.111111111111111,7.111111111111111,7.111111111111111,7.111111111111111
#tancrede,0.5555555555555556,0.3333333333333333,0.2222222222222222,0.2222222222222222,0.3333333333333333,0.2222222222222222,0.1111111111111111,0.3333333333333333,0.1111111111111111,0.3333333333333333,0.1111111111111111,7.111111111111111,7.111111111111111,7.111111111111111,7.111111111111111,7.111111111111111
#tancrede,0.5555555555555556,0.3333333333333333,0.2222222222222222,0.2222222222222222,0.3333333333333333,0.2222222222222222,0.1111111111111111,0.3333333333333333,0.1111111111111111,0.3333333333333333,0.1111111111111111,7.111111111111111,7.111111111111111,7.111111111111111,7.111111111111111,7.111111111111111
#tancrede,0.5555555555555556,0.3333333333333333,0.2222222222222222,0.2222222222222222,0.3333333333333333,0.2222222222222222,0.1111111111111111,0.3333333333333333,0.1111111111111111,0.3333333333333333,0.1111111111111111,7.111111111111111,7.111111111111111,7.111111111111111,7.111111111111111,7.111111111111111
Successions,#monsieur-de-blandimare,#belle-ombre,#arlequin,#belle-fleur,#belle-epine,#beau-sejour,#madame-belle-epine,#beau-soleil,#la-belle-epine,#madame-beau-soleil,#l-hote,#tancrede,#iris,#clorice,#alcidon,#clorlce
#monsieur-de-blandimare,0.0,0.4,0.0,0.05,0.1,0.05,0.0,0.15,0.0,0.15,0.05,0.0,0.0,0.0,0.05,0.0
#belle-ombre,0.7,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.0,0.0,0.0,0.0
#arlequin,0.0,0.5,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#belle-fleur,0.3333333333333333,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0
#belle-epine,0.6666666666666666,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
