VALEUR,#oreste,#pylade,#pyrrhus,#phoenix,#andromaque,#hermione,#cleone,#cephise
Fréquences (scènes),0.39285714285714285,0.10714285714285714,0.32142857142857145,0.14285714285714285,0.21428571428571427,0.42857142857142855,0.17857142857142858,0.14285714285714285
Fréquences(répliques),0.25073056691992984,0.0771478667445938,0.19053185271770895,0.022209234365867914,0.13793103448275862,0.24196376388077148,0.05084745762711865,0.02863822326125073
Confrontation,0.15517241379310345,0.05172413793103448,0.1724137931034483,0.10344827586206896,0.13793103448275862,0.1896551724137931,0.08620689655172414,0.10344827586206896
Déviations,#oreste,#pylade,#pyrrhus,#phoenix,#andromaque,#hermione,#cleone,#cephise
#oreste,10.321428571428573,2.8149350649350646,0.6670274170274173,1.5714285714285714,2.357142857142857,0.10822510822510827,1.9642857142857144,1.5714285714285714
#pylade,2.8149350649350646,22.321428571428577,0.9642857142857144,0.42857142857142855,0.6428571428571428,1.2857142857142856,0.5357142857142857,0.42857142857142855
#pyrrhus,0.667027417027417,0.9642857142857142,12.89285714285714,5.730158730158731,0.00264550264550266,2.1164021164021163,1.6071428571428572,0.06349206349206343
#phoenix,1.5714285714285714,0.42857142857142855,5.73015873015873,20.571428571428577,0.023809523809523826,1.7142857142857142,0.7142857142857143,0.3214285714285715
#andromaque,2.357142857142857,0.6428571428571428,0.0026455026455026267,0.023809523809523826,17.28571428571429,0.9603174603174602,1.0714285714285714,11.523809523809524
#hermione,0.10822510822510827,1.2857142857142856,2.116402116402117,1.7142857142857142,0.9603174603174602,9.142857142857146,3.8095238095238098,1.7142857142857142
#cleone,1.9642857142857142,0.5357142857142857,1.6071428571428572,0.7142857142857142,1.0714285714285714,3.8095238095238098,18.89285714285714,0.7142857142857142
#cephise,1.5714285714285714,0.42857142857142855,0.06349206349206353,0.3214285714285715,11.523809523809524,1.7142857142857142,0.7142857142857143,20.571428571428577
Successions,#oreste,#pylade,#pyrrhus,#phoenix,#andromaque,#hermione,#cleone,#cephise
#oreste,0.03773584905660377,0.33962264150943394,0.09433962264150944,0.0,0.0,0.5094339622641509,0.018867924528301886,0.0
#pylade,0.9473684210526315,0.0,0.05263157894736842,0.0,0.0,0.0,0.0,0.0
#pyrrhus,0.175,0.0,0.05,0.325,0.375,0.05,0.0,0.025
#phoenix,0.0,0.0,0.8666666666666667,0.0,0.06666666666666667,0.06666666666666667,0.0,0.0
#andromaque,0.0,0.0,0.42424242424242425,0.030303030303030304,0.0,0.06060606060606061,0.0,0.48484848484848486
#hermione,0.5294117647058824,0.0,0.0784313725490196,0.0,0.0196078431372549,0.0392156862745098,0.3333333333333333,0.0
#cleone,0.0,0.0,0.0,0.0,0.05555555555555555,0.9444444444444444,0.0,0.0
#cephise,0.0,0.0,0.058823529411764705,0.058823529411764705,0.8823529411764706,0.0,0.0,0.0
