VALEUR,#lisette,#pietremise,#madame-rissole,#lucrece,#suzon,#bazoche,#saint-germain,#cleon,#elise
Fréquences (scènes),0.5333333333333333,0.3333333333333333,0.3333333333333333,0.23333333333333334,0.2,0.13333333333333333,0.43333333333333335,0.4666666666666667,0.1
Fréquences(répliques),0.17053364269141533,0.1334106728538283,0.154292343387471,0.04524361948955916,0.07540603248259861,0.06960556844547564,0.21577726218097448,0.11252900232018562,0.02320185614849188
Confrontation,0.14754098360655737,0.12295081967213115,0.14754098360655737,0.13114754098360656,0.09836065573770492,0.06147540983606557,0.11885245901639344,0.13114754098360656,0.040983606557377046
Déviations,#lisette,#pietremise,#madame-rissole,#lucrece,#suzon,#bazoche,#saint-germain,#cleon,#elise
#lisette,6.533333333333334,0.08333333333333341,0.020833333333333297,0.42976190476190473,0.1999999999999999,1.6333333333333335,0.1256410256410257,1.6095238095238096,0.09999999999999995
#pietremise,0.08333333333333341,13.333333333333336,2.1333333333333337,3.0476190476190474,0.5,0.3333333333333334,1.2564102564102568,0.023809523809523767,0.0
#madame-rissole,0.020833333333333297,2.1333333333333337,13.333333333333336,9.33333333333333,4.5,0.3333333333333334,0.10256410256410237,0.023809523809523767,0.0
#lucrece,0.42976190476190473,3.047619047619049,9.333333333333336,17.633333333333336,9.257142857142854,1.219047619047619,0.00036630036630036375,0.1646258503401361,0.1285714285714285
#suzon,0.1999999999999999,0.5,4.5,9.257142857142858,19.199999999999996,0.049999999999999975,0.06153846153846151,0.014285714285714311,0.6000000000000001
#bazoche,1.6333333333333335,0.3333333333333334,0.3333333333333334,1.219047619047619,0.049999999999999975,22.533333333333335,0.041025641025641005,0.4023809523809524,0.8999999999999999
#saint-germain,0.1256410256410257,1.2564102564102562,0.10256410256410267,0.00036630036630036375,0.06153846153846151,0.041025641025641005,9.633333333333331,0.14358974358974366,0.06923076923076925
#cleon,1.6095238095238096,0.0238095238095239,0.0238095238095239,0.1646258503401361,0.014285714285714247,0.4023809523809524,0.14358974358974366,8.533333333333333,1.828571428571428
#elise,0.09999999999999995,0.0,0.0,0.12857142857142861,0.6000000000000001,0.8999999999999999,0.06923076923076925,1.828571428571429,24.3
Successions,#lisette,#pietremise,#madame-rissole,#lucrece,#suzon,#bazoche,#saint-germain,#cleon,#elise
#lisette,0.0,0.23214285714285715,0.07142857142857142,0.05357142857142857,0.05357142857142857,0.30357142857142855,0.21428571428571427,0.07142857142857142,0.0
#pietremise,0.23809523809523808,0.015873015873015872,0.15873015873015872,0.09523809523809523,0.09523809523809523,0.14285714285714285,0.047619047619047616,0.14285714285714285,0.06349206349206349
#madame-rissole,0.031746031746031744,0.1746031746031746,0.0,0.07936507936507936,0.06349206349206349,0.015873015873015872,0.5079365079365079,0.12698412698412698,0.0
#lucrece,0.1111111111111111,0.2777777777777778,0.3333333333333333,0.0,0.05555555555555555,0.0,0.1111111111111111,0.05555555555555555,0.05555555555555555
#suzon,0.12,0.28,0.12,0.16,0.0,0.0,0.24,0.08,0.0
#bazoche,0.5925925925925926,0.4074074074074074,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#saint-germain,0.19480519480519481,0.06493506493506493,0.36363636363636365,0.0,0.11688311688311688,0.0,0.025974025974025976,0.23376623376623376,0.0
#cleon,0.08,0.14,0.22,0.0,0.04,0.0,0.36,0.02,0.14
#elise,0.0,0.25,0.08333333333333333,0.0,0.0,0.0,0.08333333333333333,0.5833333333333334,0.0
