VALEUR,#mariette,#leopold,#julie,#mademoiselle-lange,#simon,#le-domestique,#simon #julie,#choeur
Fréquences (scènes),0.4444444444444444,0.3333333333333333,0.7777777777777778,0.4444444444444444,0.4444444444444444,0.05555555555555555,0.05555555555555555,0.05555555555555555
Fréquences(répliques),0.0,0.3424657534246575,0.2191780821917808,0.1780821917808219,0.1506849315068493,0.0,0.0547945205479452,0.0547945205479452
Confrontation,0.16666666666666666,0.125,0.2708333333333333,0.14583333333333334,0.17708333333333334,0.03125,0.03125,0.052083333333333336
Déviations,#mariette,#leopold,#julie,#mademoiselle-lange,#simon,#le-domestique,#simon #julie,#choeur
#mariette,5.555555555555556,0.1666666666666666,0.007936507936507943,0.0868055555555555,0.05555555555555561,0.4444444444444444,0.4444444444444444,0.6944444444444445
#leopold,0.1666666666666666,8.0,0.09523809523809532,0.041666666666666706,0.1666666666666666,0.3333333333333333,0.3333333333333333,1.3333333333333337
#julie,0.00793650793650788,0.09523809523809508,0.8888888888888886,0.00793650793650788,0.09722222222222243,0.06349206349206356,0.06349206349206356,0.06349206349206356
#mademoiselle-lange,0.0868055555555555,0.041666666666666706,0.007936507936507943,5.555555555555556,1.8368055555555554,0.4444444444444444,0.4444444444444444,0.6944444444444445
#simon,0.05555555555555561,0.1666666666666666,0.09722222222222218,1.8368055555555554,5.555555555555556,0.6944444444444445,0.6944444444444445,0.6944444444444445
#le-domestique,0.4444444444444444,0.3333333333333333,0.06349206349206349,0.4444444444444444,0.6944444444444445,16.055555555555557,16.055555555555557,0.05555555555555555
#le-domestique,0.4444444444444444,0.3333333333333333,0.06349206349206349,0.4444444444444444,0.6944444444444445,16.055555555555557,16.055555555555557,0.05555555555555555
#choeur,0.6944444444444445,1.3333333333333337,0.06349206349206349,0.6944444444444445,0.6944444444444445,0.05555555555555555,0.05555555555555555,16.055555555555557
Successions,#mariette,#leopold,#julie,#mademoiselle-lange,#simon,#le-domestique,#simon #julie,#choeur
#mariette,0.0,0.20512820512820512,0.358974358974359,0.15384615384615385,0.28205128205128205,0.0,0.0,0.0
#leopold,0.16071428571428573,0.0,0.16071428571428573,0.35714285714285715,0.32142857142857145,0.0,0.0,0.0
#julie,0.1206896551724138,0.10344827586206896,0.0,0.2413793103448276,0.5172413793103449,0.008620689655172414,0.008620689655172414,0.0
#mademoiselle-lange,0.08928571428571429,0.35714285714285715,0.5178571428571429,0.017857142857142856,0.0,0.0,0.0,0.017857142857142856
#simon,0.13333333333333333,0.17777777777777778,0.6777777777777778,0.0,0.0,0.011111111111111112,0.0,0.0
#le-domestique,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
#le-domestique,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
#choeur,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
