VALEUR,#pierrot,#colombine,#colombine #pierrot,#leandre,#isabelle,#isabelle #colombine #pierrot,#cassandre,#colombine #isabelle,#cassandre #isabelle,#ensemble,#leandre #isabelle
Fréquences (scènes),0.6666666666666666,0.5,0.16666666666666666,0.5833333333333334,0.5,0.08333333333333333,0.8333333333333334,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333
Fréquences(répliques),0.15994020926756353,0.15844544095665172,0.01943198804185351,0.2556053811659193,0.10612855007473841,0.0029895366218236174,0.28998505231689087,0.0029895366218236174,0.0029895366218236174,0.0014947683109118087,0.0
Confrontation,0.18181818181818182,0.14285714285714285,0.032467532467532464,0.16883116883116883,0.13636363636363635,0.032467532467532464,0.17532467532467533,0.025974025974025976,0.025974025974025976,0.03896103896103896,0.03896103896103896
Déviations,#pierrot,#colombine,#colombine #pierrot,#leandre,#isabelle,#isabelle #colombine #pierrot,#cassandre,#colombine #isabelle,#cassandre #isabelle,#ensemble,#leandre #isabelle
#pierrot,1.3333333333333337,0.25,0.3333333333333334,0.38095238095238076,0.0,0.1666666666666667,0.06666666666666672,0.1666666666666667,0.1666666666666667,0.1666666666666667,0.1666666666666667
#colombine,0.25,3.0,1.0,0.07142857142857142,0.0,0.5,0.2,0.5,0.5,0.5,0.5
#colombine #pierrot,0.3333333333333334,1.0,8.333333333333336,0.02380952380952383,1.0,0.16666666666666666,1.6666666666666667,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666
#leandre,0.3809523809523814,0.07142857142857142,0.02380952380952377,2.083333333333332,0.07142857142857142,0.2976190476190477,0.004761904761904728,0.2976190476190477,0.2976190476190477,0.2976190476190477,0.2976190476190477
#isabelle,0.0,0.0,1.0,0.07142857142857142,3.0,0.5,0.2,0.5,0.5,0.5,0.5
#isabelle #colombine #pierrot,0.1666666666666667,0.5,0.16666666666666666,0.29761904761904756,0.5,10.083333333333332,0.03333333333333332,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333
#cassandre,0.06666666666666655,0.2,1.6666666666666665,0.004761904761904728,0.2,0.03333333333333337,0.3333333333333331,0.03333333333333337,0.03333333333333337,0.03333333333333337,0.03333333333333337
#colombine #isabelle,0.1666666666666667,0.5,0.16666666666666666,0.29761904761904756,0.5,0.08333333333333333,0.03333333333333332,10.083333333333332,0.08333333333333333,0.08333333333333333,0.08333333333333333
#cassandre #isabelle,0.1666666666666667,0.5,0.16666666666666666,0.29761904761904756,0.5,0.08333333333333333,0.03333333333333332,0.08333333333333333,10.083333333333332,0.08333333333333333,0.08333333333333333
#ensemble,0.1666666666666667,0.5,0.16666666666666666,0.29761904761904756,0.5,0.08333333333333333,0.03333333333333332,0.08333333333333333,0.08333333333333333,10.083333333333332,10.083333333333332
#ensemble,0.1666666666666667,0.5,0.16666666666666666,0.29761904761904756,0.5,0.08333333333333333,0.03333333333333332,0.08333333333333333,0.08333333333333333,10.083333333333332,10.083333333333332
Successions,#pierrot,#colombine,#colombine #pierrot,#leandre,#isabelle,#isabelle #colombine #pierrot,#cassandre,#colombine #isabelle,#cassandre #isabelle,#ensemble,#leandre #isabelle
#pierrot,0.0,0.21875,0.0,0.3125,0.0625,0.0,0.375,0.0,0.0,0.03125,0.0
#colombine,0.45,0.0,0.0,0.2,0.15,0.0,0.2,0.0,0.0,0.0,0.0
#colombine #pierrot,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#leandre,0.22033898305084745,0.05084745762711865,0.03389830508474576,0.0,0.1016949152542373,0.01694915254237288,0.5254237288135594,0.01694915254237288,0.03389830508474576,0.0,0.0
#isabelle,0.0,0.0,0.0,0.5,0.0,0.0,0.5,0.0,0.0,0.0,0.0
#isabelle #colombine #pierrot,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#cassandre,0.17543859649122806,0.12280701754385964,0.0,0.5614035087719298,0.10526315789473684,0.0,0.017543859649122806,0.0,0.0,0.0,0.017543859649122806
#colombine #isabelle,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#colombine #isabelle,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#colombine #isabelle,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#colombine #pierrot,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
