VALEUR,#blaise,#finebrette,#scaramouche,#colombine,#claudine,#trivelin,#le-magister,#lucas,#simon,#guillaume
Fréquences (scènes),0.07692307692307693,0.3076923076923077,0.15384615384615385,0.5384615384615384,0.15384615384615385,0.6923076923076923,0.07692307692307693,0.07692307692307693,0.15384615384615385,0.15384615384615385
Fréquences(répliques),0.04208754208754209,0.23063973063973064,0.03872053872053872,0.20707070707070707,0.013468013468013467,0.28114478114478114,0.06060606060606061,0.025252525252525252,0.03535353535353535,0.06565656565656566
Confrontation,0.017857142857142856,0.125,0.07142857142857142,0.21428571428571427,0.05357142857142857,0.23214285714285715,0.07142857142857142,0.07142857142857142,0.07142857142857142,0.07142857142857142
Déviations,#blaise,#finebrette,#scaramouche,#colombine,#claudine,#trivelin,#le-magister,#lucas,#simon,#guillaume
#blaise,11.076923076923078,1.5576923076923075,0.15384615384615385,0.5384615384615384,0.15384615384615385,0.6923076923076923,0.07692307692307693,0.07692307692307693,0.15384615384615385,0.15384615384615385
#finebrette,1.5576923076923075,6.23076923076923,0.6153846153846154,0.010989010989010974,0.6153846153846154,0.21367521367521364,1.5576923076923075,1.5576923076923075,0.6153846153846154,0.6153846153846154
#scaramouche,0.15384615384615385,0.6153846153846154,9.307692307692307,0.005494505494505487,1.5576923076923075,0.10683760683760682,0.15384615384615385,0.15384615384615385,0.3076923076923077,1.5576923076923075
#colombine,0.5384615384615385,0.010989010989011035,0.0054945054945055175,2.7692307692307696,0.7912087912087908,0.14774114774114763,0.3956043956043954,0.3956043956043954,0.0054945054945055175,1.076923076923077
#claudine,0.15384615384615385,0.6153846153846154,1.5576923076923075,0.7912087912087914,9.307692307692307,1.3846153846153846,0.15384615384615385,0.15384615384615385,0.3076923076923077,0.3076923076923077
#trivelin,0.6923076923076923,0.21367521367521364,0.10683760683760682,0.14774114774114763,1.3846153846153846,1.2307692307692306,0.13675213675213677,0.13675213675213677,0.27350427350427353,0.27350427350427353
#le-magister,0.07692307692307693,1.5576923076923075,0.15384615384615385,0.3956043956043957,0.15384615384615385,0.13675213675213677,11.076923076923078,11.076923076923078,0.15384615384615385,0.15384615384615385
#le-magister,0.07692307692307693,1.5576923076923075,0.15384615384615385,0.3956043956043957,0.15384615384615385,0.13675213675213677,11.076923076923078,11.076923076923078,0.15384615384615385,0.15384615384615385
#simon,0.15384615384615385,0.6153846153846154,0.3076923076923077,0.005494505494505487,0.3076923076923077,0.27350427350427353,0.15384615384615385,0.15384615384615385,9.307692307692307,1.5576923076923075
#guillaume,0.15384615384615385,0.6153846153846154,1.5576923076923075,1.0769230769230769,0.3076923076923077,0.27350427350427353,0.15384615384615385,0.15384615384615385,1.5576923076923075,9.307692307692307
Successions,#blaise,#finebrette,#scaramouche,#colombine,#claudine,#trivelin,#le-magister,#lucas,#simon,#guillaume
#blaise,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#finebrette,0.4444444444444444,0.0,0.0,0.2777777777777778,0.0,0.2222222222222222,0.05555555555555555,0.0,0.0,0.0
#scaramouche,0.3333333333333333,0.0,0.0,0.3333333333333333,0.0,0.3333333333333333,0.0,0.0,0.0,0.0
#colombine,0.0,0.09375,0.0625,0.03125,0.1875,0.5625,0.03125,0.0,0.03125,0.0
#claudine,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
#trivelin,0.0,0.10204081632653061,0.02040816326530612,0.3469387755102041,0.0,0.04081632653061224,0.1836734693877551,0.02040816326530612,0.08163265306122448,0.20408163265306123
#le-magister,0.0,0.07142857142857142,0.0,0.07142857142857142,0.0,0.6428571428571429,0.0,0.21428571428571427,0.0,0.0
#lucas,0.0,0.25,0.0,0.0,0.0,0.0,0.75,0.0,0.0,0.0
#simon,0.0,0.0,0.0,0.09090909090909091,0.0,0.36363636363636365,0.0,0.0,0.0,0.5454545454545454
#guillaume,0.0,0.0,0.0,0.0,0.0,0.625,0.0,0.0,0.375,0.0
