VALEUR,#nerine,#angelique,#dorante,#la-marquise,#pyrante,#le-comte,#un-laquais,#falaise,#le-chevalier,#falaise #nerine
Fréquences (scènes),0.6122448979591837,0.30612244897959184,0.2857142857142857,0.32653061224489793,0.10204081632653061,0.2653061224489796,0.061224489795918366,0.2653061224489796,0.30612244897959184,0.02040816326530612
Fréquences(répliques),0.2458489555436529,0.07873594001071238,0.06855918585966791,0.1676486341724692,0.03802892340653455,0.11890733797536154,0.0032137118371719335,0.13551151580074985,0.14301017675415104,0.0005356186395286556
Confrontation,0.2248062015503876,0.1511627906976744,0.12015503875968993,0.12015503875968993,0.031007751937984496,0.12015503875968993,0.015503875968992248,0.08527131782945736,0.12403100775193798,0.007751937984496124
Déviations,#nerine,#angelique,#dorante,#la-marquise,#pyrante,#le-comte,#un-laquais,#falaise,#le-chevalier,#falaise #nerine
#nerine,7.3673469387755075,0.8636734693877545,1.3714285714285717,0.3292517006802716,0.36789115646258524,0.00020931449502877665,0.3811791383219955,1.1002093144950291,0.0036734693877551365,0.24557823129251719
#angelique,0.8636734693877545,23.591836734693874,1.7190476190476194,0.002125850340136087,0.14394557823129242,1.0257456828885398,0.9183673469387755,0.9847200418628992,0.03628117913832192,0.3061224489795918
#dorante,1.3714285714285717,1.7190476190476194,25.0,0.5401785714285713,1.4285714285714286,0.7912087912087914,0.8571428571428571,1.9835164835164836,0.6857142857142858,0.2857142857142857
#la-marquise,0.3292517006802716,0.002125850340136087,0.5401785714285707,22.224489795918377,0.0826530612244899,0.014128728414442631,0.9795918367346937,0.3650902668759809,0.24795918367346978,0.3265306122448979
#pyrante,0.36789115646258524,0.14394557823129242,1.4285714285714284,0.0826530612244899,39.51020408163265,0.08037676609105186,0.30612244897959184,0.08037676609105186,1.5306122448979593,0.1020408163265306
#le-comte,0.00020931449502877665,1.0257456828885398,0.791208791208791,0.014128728414442631,0.08037676609105177,26.44897959183673,1.8215593929879645,0.6975003018959063,0.24113029827315552,0.26530612244897955
#un-laquais,0.3811791383219955,0.9183673469387755,0.8571428571428571,0.9795918367346939,0.30612244897959184,1.8215593929879645,43.18367346938776,0.05232862375719519,0.9183673469387755,0.061224489795918366
#falaise,1.1002093144950291,0.9847200418628992,1.9835164835164831,0.3650902668759809,0.08037676609105177,0.6975003018959063,0.05232862375719519,26.44897959183673,0.24113029827315552,2.0345368916797493
#le-chevalier,0.0036734693877551365,0.03628117913832192,0.6857142857142858,0.24795918367346978,1.5306122448979593,0.24113029827315552,0.9183673469387755,0.24113029827315552,23.591836734693874,0.3061224489795918
#falaise #nerine,0.24557823129251719,0.3061224489795918,0.28571428571428564,0.3265306122448979,0.1020408163265306,0.26530612244897955,0.06122448979591836,2.0345368916797493,0.3061224489795918,47.020408163265316
Successions,#nerine,#angelique,#dorante,#la-marquise,#pyrante,#le-comte,#un-laquais,#falaise,#le-chevalier,#falaise #nerine
#nerine,0.005291005291005291,0.164021164021164,0.20105820105820105,0.2328042328042328,0.010582010582010581,0.1164021164021164,0.005291005291005291,0.1693121693121693,0.08994708994708994,0.005291005291005291
#angelique,0.3373493975903614,0.012048192771084338,0.18072289156626506,0.14457831325301204,0.012048192771084338,0.1686746987951807,0.0,0.012048192771084338,0.13253012048192772,0.0
#dorante,0.5217391304347826,0.18840579710144928,0.0,0.08695652173913043,0.0,0.08695652173913043,0.0,0.057971014492753624,0.057971014492753624,0.0
#la-marquise,0.3227848101265823,0.08860759493670886,0.03164556962025317,0.012658227848101266,0.04430379746835443,0.2848101265822785,0.0,0.0379746835443038,0.17721518987341772,0.0
#pyrante,0.041666666666666664,0.041666666666666664,0.0,0.4166666666666667,0.0,0.08333333333333333,0.0,0.4166666666666667,0.0,0.0
#le-comte,0.22857142857142856,0.12380952380952381,0.0380952380952381,0.41904761904761906,0.02857142857142857,0.009523809523809525,0.02857142857142857,0.11428571428571428,0.009523809523809525,0.0
#un-laquais,0.0,0.0,0.0,0.0,0.0,0.75,0.0,0.0,0.25,0.0
#falaise,0.4788732394366197,0.0,0.028169014084507043,0.08450704225352113,0.15492957746478872,0.16901408450704225,0.0,0.014084507042253521,0.07042253521126761,0.0
#le-chevalier,0.21739130434782608,0.14492753623188406,0.07246376811594203,0.4782608695652174,0.0,0.0,0.0,0.057971014492753624,0.028985507246376812,0.0
#falaise #nerine,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
