VALEUR,#agante,#celine,#thersandre,#alcire,#lisidas,#lisanor,#caliste,#clarin,#le-roi,#chrisante,#le-prevost
Fréquences (scènes),0.42857142857142855,0.6190476190476191,0.3333333333333333,0.047619047619047616,0.2857142857142857,0.42857142857142855,0.2857142857142857,0.09523809523809523,0.09523809523809523,0.047619047619047616,0.047619047619047616
Fréquences(répliques),0.20473996050032917,0.16655694535878868,0.14351547070441079,0.026333113890717578,0.09611586570111916,0.12376563528637262,0.05727452271231073,0.07768268597761685,0.05924950625411455,0.04213298222514812,0.0026333113890717576
Confrontation,0.12903225806451613,0.15053763440860216,0.13440860215053763,0.010752688172043012,0.12365591397849462,0.13440860215053763,0.11290322580645161,0.043010752688172046,0.08064516129032258,0.03763440860215054,0.043010752688172046
Déviations,#agante,#celine,#thersandre,#alcire,#lisidas,#lisanor,#caliste,#clarin,#le-roi,#chrisante,#le-prevost
#agante,6.857142857142859,0.05860805860805856,0.3333333333333333,0.42857142857142855,0.12698412698412687,0.00529100529100532,4.571428571428573,0.023809523809523826,1.5238095238095237,0.7619047619047619,0.7619047619047619
#celine,0.05860805860805856,3.047619047619048,0.10256410256410267,0.6190476190476191,0.021978021978022032,0.032967032967033,0.13736263736263726,0.0457875457875458,0.46886446886446875,0.23443223443223438,0.23443223443223438
#thersandre,0.3333333333333333,0.10256410256410237,9.333333333333336,1.3333333333333337,8.0,0.3333333333333333,0.0,0.1666666666666667,2.6666666666666674,1.3333333333333337,1.3333333333333337
#alcire,0.42857142857142855,0.6190476190476191,1.3333333333333337,19.047619047619047,1.7857142857142858,0.42857142857142855,0.2857142857142857,0.09523809523809523,0.09523809523809523,0.047619047619047616,0.047619047619047616
#lisidas,0.12698412698412687,0.021978021978021955,8.0,1.7857142857142858,10.714285714285714,0.07142857142857152,0.04761904761904765,0.3214285714285715,3.5714285714285716,1.7857142857142858,1.7857142857142858
#lisanor,0.00529100529100532,0.032967032967033,0.3333333333333333,0.42857142857142855,0.07142857142857152,6.857142857142859,0.07142857142857152,0.023809523809523826,1.5238095238095237,0.7619047619047619,0.7619047619047619
#caliste,4.571428571428573,0.13736263736263743,0.0,0.2857142857142857,0.04761904761904765,0.07142857142857152,10.714285714285714,0.3214285714285715,3.5714285714285716,1.7857142857142858,1.7857142857142858
#clarin,0.023809523809523826,0.0457875457875458,0.1666666666666667,0.09523809523809523,0.3214285714285715,0.023809523809523826,0.3214285714285715,17.190476190476193,3.4404761904761907,0.09523809523809523,8.595238095238097
#le-roi,1.5238095238095237,0.46886446886446875,2.6666666666666674,0.09523809523809523,3.5714285714285716,1.5238095238095237,3.5714285714285716,3.4404761904761907,17.190476190476193,8.595238095238097,8.595238095238097
#chrisante,0.7619047619047619,0.23443223443223438,1.3333333333333337,0.047619047619047616,1.7857142857142858,0.7619047619047619,1.7857142857142858,0.09523809523809523,8.595238095238097,19.047619047619047,0.047619047619047616
#le-prevost,0.7619047619047619,0.23443223443223438,1.3333333333333337,0.047619047619047616,1.7857142857142858,0.7619047619047619,1.7857142857142858,8.595238095238097,8.595238095238097,0.047619047619047616,19.047619047619047
Successions,#agante,#celine,#thersandre,#alcire,#lisidas,#lisanor,#caliste,#clarin,#le-roi,#chrisante,#le-prevost
#agante,0.015625,0.125,0.03125,0.0,0.015625,0.296875,0.484375,0.015625,0.015625,0.0,0.0
#celine,0.2926829268292683,0.024390243902439025,0.0975609756097561,0.0,0.07317073170731707,0.4146341463414634,0.024390243902439025,0.0,0.04878048780487805,0.024390243902439025,0.0
#thersandre,0.0,0.16666666666666666,0.0,0.08333333333333333,0.5555555555555556,0.08333333333333333,0.0,0.0,0.08333333333333333,0.027777777777777776,0.0
#alcire,0.0,0.0,0.6,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0
#lisidas,0.0,0.18518518518518517,0.6666666666666666,0.07407407407407407,0.0,0.037037037037037035,0.0,0.0,0.037037037037037035,0.0,0.0
#lisanor,0.41304347826086957,0.32608695652173914,0.10869565217391304,0.0,0.021739130434782608,0.0,0.021739130434782608,0.043478260869565216,0.06521739130434782,0.0,0.0
#caliste,0.9117647058823529,0.029411764705882353,0.0,0.0,0.0,0.058823529411764705,0.0,0.0,0.0,0.0,0.0
#clarin,0.0,0.0,0.125,0.0,0.0,0.125,0.125,0.0,0.625,0.0,0.0
#le-roi,0.1,0.1,0.15,0.0,0.0,0.1,0.0,0.25,0.05,0.2,0.05
#chrisante,0.0,0.5,0.0,0.0,0.0,0.16666666666666666,0.0,0.0,0.3333333333333333,0.0,0.0
#le-prevost,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
