VALEUR,#venus,#le-choeur,#scaramouche,#pierrot,#arlequin,#une-des-graces,#arlequin #pierrot,#le-docteur,#colombine,#marinette,#le-choeur #le-docteur,#les-chanteuses,#premiere-chanteuse,#la-chanteuse
#scaramouche,0.1111111111111111,0.0,0.1111111111111111,0.1111111111111111,0.3333333333333333,0.0,0.0,0.1111111111111111,0.1111111111111111,0.0,0.0,0.0,0.0,0.1111111111111111
#pierrot,0.0,0.058823529411764705,0.17647058823529413,0.058823529411764705,0.5882352941176471,0.0,0.0,0.0,0.0,0.058823529411764705,0.0,0.0,0.058823529411764705,0.0
#arlequin,0.029411764705882353,0.058823529411764705,0.08823529411764706,0.2647058823529412,0.14705882352941177,0.0,0.029411764705882353,0.08823529411764706,0.20588235294117646,0.058823529411764705,0.029411764705882353,0.0,0.0,0.0
#une-des-graces,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#arlequin #pierrot,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#le-docteur,0.0,0.1,0.0,0.0,0.4,0.0,0.0,0.4,0.1,0.0,0.0,0.0,0.0,0.0
#colombine,0.0,0.0,0.18181818181818182,0.09090909090909091,0.7272727272727273,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#marinette,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.2,0.2,0.4,0.0,0.0,0.0,0.0
#une-des-graces,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#une-des-graces,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#premiere-chanteuse,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
#une-des-graces,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
