VALEUR,#venus,#le-choeur,#scaramouche,#pierrot,#arlequin,#une-des-graces,#arlequin #pierrot,#le-docteur,#colombine,#marinette,#le-choeur #le-docteur,#les-chanteuses,#premiere-chanteuse,#la-chanteuse
Fréquences (scènes),0.2,0.16,0.2,0.28,0.56,0.04,0.04,0.28,0.24,0.16,0.04,0.04,0.04,0.04
Fréquences(répliques),0.04451038575667656,0.02373887240356083,0.10237388724035608,0.15875370919881307,0.43026706231454004,0.005934718100890208,0.002967359050445104,0.07863501483679525,0.0712166172106825,0.06231454005934718,0.005934718100890208,0.002967359050445104,0.00741839762611276,0.002967359050445104
Confrontation,0.0967741935483871,0.08870967741935484,0.056451612903225805,0.13709677419354838,0.21774193548387097,0.03225806451612903,0.03225806451612903,0.06451612903225806,0.11290322580645161,0.04838709677419355,0.024193548387096774,0.03225806451612903,0.03225806451612903,0.024193548387096774
Déviations,#venus,#le-choeur,#scaramouche,#pierrot,#arlequin,#une-des-graces,#arlequin #pierrot,#le-docteur,#colombine,#marinette,#le-choeur #le-docteur,#les-chanteuses,#premiere-chanteuse,#la-chanteuse
#venus,16.0,6.050000000000001,0.0,0.257142857142857,0.2285714285714287,3.2000000000000006,3.2000000000000006,0.11428571428571435,0.03333333333333332,0.8000000000000002,0.20000000000000004,0.20000000000000004,0.20000000000000004,0.20000000000000004
#le-choeur,6.050000000000001,17.639999999999997,0.8000000000000002,0.6914285714285713,0.02571428571428576,0.16,0.16,0.01285714285714288,0.0016666666666666698,0.64,0.16,4.409999999999999,4.409999999999999,0.16
#scaramouche,0.0,0.8000000000000002,16.0,0.11428571428571435,0.2285714285714287,0.20000000000000004,0.20000000000000004,0.11428571428571435,0.03333333333333332,0.8000000000000002,0.20000000000000004,0.20000000000000004,0.20000000000000004,3.2000000000000006
#pierrot,0.2571428571428568,0.6914285714285713,0.11428571428571446,12.959999999999992,0.001632653061224456,1.8514285714285712,1.8514285714285712,1.9600000000000004,0.27523809523809534,0.6914285714285713,1.8514285714285712,1.8514285714285712,1.8514285714285712,0.28
#arlequin,0.22857142857142893,0.02571428571428576,0.22857142857142893,0.001632653061224456,4.839999999999996,0.34571428571428564,0.34571428571428564,0.21591836734693912,2.0742857142857134,0.02571428571428576,0.34571428571428564,0.34571428571428564,0.34571428571428564,0.34571428571428564
#une-des-graces,3.2000000000000006,0.16,0.20000000000000004,1.8514285714285712,0.34571428571428564,23.04,23.04,0.28,0.24,0.16,0.04,0.04,0.04,0.04
#une-des-graces,3.2000000000000006,0.16,0.20000000000000004,1.8514285714285712,0.34571428571428564,23.04,23.04,0.28,0.24,0.16,0.04,0.04,0.04,0.04
#le-docteur,0.11428571428571446,0.01285714285714288,0.11428571428571446,1.9600000000000004,0.21591836734693912,0.28,0.28,12.959999999999992,0.06095238095238088,1.12,0.28,0.28,0.28,0.28
#colombine,0.03333333333333339,0.0016666666666666698,0.03333333333333339,0.27523809523809534,2.0742857142857134,0.24,0.24,0.06095238095238088,14.440000000000005,0.0016666666666666698,0.24,0.24,0.24,2.4066666666666667
#marinette,0.8000000000000002,0.64,0.8000000000000002,0.6914285714285713,0.02571428571428576,0.16,0.16,1.12,0.0016666666666666698,17.639999999999997,4.409999999999999,0.16,0.16,0.16
#le-choeur #le-docteur,0.20000000000000004,0.16,0.20000000000000004,1.8514285714285712,0.34571428571428564,0.04,0.04,0.28,0.24,4.409999999999999,23.04,0.04,0.04,0.04
#les-chanteuses,0.20000000000000004,4.409999999999999,0.20000000000000004,1.8514285714285712,0.34571428571428564,0.04,0.04,0.28,0.24,0.16,0.04,23.04,23.04,0.04
#les-chanteuses,0.20000000000000004,4.409999999999999,0.20000000000000004,1.8514285714285712,0.34571428571428564,0.04,0.04,0.28,0.24,0.16,0.04,23.04,23.04,0.04
#la-chanteuse,0.20000000000000004,0.16,3.2000000000000006,0.28,0.34571428571428564,0.04,0.04,0.28,2.4066666666666667,0.16,0.04,0.04,0.04,23.04
Successions,#venus,#le-choeur,#scaramouche,#pierrot,#arlequin,#une-des-graces,#arlequin #pierrot,#le-docteur,#colombine,#marinette,#le-choeur #le-docteur,#les-chanteuses,#premiere-chanteuse,#la-chanteuse
#venus,0.0,0.2,0.0,0.2,0.2,0.2,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0
#le-choeur,0.6,0.0,0.0,0.0,0.2,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0
