VALEUR,#nicolas,#anna,#tyl,#le-comte,#les-hommes-d-armes,#la-comtesse,#van-bock,#un-homme-d-armes,#tous,#un-page,#les-docteurs,#docteur-1er,#docteur-2e,#docteur-3e,#docteur-4e,#docteur-5e,#docteur-6e,#docteur-7e,#docteur-8e,#docteur-9e,#docteur-10e,#docteur-11e,#docteur-12e
Fréquences (scènes),0.7,0.7,0.7,0.6,0.3,0.6,0.4,0.3,0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Fréquences(répliques),0.06201550387596899,0.05271317829457364,0.4015503875968992,0.08372093023255814,0.020155038759689922,0.05271317829457364,0.22790697674418606,0.006201550387596899,0.027906976744186046,0.004651162790697674,0.013953488372093023,0.007751937984496124,0.010852713178294573,0.0031007751937984496,0.0031007751937984496,0.004651162790697674,0.0031007751937984496,0.0031007751937984496,0.0031007751937984496,0.0015503875968992248,0.0015503875968992248,0.0031007751937984496,0.0015503875968992248
Confrontation,0.08143939393939394,0.08143939393939394,0.08143939393939394,0.08333333333333333,0.030303030303030304,0.07765151515151515,0.03598484848484849,0.06060606060606061,0.017045454545454544,0.007575757575757576,0.03409090909090909,0.03409090909090909,0.03409090909090909,0.03409090909090909,0.03409090909090909,0.03409090909090909,0.03409090909090909,0.03409090909090909,0.03409090909090909,0.03409090909090909,0.03409090909090909,0.03409090909090909,0.03409090909090909
Déviations,#nicolas,#anna,#tyl,#le-comte,#les-hommes-d-armes,#la-comtesse,#van-bock,#un-homme-d-armes,#tous,#un-page,#les-docteurs,#docteur-1er,#docteur-2e,#docteur-3e,#docteur-4e,#docteur-5e,#docteur-6e,#docteur-7e,#docteur-8e,#docteur-9e,#docteur-10e,#docteur-11e,#docteur-12e
#nicolas,0.9000000000000005,0.9000000000000005,0.002040816326530634,0.1523809523809523,0.00476190476190477,0.00952380952380954,0.2285714285714287,0.3857142857142856,0.11428571428571435,0.1285714285714285,0.1285714285714285,0.1285714285714285,0.1285714285714285,0.1285714285714285,0.1285714285714285,0.1285714285714285,0.1285714285714285,0.1285714285714285,0.1285714285714285,0.1285714285714285,0.1285714285714285,0.1285714285714285,0.1285714285714285
#nicolas,0.9000000000000005,0.9000000000000005,0.002040816326530634,0.1523809523809523,0.00476190476190477,0.00952380952380954,0.2285714285714287,0.3857142857142856,0.11428571428571435,0.1285714285714285,0.1285714285714285,0.1285714285714285,0.1285714285714285,0.1285714285714285,0.1285714285714285,0.1285714285714285,0.1285714285714285,0.1285714285714285,0.1285714285714285,0.1285714285714285,0.1285714285714285,0.1285714285714285,0.1285714285714285
#tyl,0.002040816326530634,0.002040816326530634,0.9000000000000005,0.1523809523809523,0.3857142857142856,0.00952380952380954,0.514285714285714,0.3857142857142856,0.11428571428571435,0.7000000000000001,0.1285714285714285,0.1285714285714285,0.1285714285714285,0.1285714285714285,0.1285714285714285,0.1285714285714285,0.1285714285714285,0.1285714285714285,0.1285714285714285,0.1285714285714285,0.1285714285714285,0.1285714285714285,0.1285714285714285
#le-comte,0.15238095238095267,0.15238095238095267,0.15238095238095267,1.6000000000000005,0.8000000000000003,0.5444444444444448,0.1499999999999998,0.8000000000000003,0.03333333333333339,0.2666666666666665,0.2666666666666665,0.2666666666666665,0.2666666666666665,0.2666666666666665,0.2666666666666665,0.2666666666666665,0.2666666666666665,0.2666666666666665,0.2666666666666665,0.2666666666666665,0.2666666666666665,0.2666666666666665,0.2666666666666665
#les-hommes-d-armes,0.004761904761904729,0.004761904761904729,0.38571428571428606,0.8000000000000003,4.9,0.022222222222222265,0.533333333333333,0.011111111111111132,0.2666666666666665,0.30000000000000004,0.30000000000000004,0.30000000000000004,0.30000000000000004,0.30000000000000004,0.30000000000000004,0.30000000000000004,0.30000000000000004,0.30000000000000004,0.30000000000000004,0.30000000000000004,0.30000000000000004,0.30000000000000004,0.30000000000000004
#la-comtesse,0.009523809523809459,0.009523809523809459,0.009523809523809459,0.5444444444444448,0.022222222222222265,1.6000000000000005,0.1499999999999998,0.8000000000000003,0.533333333333333,0.2666666666666665,0.2666666666666665,0.2666666666666665,0.2666666666666665,0.2666666666666665,0.2666666666666665,0.2666666666666665,0.2666666666666665,0.2666666666666665,0.2666666666666665,0.2666666666666665,0.2666666666666665,0.2666666666666665,0.2666666666666665
#van-bock,0.22857142857142848,0.22857142857142848,0.5142857142857145,0.15000000000000005,0.5333333333333334,0.15000000000000005,3.5999999999999996,0.5333333333333334,0.049999999999999975,0.4000000000000001,0.4000000000000001,0.4000000000000001,0.4000000000000001,0.4000000000000001,0.4000000000000001,0.4000000000000001,0.4000000000000001,0.4000000000000001,0.4000000000000001,0.4000000000000001,0.4000000000000001,0.4000000000000001,0.4000000000000001
#un-homme-d-armes,0.38571428571428606,0.38571428571428606,0.38571428571428606,0.8000000000000003,0.011111111111111132,0.8000000000000003,0.533333333333333,4.9,0.2666666666666665,0.30000000000000004,1.6333333333333329,1.6333333333333329,1.6333333333333329,1.6333333333333329,1.6333333333333329,1.6333333333333329,1.6333333333333329,1.6333333333333329,1.6333333333333329,1.6333333333333329,1.6333333333333329,1.6333333333333329,1.6333333333333329
#tous,0.11428571428571424,0.11428571428571424,0.11428571428571424,0.03333333333333332,0.2666666666666667,0.5333333333333334,0.049999999999999975,0.2666666666666667,6.400000000000001,0.20000000000000004,0.20000000000000004,0.20000000000000004,0.20000000000000004,0.20000000000000004,0.20000000000000004,0.20000000000000004,0.20000000000000004,0.20000000000000004,0.20000000000000004,0.20000000000000004,0.20000000000000004,0.20000000000000004,0.20000000000000004
#un-page,0.12857142857142861,0.12857142857142861,0.7,0.2666666666666667,0.3,0.2666666666666667,0.4000000000000001,0.3,0.20000000000000004,8.1,0.10000000000000002,0.10000000000000002,0.10000000000000002,0.10000000000000002,0.10000000000000002,0.10000000000000002,0.10000000000000002,0.10000000000000002,0.10000000000000002,0.10000000000000002,0.10000000000000002,0.10000000000000002,0.10000000000000002
