VALEUR,#dorante,#pridamant,#alcandre,#clindor,#matamore,#adraste,#isabelle,#page,#lyse,#geronte,#le-geolier,#eraste
Fréquences (scènes),0.05,0.25,0.2,0.4,0.275,0.1,0.4,0.025,0.325,0.1,0.075,0.025
Fréquences(répliques),0.0395703787450537,0.058790276992651214,0.10457885811192764,0.17806670435274166,0.1594120972300735,0.047484454494064444,0.21368004522328998,0.0016958733747880158,0.1390616167326173,0.03674392312040701,0.013001695873374788,0.00791407574901074
Confrontation,0.021739130434782608,0.09420289855072464,0.06521739130434782,0.18840579710144928,0.13768115942028986,0.043478260869565216,0.1956521739130435,0.021739130434782608,0.12318840579710146,0.043478260869565216,0.043478260869565216,0.021739130434782608
Déviations,#dorante,#pridamant,#alcandre,#clindor,#matamore,#adraste,#isabelle,#page,#lyse,#geronte,#le-geolier,#eraste
#dorante,36.099999999999994,4.5,0.8999999999999999,0.8000000000000002,0.55,0.20000000000000004,0.8000000000000002,0.05000000000000001,0.65,0.20000000000000004,0.15,0.05000000000000001
#pridamant,4.5,22.5,18.0,4.0,2.75,1.0,2.25,0.25,1.5576923076923077,1.0,0.75,2.25
#alcandre,0.8999999999999999,18.0,25.600000000000005,3.2000000000000006,2.2,0.8000000000000002,3.2000000000000006,0.20000000000000004,2.6,0.8000000000000002,0.6,0.20000000000000004
#clindor,0.8000000000000002,4.0,3.2000000000000006,14.399999999999999,4.809090909090908,0.09999999999999995,0.05624999999999993,0.8999999999999999,0.9307692307692309,0.09999999999999995,0.5333333333333334,0.4000000000000001
#matamore,0.55,2.75,2.2,4.809090909090908,21.024999999999995,0.009090909090909106,0.08181818181818172,1.9113636363636362,1.85472027972028,0.7363636363636361,0.825,0.275
#adraste,0.20000000000000004,1.0,0.8000000000000002,0.09999999999999995,0.009090909090909106,32.4,0.22500000000000006,0.10000000000000002,0.06923076923076925,0.8999999999999999,0.3,0.10000000000000002
#isabelle,0.8000000000000002,2.25,3.2000000000000006,0.05624999999999993,0.08181818181818172,0.22500000000000006,14.399999999999999,0.8999999999999999,1.5076923076923074,0.22500000000000006,0.5333333333333334,0.8999999999999999
#page,0.05000000000000001,0.25,0.20000000000000004,0.8999999999999999,1.9113636363636362,0.10000000000000002,0.8999999999999999,38.025,0.325,0.10000000000000002,0.075,0.025000000000000005
#lyse,0.65,1.5576923076923077,2.6,0.9307692307692309,1.85472027972028,0.06923076923076925,1.5076923076923074,0.325,18.22499999999999,1.3,1.0775641025641025,1.401923076923077
#geronte,0.20000000000000004,1.0,0.8000000000000002,0.09999999999999995,0.7363636363636361,0.8999999999999999,0.22500000000000006,0.10000000000000002,1.3,32.4,0.3,0.10000000000000002
#le-geolier,0.15000000000000002,0.75,0.6000000000000001,0.533333333333333,0.8250000000000001,0.30000000000000004,0.533333333333333,0.07500000000000001,1.0775641025641023,0.30000000000000004,34.225,0.07500000000000001
#eraste,0.05000000000000001,2.25,0.20000000000000004,0.4000000000000001,0.275,0.10000000000000002,0.8999999999999999,0.025000000000000005,1.401923076923077,0.10000000000000002,0.075,38.025
Successions,#dorante,#pridamant,#alcandre,#clindor,#matamore,#adraste,#isabelle,#page,#lyse,#geronte,#le-geolier,#eraste
#dorante,0.16666666666666666,0.8333333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#pridamant,0.14285714285714285,0.0,0.7857142857142857,0.0,0.0,0.0,0.0,0.0,0.0,0.03571428571428571,0.0,0.03571428571428571
#alcandre,0.07407407407407407,0.7407407407407407,0.07407407407407407,0.0,0.0,0.0,0.0,0.0,0.07407407407407407,0.0,0.037037037037037035,0.0
#clindor,0.0,0.0,0.013888888888888888,0.0,0.4166666666666667,0.08333333333333333,0.2638888888888889,0.0,0.125,0.013888888888888888,0.08333333333333333,0.0
#matamore,0.0,0.0,0.0,0.4393939393939394,0.0,0.015151515151515152,0.2727272727272727,0.045454545454545456,0.10606060606060606,0.12121212121212122,0.0,0.0
#adraste,0.0,0.0,0.0,0.3076923076923077,0.0,0.0,0.3076923076923077,0.0,0.38461538461538464,0.0,0.0,0.0
#isabelle,0.0,0.0,0.010638297872340425,0.18085106382978725,0.20212765957446807,0.0851063829787234,0.0,0.0,0.3829787234042553,0.0425531914893617,0.07446808510638298,0.02127659574468085
#page,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#lyse,0.0,0.014925373134328358,0.0,0.14925373134328357,0.1044776119402985,0.16417910447761194,0.5522388059701493,0.0,0.014925373134328358,0.0,0.0,0.0
#geronte,0.0,0.0,0.06666666666666667,0.13333333333333333,0.4666666666666667,0.0,0.26666666666666666,0.0,0.0,0.06666666666666667,0.0,0.0
#le-geolier,0.0,0.0,0.0,0.42857142857142855,0.0,0.0,0.5,0.0,0.07142857142857142,0.0,0.0,0.0
#eraste,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.3333333333333333,0.0,0.0,0.0
