VALEUR,#pierre,#jacqueline,#lelio,#arlequin,#la-comtesse,#colombine,#le-baron,#le-chanteur,#la-chanteuse
Fréquences (scènes),0.16666666666666666,0.16666666666666666,0.5833333333333334,0.625,0.375,0.5833333333333334,0.041666666666666664,0.041666666666666664,0.041666666666666664
Fréquences(répliques),0.0,0.0,0.0,0.28,0.0,0.0,0.0,0.48,0.24
Confrontation,0.07758620689655173,0.05172413793103448,0.21551724137931033,0.21551724137931033,0.15517241379310345,0.22413793103448276,0.02586206896551724,0.017241379310344827,0.017241379310344827
Déviations,#pierre,#jacqueline,#lelio,#arlequin,#la-comtesse,#colombine,#le-baron,#le-chanteur,#la-chanteuse
#pierre,16.66666666666667,8.16666666666667,0.04761904761904766,0.1,0.16666666666666666,0.761904761904762,0.16666666666666666,0.16666666666666666,0.16666666666666666
#jacqueline,8.16666666666667,16.66666666666667,0.04761904761904766,0.9,1.5,2.3333333333333335,0.16666666666666666,0.16666666666666666,0.16666666666666666
#lelio,0.04761904761904754,0.04761904761904754,4.166666666666664,0.06428571428571428,0.011904761904761904,0.16666666666666696,0.2976190476190477,0.5833333333333333,0.5833333333333333
#arlequin,0.1,0.9,0.06428571428571428,3.375,1.225,0.007142857142857143,0.625,0.225,0.225
#la-comtesse,0.16666666666666666,1.5,0.011904761904761904,1.225,9.375,1.4404761904761905,1.0416666666666667,0.375,0.375
#colombine,0.7619047619047616,2.333333333333333,0.16666666666666696,0.007142857142857143,1.4404761904761905,4.166666666666664,0.2976190476190477,0.5833333333333333,0.5833333333333333
#le-baron,0.16666666666666666,0.16666666666666666,0.29761904761904756,0.625,1.0416666666666667,0.29761904761904756,22.04166666666667,0.041666666666666664,0.041666666666666664
#le-chanteur,0.16666666666666666,0.16666666666666666,0.5833333333333334,0.225,0.375,0.5833333333333334,0.041666666666666664,22.04166666666667,22.04166666666667
#le-chanteur,0.16666666666666666,0.16666666666666666,0.5833333333333334,0.225,0.375,0.5833333333333334,0.041666666666666664,22.04166666666667,22.04166666666667
Successions,#pierre,#jacqueline,#lelio,#arlequin,#la-comtesse,#colombine,#le-baron,#le-chanteur,#la-chanteuse
#pierre,0.0,0.7368421052631579,0.15789473684210525,0.05263157894736842,0.0,0.05263157894736842,0.0,0.0,0.0
#jacqueline,0.3870967741935484,0.0,0.5806451612903226,0.03225806451612903,0.0,0.0,0.0,0.0,0.0
#lelio,0.021739130434782608,0.09239130434782608,0.0,0.42934782608695654,0.266304347826087,0.14673913043478262,0.043478260869565216,0.0,0.0
#arlequin,0.02666666666666667,0.0,0.5466666666666666,0.006666666666666667,0.06666666666666667,0.3466666666666667,0.0,0.0,0.006666666666666667
#la-comtesse,0.0,0.0,0.408,0.104,0.0,0.432,0.056,0.0,0.0
#colombine,0.0,0.0,0.17518248175182483,0.39416058394160586,0.40145985401459855,0.014598540145985401,0.014598540145985401,0.0,0.0
#le-baron,0.0,0.0,0.35294117647058826,0.0,0.6470588235294118,0.0,0.0,0.0,0.0
#le-chanteur,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
#la-chanteuse,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
