VALEUR,#le-bailly,#la-baillive,#crouton,#agnes,#pierrot,#arlequin,#le-magister,#le-paysan,#les-enfants
Fréquences (scènes),0.7272727272727273,0.3181818181818182,0.045454545454545456,0.45454545454545453,0.3181818181818182,0.09090909090909091,0.045454545454545456,0.045454545454545456,0.045454545454545456
Fréquences(répliques),0.3691275167785235,0.10570469798657718,0.02348993288590604,0.1929530201342282,0.2181208053691275,0.04865771812080537,0.03691275167785235,0.003355704697986577,0.0016778523489932886
Confrontation,0.30303030303030304,0.15151515151515152,0.030303030303030304,0.21212121212121213,0.15151515151515152,0.07575757575757576,0.030303030303030304,0.015151515151515152,0.030303030303030304
Déviations,#le-bailly,#la-baillive,#crouton,#agnes,#pierrot,#arlequin,#le-magister,#le-paysan,#les-enfants
#le-bailly,1.636363636363636,0.0016233766233766204,0.10227272727272725,0.7102272727272726,0.23376623376623373,0.2045454545454545,0.10227272727272725,0.10227272727272725,0.10227272727272725
#la-baillive,0.0016233766233766204,10.22727272727273,1.4610389610389614,0.01038961038961037,0.6762523191094618,0.6363636363636364,0.3181818181818182,0.3181818181818182,0.3181818181818182
#crouton,0.10227272727272725,1.4610389610389614,20.045454545454547,0.45454545454545453,0.3181818181818182,0.09090909090909091,0.045454545454545456,0.045454545454545456,0.045454545454545456
#agnes,0.710227272727273,0.01038961038961037,0.4545454545454546,6.545454545454547,0.21038961038961046,0.009090909090909073,0.4545454545454546,0.4545454545454546,0.6545454545454544
#pierrot,0.23376623376623373,0.6762523191094618,0.3181818181818182,0.21038961038961046,10.22727272727273,0.2077922077922078,0.3181818181818182,0.3181818181818182,0.3181818181818182
#arlequin,0.2045454545454545,0.6363636363636364,0.09090909090909091,0.009090909090909097,0.2077922077922078,18.18181818181818,9.09090909090909,0.09090909090909091,0.09090909090909091
#le-magister,0.10227272727272725,0.3181818181818182,0.045454545454545456,0.45454545454545453,0.3181818181818182,9.09090909090909,20.045454545454547,0.045454545454545456,0.045454545454545456
#le-paysan,0.10227272727272725,0.3181818181818182,0.045454545454545456,0.45454545454545453,0.3181818181818182,0.09090909090909091,0.045454545454545456,20.045454545454547,0.045454545454545456
#les-enfants,0.10227272727272725,0.3181818181818182,0.045454545454545456,0.6545454545454544,0.3181818181818182,0.09090909090909091,0.045454545454545456,0.045454545454545456,20.045454545454547
Successions,#le-bailly,#la-baillive,#crouton,#agnes,#pierrot,#arlequin,#le-magister,#le-paysan,#les-enfants
#le-bailly,0.13043478260869565,0.13043478260869565,0.021739130434782608,0.1956521739130435,0.41304347826086957,0.021739130434782608,0.043478260869565216,0.021739130434782608,0.021739130434782608
#la-baillive,0.5,0.0,0.0,0.42857142857142855,0.07142857142857142,0.0,0.0,0.0,0.0
#crouton,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#agnes,0.3793103448275862,0.2413793103448276,0.0,0.034482758620689655,0.3448275862068966,0.0,0.0,0.0,0.0
#pierrot,0.5625,0.03125,0.0,0.375,0.0,0.03125,0.0,0.0,0.0
#arlequin,0.5,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0
#crouton,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#crouton,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#les-enfants,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
