VALEUR,#maugin,#monsieur-de-villarceaux,#monsieur-villarceaux,#ninon,#ensemble,#mademoiselle-d-aubigne,#menage,#scarron,#girault,#babet,#monsieur-de-villarceaux #menage,#tous,#le-notaire,#choeur
Fréquences (scènes),0.38461538461538464,0.3076923076923077,0.038461538461538464,0.3076923076923077,0.038461538461538464,0.34615384615384615,0.34615384615384615,0.6538461538461539,0.11538461538461539,0.07692307692307693,0.038461538461538464,0.11538461538461539,0.07692307692307693,0.038461538461538464
Fréquences(répliques),0.13821138211382114,0.02032520325203252,0.0,0.15447154471544716,0.008130081300813009,0.11788617886178862,0.07520325203252033,0.39634146341463417,0.022357723577235773,0.034552845528455285,0.008130081300813009,0.008130081300813009,0.0,0.016260162601626018
Confrontation,0.09745762711864407,0.11016949152542373,0.00847457627118644,0.1228813559322034,0.00847457627118644,0.0847457627118644,0.13559322033898305,0.1694915254237288,0.059322033898305086,0.038135593220338986,0.012711864406779662,0.07627118644067797,0.05508474576271186,0.0211864406779661
Déviations,#maugin,#monsieur-de-villarceaux,#monsieur-villarceaux,#ninon,#ensemble,#mademoiselle-d-aubigne,#menage,#scarron,#girault,#babet,#monsieur-de-villarceaux #menage,#tous,#le-notaire,#choeur
#maugin,9.846153846153845,0.376923076923077,0.9846153846153847,0.0019230769230769314,0.38461538461538464,0.06153846153846157,0.06153846153846157,0.04434389140271491,0.020512820512820544,0.0692307692307692,0.38461538461538464,0.020512820512820544,0.0692307692307692,0.9846153846153847
#monsieur-de-villarceaux,0.376923076923077,12.46153846153846,1.5576923076923075,0.9615384615384613,1.5576923076923075,0.019230769230769242,0.5470085470085471,0.010180995475113128,0.006410256410256401,0.24038461538461534,1.5576923076923075,1.2564102564102562,0.24038461538461534,0.3076923076923077
#monsieur-villarceaux,0.9846153846153847,1.5576923076923075,24.038461538461537,0.3076923076923077,0.038461538461538464,0.34615384615384615,0.34615384615384615,0.6538461538461539,0.11538461538461539,0.07692307692307693,0.038461538461538464,0.11538461538461539,0.07692307692307693,0.038461538461538464
#ninon,0.0019230769230769314,0.9615384615384613,0.3076923076923077,12.46153846153846,1.5576923076923075,0.5470085470085471,0.5470085470085471,0.2895927601809955,1.2564102564102562,0.24038461538461534,0.3076923076923077,4.673076923076922,3.115384615384615,1.5576923076923075
#ensemble,0.38461538461538464,1.5576923076923075,0.038461538461538464,1.5576923076923075,24.038461538461537,0.34615384615384615,0.34615384615384615,0.6538461538461539,0.11538461538461539,0.07692307692307693,0.038461538461538464,0.11538461538461539,0.07692307692307693,0.038461538461538464
#mademoiselle-d-aubigne,0.06153846153846157,0.019230769230769242,0.34615384615384615,0.5470085470085471,0.34615384615384615,11.115384615384617,0.004273504273504276,0.13298139768728015,1.0384615384615385,0.6923076923076923,0.34615384615384615,0.0014245014245014306,0.6923076923076923,1.235042735042735
#menage,0.06153846153846157,0.5470085470085471,0.34615384615384615,0.5470085470085471,0.34615384615384615,0.004273504273504276,11.115384615384617,0.7604323780794365,0.8903133903133901,0.13675213675213677,1.235042735042735,3.7051282051282044,2.47008547008547,1.235042735042735
#scarron,0.04434389140271505,0.010180995475113128,0.6538461538461539,0.2895927601809955,0.6538461538461539,0.1329813976872799,0.7604323780794372,3.115384615384616,0.5497737556561084,0.3665158371040724,0.1832579185520362,0.5497737556561084,0.3665158371040724,0.1832579185520362
