VALEUR,#argire,#orbassan,#loredan,#catane,#armenaide,#fanie,#tancrede,#aldamon
Fréquences (scènes),0.48484848484848486,0.24242424242424243,0.21212121212121213,0.21212121212121213,0.5757575757575758,0.18181818181818182,0.30303030303030304,0.12121212121212122
Fréquences(répliques),0.19327251995438996,0.10490307867730901,0.08722919042189281,0.04789053591790194,0.2919042189281642,0.055872291904218926,0.15051311288483465,0.06841505131128849
Confrontation,0.21875,0.125,0.109375,0.1171875,0.203125,0.0625,0.125,0.0390625
Déviations,#argire,#orbassan,#loredan,#catane,#armenaide,#fanie,#tancrede,#aldamon
#argire,8.757575757575758,0.32410037878787873,0.10822510822510818,0.5725108225108225,0.06738437001594884,0.2840909090909091,0.14848484848484853,0.4550189393939394
#orbassan,0.32410037878787873,18.939393939393938,0.05411255411255409,1.0005411255411254,0.07974481658692194,1.4545454545454546,0.07424242424242426,0.9696969696969697
#loredan,0.10822510822510818,0.05411255411255409,20.484848484848488,8.321583178726035,2.27842333105491,1.2727272727272727,0.006926406926406914,0.8484848484848486
#catane,0.5725108225108225,1.0005411255411254,8.321583178726035,20.484848484848488,1.0227842333105492,1.2727272727272727,0.36406926406926415,0.8484848484848486
#armenaide,0.06738437001594884,0.07974481658692194,2.27842333105491,1.0227842333105492,5.9393939393939394,1.8755980861244017,2.452312599681021,0.7372408293460927
#fanie,0.2840909090909091,1.4545454545454546,1.2727272727272727,1.2727272727272727,1.875598086124401,22.090909090909093,1.8181818181818183,0.7272727272727273
#tancrede,0.14848484848484853,0.07424242424242426,0.006926406926406914,0.36406926406926415,2.452312599681021,1.8181818181818183,16.03030303030303,2.6371212121212118
#aldamon,0.4550189393939394,0.9696969696969697,0.8484848484848486,0.8484848484848486,0.7372408293460927,0.7272727272727273,2.6371212121212118,25.484848484848484
Successions,#argire,#orbassan,#loredan,#catane,#armenaide,#fanie,#tancrede,#aldamon
#argire,0.03278688524590164,0.09836065573770492,0.08196721311475409,0.01639344262295082,0.5737704918032787,0.01639344262295082,0.16393442622950818,0.01639344262295082
#orbassan,0.3888888888888889,0.0,0.0,0.16666666666666666,0.2222222222222222,0.0,0.2222222222222222,0.0
#loredan,0.4166666666666667,0.08333333333333333,0.08333333333333333,0.16666666666666666,0.16666666666666666,0.0,0.08333333333333333,0.0
#catane,0.1111111111111111,0.1111111111111111,0.3333333333333333,0.0,0.1111111111111111,0.0,0.3333333333333333,0.0
#armenaide,0.4594594594594595,0.08108108108108109,0.0,0.013513513513513514,0.04054054054054054,0.25675675675675674,0.0945945945945946,0.05405405405405406
#fanie,0.05,0.0,0.0,0.0,0.95,0.0,0.0,0.0
#tancrede,0.2037037037037037,0.07407407407407407,0.05555555555555555,0.037037037037037035,0.09259259259259259,0.0,0.018518518518518517,0.5185185185185185
#aldamon,0.0,0.0,0.0,0.0,0.15151515151515152,0.0,0.8484848484848485,0.0
