VALEUR,#eraste,#gros-rene,#marinette,#valere,#mascarille,#frosine,#ascagne,#lucile,#albert,#metaphraste,#polydore,#la-rapiere
Fréquences (scènes),0.23529411764705882,0.2647058823529412,0.17647058823529413,0.35294117647058826,0.38235294117647056,0.11764705882352941,0.20588235294117646,0.17647058823529413,0.29411764705882354,0.029411764705882353,0.17647058823529413,0.029411764705882353
Fréquences(répliques),0.135,0.102,0.071,0.096,0.1545,0.065,0.0995,0.062,0.1045,0.0365,0.0655,0.0085
Confrontation,0.11413043478260869,0.11956521739130435,0.09239130434782608,0.14673913043478262,0.13043478260869565,0.02717391304347826,0.08152173913043478,0.09782608695652174,0.10326086956521739,0.005434782608695652,0.07065217391304347,0.010869565217391304
Déviations,#eraste,#gros-rene,#marinette,#valere,#mascarille,#frosine,#ascagne,#lucile,#albert,#metaphraste,#polydore,#la-rapiere
#eraste,19.88235294117647,16.339869281045754,4.745098039215685,0.24019607843137264,0.3665158371040723,0.9411764705882353,0.2542016806722689,0.2450980392156862,0.7779411764705884,0.23529411764705882,0.12009803921568632,0.23529411764705882
#gros-rene,16.339869281045754,18.38235294117647,7.328976034858387,0.4357298474945535,0.6035696329813974,1.0588235294117647,0.3926237161531278,0.10675381263616551,1.0248366013071895,0.2647058823529412,0.21786492374727676,0.2647058823529412
#marinette,4.745098039215687,7.328976034858387,23.058823529411764,0.5898692810457516,0.7300150829562594,0.7058823529411764,0.04481792717086836,3.5588235294117645,0.33137254901960783,0.1764705882352941,0.0032679738562091517,0.1764705882352941
#valere,0.24019607843137245,0.4357298474945535,0.5898692810457516,14.235294117647058,2.536953242835596,0.12009803921568622,0.08963585434173672,0.3676470588235294,0.06274509803921571,0.3529411764705882,0.3676470588235294,1.1862745098039218
#mascarille,0.3665158371040723,0.6035696329813978,0.7300150829562597,2.5369532428355948,12.970588235294118,1.5294117647058825,1.0500969618616676,0.03770739064856719,0.3619909502262442,0.3823529411764706,0.03770739064856719,0.9977375565610861
#frosine,0.9411764705882353,1.0588235294117647,0.7058823529411765,0.12009803921568632,1.5294117647058825,26.470588235294116,12.252100840336135,0.7058823529411765,1.1764705882352942,0.11764705882352941,0.7058823529411765,0.11764705882352941
#ascagne,0.2542016806722689,0.39262371615312797,0.04481792717086836,0.08963585434173672,1.0500969618616676,12.252100840336135,21.441176470588232,0.47338935574229685,0.5445378151260506,0.20588235294117646,0.47338935574229685,0.20588235294117646
#lucile,0.2450980392156864,0.10675381263616551,3.5588235294117645,0.3676470588235294,0.03770739064856708,0.7058823529411764,0.47338935574229685,23.058823529411764,0.8647058823529412,0.1764705882352941,0.0032679738562091517,0.1764705882352941
#albert,0.7779411764705884,1.0248366013071895,0.331372549019608,0.06274509803921559,0.3619909502262445,1.1764705882352942,0.5445378151260503,0.8647058823529409,16.941176470588232,1.6941176470588233,0.031372549019607794,0.29411764705882354
#metaphraste,0.23529411764705882,0.2647058823529412,0.17647058823529413,0.35294117647058826,0.3823529411764706,0.11764705882352941,0.20588235294117646,0.17647058823529413,1.6941176470588233,32.029411764705884,0.17647058823529413,0.029411764705882353
#polydore,0.12009803921568622,0.21786492374727676,0.0032679738562091517,0.3676470588235294,0.03770739064856708,0.7058823529411764,0.47338935574229685,0.0032679738562091517,0.03137254901960786,0.1764705882352941,23.058823529411764,0.1764705882352941
#la-rapiere,0.23529411764705882,0.2647058823529412,0.17647058823529413,1.1862745098039214,0.9977375565610861,0.11764705882352941,0.20588235294117646,0.17647058823529413,0.29411764705882354,0.029411764705882353,0.17647058823529413,32.029411764705884
Successions,#eraste,#gros-rene,#marinette,#valere,#mascarille,#frosine,#ascagne,#lucile,#albert,#metaphraste,#polydore,#la-rapiere
#eraste,0.0,0.20652173913043478,0.17391304347826086,0.16304347826086957,0.22826086956521738,0.010869565217391304,0.0,0.20652173913043478,0.010869565217391304,0.0,0.0,0.0
#gros-rene,0.2982456140350877,0.017543859649122806,0.5789473684210527,0.017543859649122806,0.05263157894736842,0.0,0.0,0.03508771929824561,0.0,0.0,0.0,0.0
#marinette,0.29508196721311475,0.4918032786885246,0.0,0.01639344262295082,0.04918032786885246,0.0,0.01639344262295082,0.13114754098360656,0.0,0.0,0.0,0.0
#valere,0.1951219512195122,0.012195121951219513,0.0,0.012195121951219513,0.2926829268292683,0.0,0.23170731707317074,0.06097560975609756,0.07317073170731707,0.0,0.08536585365853659,0.036585365853658534
#mascarille,0.21875,0.052083333333333336,0.020833333333333332,0.25,0.010416666666666666,0.0,0.010416666666666666,0.041666666666666664,0.3229166666666667,0.010416666666666666,0.041666666666666664,0.020833333333333332
#frosine,0.0,0.0,0.045454545454545456,0.0,0.045454545454545456,0.0,0.9090909090909091,0.0,0.0,0.0,0.0,0.0
#ascagne,0.0,0.0,0.0,0.4444444444444444,0.022222222222222223,0.4222222222222222,0.0,0.08888888888888889,0.0,0.0,0.022222222222222223,0.0
#lucile,0.4772727272727273,0.022727272727272728,0.1590909090909091,0.09090909090909091,0.1590909090909091,0.022727272727272728,0.06818181818181818,0.0,0.0,0.0,0.0,0.0
#albert,0.0,0.0,0.02127659574468085,0.0425531914893617,0.3404255319148936,0.0,0.0,0.02127659574468085,0.0,0.2978723404255319,0.2765957446808511,0.0
#metaphraste,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
#polydore,0.0,0.0,0.0,0.20512820512820512,0.05128205128205128,0.02564102564102564,0.02564102564102564,0.0,0.6666666666666666,0.0,0.02564102564102564,0.0
#la-rapiere,0.0,0.0,0.0,0.8,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
