VALEUR,#cethegus,#marius,#arisbe,#phenice,#caïus-marius,#numerius,#hiempsal,#marius-fils,#nerbal
Fréquences (scènes),0.07142857142857142,0.17857142857142858,0.5,0.10714285714285714,0.2857142857142857,0.03571428571428571,0.35714285714285715,0.2857142857142857,0.10714285714285714
Fréquences(répliques),0.07547169811320754,0.09973045822102426,0.2183288409703504,0.012129380053908356,0.272911051212938,0.028975741239892182,0.15633423180592992,0.09366576819407008,0.04245283018867924
Confrontation,0.03333333333333333,0.11666666666666667,0.23333333333333334,0.05,0.16666666666666666,0.016666666666666666,0.15,0.16666666666666666,0.06666666666666667
Déviations,#cethegus,#marius,#arisbe,#phenice,#caïus-marius,#numerius,#hiempsal,#marius-fils,#nerbal
#cethegus,24.142857142857146,1.1571428571428568,0.0,0.21428571428571427,0.5714285714285714,0.07142857142857142,0.7142857142857143,0.5714285714285714,0.21428571428571427
#marius,1.1571428571428575,18.89285714285714,0.9,0.5357142857142857,0.22857142857142873,0.17857142857142855,0.3457142857142858,0.22857142857142873,0.5357142857142857
#arisbe,0.0,0.9,7.0,1.5,2.25,0.5,0.8,0.0,0.16666666666666666
#phenice,0.21428571428571427,0.5357142857142857,1.5,22.321428571428577,0.8571428571428571,0.10714285714285714,1.0714285714285714,0.8571428571428571,0.3214285714285714
#caïus-marius,0.5714285714285714,0.22857142857142854,2.25,0.8571428571428571,14.285714285714286,1.7857142857142858,0.2571428571428572,1.285714285714286,0.8571428571428571
#numerius,0.07142857142857142,0.17857142857142858,0.5,0.10714285714285714,1.7857142857142858,26.03571428571429,0.35714285714285715,0.2857142857142857,0.10714285714285714
#hiempsal,0.7142857142857142,0.3457142857142858,0.8,1.0714285714285714,0.25714285714285695,0.3571428571428571,11.571428571428571,2.8571428571428568,3.471428571428572
#marius-fils,0.5714285714285714,0.22857142857142854,0.0,0.8571428571428571,1.285714285714286,0.2857142857142857,2.857142857142857,14.285714285714286,0.8571428571428571
#nerbal,0.21428571428571427,0.5357142857142857,0.16666666666666666,0.3214285714285714,0.8571428571428571,0.10714285714285714,3.471428571428572,0.8571428571428571,22.321428571428577
Successions,#cethegus,#marius,#arisbe,#phenice,#caïus-marius,#numerius,#hiempsal,#marius-fils,#nerbal
#cethegus,0.0,0.7777777777777778,0.2222222222222222,0.0,0.0,0.0,0.0,0.0,0.0
#marius,0.4,0.0,0.4,0.0,0.15,0.0,0.05,0.0,0.0
#arisbe,0.041666666666666664,0.1875,0.041666666666666664,0.08333333333333333,0.041666666666666664,0.0,0.16666666666666666,0.4166666666666667,0.020833333333333332
#phenice,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
#caïus-marius,0.0,0.075,0.075,0.0,0.05,0.25,0.35,0.2,0.0
#numerius,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
#hiempsal,0.0,0.02857142857142857,0.22857142857142856,0.0,0.42857142857142855,0.0,0.08571428571428572,0.02857142857142857,0.2
#marius-fils,0.0,0.0,0.7,0.0,0.26666666666666666,0.0,0.0,0.03333333333333333,0.0
#nerbal,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
