VALEUR,#vasta,#vit-molet,#conille,#un-soldat,#fout-six-coups,#vit-en-l-air,#tetasse,#le-grand-pretre,#couille-au-cul,#raucourt,#lekain
Fréquences (scènes),0.5,0.2222222222222222,0.3333333333333333,0.05555555555555555,0.1111111111111111,0.16666666666666666,0.16666666666666666,0.05555555555555555,0.05555555555555555,0.05555555555555555,0.05555555555555555
Fréquences(répliques),0.3556231003039514,0.060790273556231005,0.14285714285714285,0.030395136778115502,0.10638297872340426,0.09422492401215805,0.03343465045592705,0.0486322188449848,0.1033434650455927,0.0121580547112462,0.0121580547112462
Confrontation,0.2857142857142857,0.14285714285714285,0.14285714285714285,0.03571428571428571,0.07142857142857142,0.07142857142857142,0.10714285714285714,0.03571428571428571,0.03571428571428571,0.03571428571428571,0.03571428571428571
Déviations,#vasta,#vit-molet,#conille,#un-soldat,#fout-six-coups,#vit-en-l-air,#tetasse,#le-grand-pretre,#couille-au-cul,#raucourt,#lekain
#vasta,4.5,0.5,0.3333333333333333,0.5,1.0,1.5,0.16666666666666666,0.5,0.5,0.5,0.5
#vit-molet,0.5,10.88888888888889,0.0833333333333333,0.2222222222222222,0.4444444444444444,0.1666666666666667,0.1666666666666667,0.2222222222222222,0.2222222222222222,0.2222222222222222,0.2222222222222222
#conille,0.3333333333333333,0.0833333333333333,8.0,0.3333333333333333,0.6666666666666666,1.0,1.0,0.3333333333333333,1.3333333333333337,0.3333333333333333,0.3333333333333333
#un-soldat,0.5,0.2222222222222222,0.3333333333333333,16.055555555555557,0.1111111111111111,0.16666666666666666,0.16666666666666666,0.05555555555555555,0.05555555555555555,0.05555555555555555,0.05555555555555555
#fout-six-coups,1.0,0.4444444444444444,0.6666666666666666,0.1111111111111111,14.222222222222221,0.3333333333333333,0.3333333333333333,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111
#vit-en-l-air,1.5,0.1666666666666667,1.0,0.16666666666666666,0.3333333333333333,12.5,0.5,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666
#tetasse,0.16666666666666666,0.1666666666666667,1.0,0.16666666666666666,0.3333333333333333,0.5,12.5,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666
#le-grand-pretre,0.5,0.2222222222222222,0.3333333333333333,0.05555555555555555,0.1111111111111111,0.16666666666666666,0.16666666666666666,16.055555555555557,0.05555555555555555,0.05555555555555555,0.05555555555555555
#couille-au-cul,0.5,0.2222222222222222,1.3333333333333337,0.05555555555555555,0.1111111111111111,0.16666666666666666,0.16666666666666666,0.05555555555555555,16.055555555555557,0.05555555555555555,0.05555555555555555
#raucourt,0.5,0.2222222222222222,0.3333333333333333,0.05555555555555555,0.1111111111111111,0.16666666666666666,0.16666666666666666,0.05555555555555555,0.05555555555555555,16.055555555555557,16.055555555555557
#raucourt,0.5,0.2222222222222222,0.3333333333333333,0.05555555555555555,0.1111111111111111,0.16666666666666666,0.16666666666666666,0.05555555555555555,0.05555555555555555,16.055555555555557,16.055555555555557
Successions,#vasta,#vit-molet,#conille,#un-soldat,#fout-six-coups,#vit-en-l-air,#tetasse,#le-grand-pretre,#couille-au-cul,#raucourt,#lekain
#vasta,0.11764705882352941,0.058823529411764705,0.29411764705882354,0.058823529411764705,0.35294117647058826,0.058823529411764705,0.058823529411764705,0.0,0.0,0.0,0.0
#vit-molet,0.3333333333333333,0.0,0.16666666666666666,0.0,0.0,0.3333333333333333,0.16666666666666666,0.0,0.0,0.0,0.0
#conille,0.2222222222222222,0.2222222222222222,0.1111111111111111,0.0,0.0,0.1111111111111111,0.0,0.1111111111111111,0.2222222222222222,0.0,0.0
#un-soldat,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#un-soldat,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#vit-en-l-air,0.4,0.4,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0
#tetasse,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0
#un-soldat,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#couille-au-cul,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#un-soldat,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#lekain,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
