VALEUR,#dione,#dejanire,#thelame,#althee,#plexippe,#athalante,#elise,#meleagre
Fréquences (scènes),0.10810810810810811,0.5405405405405406,0.05405405405405406,0.35135135135135137,0.16216216216216217,0.3783783783783784,0.08108108108108109,0.40540540540540543
Fréquences(répliques),0.03690036900369004,0.2109471094710947,0.02952029520295203,0.21525215252152521,0.12177121771217712,0.17589175891758918,0.047355473554735544,0.16236162361623616
Confrontation,0.04081632653061224,0.24489795918367346,0.030612244897959183,0.1836734693877551,0.061224489795918366,0.1836734693877551,0.030612244897959183,0.22448979591836735
Déviations,#dione,#dejanire,#thelame,#althee,#plexippe,#athalante,#elise,#meleagre
#dione,29.43243243243243,0.3246621621621621,0.21621621621621623,0.11694386694386699,0.6486486486486487,1.5135135135135134,0.32432432432432434,1.6216216216216217
#dejanire,0.3246621621621621,7.810810810810811,0.006081081081081089,0.13471933471933467,1.5515765765765768,1.6818532818532823,1.6216216216216217,0.1514414414414416
#thelame,0.21621621621621623,0.006081081081081089,33.108108108108105,0.7027027027027027,0.32432432432432434,0.07818532818532815,0.16216216216216217,0.044144144144144117
#althee,0.11694386694386699,0.13471933471933467,0.7027027027027027,15.567567567567563,0.005544005544005567,1.7321057321057323,1.0540540540540542,0.013860013860013851
#plexippe,0.6486486486486487,1.5515765765765768,0.32432432432432434,0.005544005544005567,25.972972972972972,0.032175032175032155,0.4864864864864865,0.8435435435435437
#athalante,1.5135135135135134,1.6818532818532823,0.07818532818532815,1.7321057321057323,0.032175032175032155,14.297297297297293,0.658944658944659,0.3090090090090087
#elise,0.32432432432432434,1.6216216216216217,0.16216216216216217,1.0540540540540542,0.4864864864864865,0.658944658944659,31.24324324324324,0.038438438438438444
#meleagre,1.6216216216216217,0.1514414414414416,0.044144144144144117,0.013860013860013851,0.8435435435435437,0.3090090090090087,0.038438438438438444,13.08108108108108
Successions,#dione,#dejanire,#thelame,#althee,#plexippe,#athalante,#elise,#meleagre
#dione,0.0,0.75,0.0,0.0,0.0,0.0,0.0,0.25
#dejanire,0.175,0.025,0.05,0.425,0.075,0.1,0.0,0.15
#thelame,0.0,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,0.3333333333333333
#althee,0.044444444444444446,0.35555555555555557,0.0,0.06666666666666667,0.1111111111111111,0.06666666666666667,0.0,0.35555555555555557
#plexippe,0.0,0.10526315789473684,0.0,0.3157894736842105,0.0,0.2631578947368421,0.05263157894736842,0.2631578947368421
#athalante,0.0,0.15384615384615385,0.0,0.10256410256410256,0.15384615384615385,0.02564102564102564,0.15384615384615385,0.41025641025641024
#elise,0.0,0.0,0.0,0.0,0.0,0.8,0.0,0.2
#meleagre,0.0,0.125,0.020833333333333332,0.3125,0.10416666666666667,0.375,0.0625,0.0
