VALEUR,#semiramis,#merzabane,#prazimene,#ninus,#palmedon,#zenophire,#oronclide,#cambises,#melistrate
Fréquences (scènes),0.6363636363636364,0.36363636363636365,0.3181818181818182,0.09090909090909091,0.13636363636363635,0.045454545454545456,0.3181818181818182,0.045454545454545456,0.18181818181818182
Fréquences(répliques),0.3082706766917293,0.19280343716433943,0.09828141783029001,0.0929108485499463,0.09129967776584318,0.0037593984962406013,0.1004296455424275,0.0010741138560687433,0.11117078410311493
Confrontation,0.20512820512820512,0.1794871794871795,0.15384615384615385,0.038461538461538464,0.05128205128205128,0.038461538461538464,0.19230769230769232,0.038461538461538464,0.10256410256410256
Déviations,#semiramis,#merzabane,#prazimene,#ninus,#palmedon,#zenophire,#oronclide,#cambises,#melistrate
#semiramis,2.9090909090909105,0.16233766233766236,0.046382189239332024,0.4155844155844156,1.909090909090909,0.6363636363636364,0.4749536178107604,0.6363636363636364,0.9383116883116882
#merzabane,0.16233766233766236,8.909090909090908,0.11688311688311687,0.10227272727272725,1.0909090909090908,1.1136363636363635,0.08116883116883118,1.1136363636363635,1.4545454545454546
#prazimene,0.046382189239332024,0.11688311688311687,10.22727272727273,0.6363636363636364,0.0021645021645021714,0.3181818181818182,0.2680890538033397,0.3181818181818182,0.4155844155844156
#ninus,0.4155844155844156,0.10227272727272725,0.6363636363636364,18.18181818181818,0.2727272727272727,0.09090909090909091,0.6363636363636364,0.09090909090909091,0.36363636363636365
#palmedon,1.9090909090909092,1.0909090909090908,0.0021645021645021606,0.2727272727272727,16.40909090909091,0.13636363636363635,0.0021645021645021606,0.13636363636363635,3.8787878787878793
#zenophire,0.6363636363636364,1.1136363636363635,0.3181818181818182,0.09090909090909091,0.13636363636363635,20.045454545454547,1.4610389610389614,20.045454545454547,0.18181818181818182
#oronclide,0.4749536178107604,0.08116883116883118,0.2680890538033397,0.6363636363636364,0.0021645021645021714,1.4610389610389614,10.22727272727273,1.4610389610389614,2.344155844155844
#zenophire,0.6363636363636364,1.1136363636363635,0.3181818181818182,0.09090909090909091,0.13636363636363635,20.045454545454547,1.4610389610389614,20.045454545454547,0.18181818181818182
#melistrate,0.9383116883116882,1.4545454545454546,0.4155844155844156,0.36363636363636365,3.8787878787878793,0.18181818181818182,2.344155844155844,0.18181818181818182,14.727272727272725
Successions,#semiramis,#merzabane,#prazimene,#ninus,#palmedon,#zenophire,#oronclide,#cambises,#melistrate
#semiramis,0.11363636363636363,0.45454545454545453,0.18181818181818182,0.09090909090909091,0.0,0.0,0.09090909090909091,0.0,0.06818181818181818
#merzabane,0.5862068965517241,0.034482758620689655,0.13793103448275862,0.06896551724137931,0.0,0.0,0.1724137931034483,0.0,0.0
#prazimene,0.5,0.08333333333333333,0.041666666666666664,0.0,0.125,0.0,0.08333333333333333,0.0,0.16666666666666666
#ninus,0.6666666666666666,0.16666666666666666,0.16666666666666666,0.0,0.0,0.0,0.0,0.0,0.0
#palmedon,0.0,0.0,0.2727272727272727,0.0,0.0,0.0,0.18181818181818182,0.0,0.5454545454545454
#zenophire,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#oronclide,0.13793103448275862,0.06896551724137931,0.06896551724137931,0.0,0.0,0.06896551724137931,0.0,0.034482758620689655,0.6206896551724138
#cambises,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
#melistrate,0.0967741935483871,0.03225806451612903,0.16129032258064516,0.0,0.25806451612903225,0.0,0.45161290322580644,0.0,0.0
