VALEUR,#leandre,#colombine,#orgon
Fréquences (scènes),0.875,0.5,0.375
Fréquences(répliques),0.45098039215686275,0.248868778280543,0.30015082956259426
Confrontation,0.35714285714285715,0.35714285714285715,0.2857142857142857
Déviations,#leandre,#colombine,#orgon
#leandre,0.125,0.07142857142857142,0.1488095238095238
#colombine,0.07142857142857142,2.0,0.16666666666666666
#orgon,0.1488095238095238,0.16666666666666666,3.125
Successions,#leandre,#colombine,#orgon
#leandre,0.011235955056179775,0.4157303370786517,0.5730337078651685
#colombine,0.5324675324675324,0.025974025974025976,0.44155844155844154
#orgon,0.5581395348837209,0.43023255813953487,0.011627906976744186
