VALEUR,#cleonte,#croquet,#albert,#isabelle,#clitandre,#ragotin,#elise,#judith,#clarice,#isidore,#clemence,#maurice,#celiane
Fréquences (scènes),0.24444444444444444,0.3111111111111111,0.24444444444444444,0.15555555555555556,0.2,0.28888888888888886,0.2,0.08888888888888889,0.044444444444444446,0.4222222222222222,0.08888888888888889,0.17777777777777778,0.022222222222222223
Fréquences(répliques),0.09175377468060394,0.20615563298490128,0.056329849012775844,0.04936120789779326,0.03077816492450639,0.10569105691056911,0.06910569105691057,0.026713124274099883,0.029616724738675958,0.2862950058072009,0.032520325203252036,0.015098722415795587,0.0005807200929152149
Confrontation,0.12,0.132,0.104,0.052,0.064,0.104,0.1,0.036,0.016,0.144,0.044,0.076,0.008
Déviations,#cleonte,#croquet,#albert,#isabelle,#clitandre,#ragotin,#elise,#judith,#clarice,#isidore,#clemence,#maurice,#celiane
#cleonte,25.688888888888894,12.64300144300144,0.17649219467401275,0.04877344877344872,0.6545454545454547,0.4365190365190364,0.29090909090909073,0.0005050505050505015,0.48888888888888893,1.1946836788942048,0.0005050505050505015,0.466919191919192,0.24444444444444446
#croquet,12.643001443001442,21.35555555555555,0.5910533910533909,0.31043083900226737,1.1571428571428575,1.0334554334554333,0.514285714285714,0.048015873015873026,0.6222222222222222,0.7381787802840433,0.048015873015873026,0.8906746031746032,0.3111111111111111
#albert,0.17649219467401275,0.5910533910533913,25.688888888888894,0.29552669552669564,0.29090909090909073,0.21274281274281284,0.018181818181818212,0.9777777777777779,0.48888888888888893,0.08942052099946847,0.0005050505050505015,13.012373737373736,0.24444444444444446
#isabelle,0.04877344877344881,0.31043083900226737,0.29552669552669547,32.08888888888889,1.4000000000000001,0.5167277167277167,0.11428571428571435,0.6222222222222222,1.5253968253968253,0.3089390142021722,3.0507936507936506,1.2444444444444445,0.15555555555555556
#clitandre,0.6545454545454543,1.157142857142857,0.2909090909090912,1.4,28.8,7.446153846153848,1.8,0.8000000000000002,0.4000000000000001,2.063157894736842,0.049999999999999975,0.09999999999999995,0.20000000000000004
#ragotin,0.4365190365190362,1.0334554334554333,0.21274281274281312,0.5167277167277167,7.446153846153848,22.755555555555564,0.9846153846153842,1.1555555555555554,0.5777777777777777,3.671075123706702,2.9440170940170947,1.2341880341880347,1.7504273504273506
