VALEUR,#cleonte,#croquet,#albert,#isabelle,#clitandre,#ragotin,#elise,#judith,#clarice,#isidore,#clemence,#maurice,#celiane
#elise,0.2909090909090912,0.5142857142857145,0.018181818181818136,0.11428571428571424,1.8,0.9846153846153842,28.8,12.800000000000002,0.8999999999999999,2.694736842105264,0.049999999999999975,0.22500000000000006,0.20000000000000004
#judith,0.0005050505050505066,0.048015873015873026,0.9777777777777777,0.6222222222222222,0.8000000000000002,1.1555555555555554,12.800000000000002,37.355555555555554,3.802777777777777,0.05730994152046784,0.35555555555555557,0.7111111111111111,0.08888888888888889
#clarice,0.4888888888888889,0.6222222222222222,0.4888888888888889,1.5253968253968253,0.4000000000000001,0.5777777777777777,0.8999999999999999,3.802777777777777,41.08888888888889,0.02865497076023392,0.17777777777777778,0.35555555555555557,0.044444444444444446
#isidore,1.194683678894206,0.7381787802840433,0.08942052099946823,0.3089390142021722,2.0631578947368423,3.671075123706702,2.6947368421052627,0.05730994152046784,0.02865497076023392,15.022222222222222,0.28099415204678363,0.5619883040935673,0.4222222222222222
#clemence,0.0005050505050505066,0.048015873015873026,0.0005050505050505066,3.0507936507936506,0.049999999999999975,2.9440170940170947,0.049999999999999975,0.35555555555555557,0.17777777777777778,0.28099415204678363,37.355555555555554,0.7111111111111111,0.08888888888888889
#maurice,0.46691919191919184,0.8906746031746032,13.012373737373736,1.2444444444444445,0.09999999999999995,1.2341880341880347,0.22500000000000006,0.7111111111111111,0.35555555555555557,0.5619883040935673,0.7111111111111111,30.422222222222217,3.802777777777777
#celiane,0.24444444444444444,0.3111111111111111,0.24444444444444444,0.15555555555555556,0.20000000000000004,1.7504273504273506,0.20000000000000004,0.08888888888888889,0.044444444444444446,0.4222222222222222,0.08888888888888889,3.802777777777777,43.02222222222222
Successions,#cleonte,#croquet,#albert,#isabelle,#clitandre,#ragotin,#elise,#judith,#clarice,#isidore,#clemence,#maurice,#celiane
#cleonte,0.0,0.4782608695652174,0.028985507246376812,0.014492753623188406,0.0,0.0,0.014492753623188406,0.014492753623188406,0.0,0.42028985507246375,0.028985507246376812,0.0,0.0
#croquet,0.3626373626373626,0.0,0.03296703296703297,0.15384615384615385,0.02197802197802198,0.02197802197802198,0.04395604395604396,0.0,0.0,0.3626373626373626,0.0,0.0,0.0
#albert,0.10344827586206896,0.034482758620689655,0.0,0.06896551724137931,0.10344827586206896,0.10344827586206896,0.06896551724137931,0.0,0.0,0.27586206896551724,0.0,0.2413793103448276,0.0
#isabelle,0.0,0.47058823529411764,0.058823529411764705,0.0,0.029411764705882353,0.029411764705882353,0.029411764705882353,0.0,0.17647058823529413,0.08823529411764706,0.11764705882352941,0.0,0.0
#clitandre,0.07692307692307693,0.0,0.07692307692307693,0.038461538461538464,0.0,0.6923076923076923,0.0,0.0,0.0,0.038461538461538464,0.0,0.07692307692307693,0.0
#ragotin,0.0,0.08695652173913043,0.08695652173913043,0.021739130434782608,0.391304347826087,0.0,0.0,0.0,0.0,0.043478260869565216,0.1956521739130435,0.17391304347826086,0.0
#elise,0.041666666666666664,0.10416666666666667,0.041666666666666664,0.0,0.0,0.020833333333333332,0.0,0.1875,0.041666666666666664,0.5416666666666666,0.0,0.020833333333333332,0.0
#judith,0.0,0.0,0.0,0.0,0.0,0.0,0.7142857142857143,0.0,0.0,0.2857142857142857,0.0,0.0,0.0
#clarice,0.0,0.0,0.0,0.875,0.0,0.0,0.0,0.125,0.0,0.0,0.0,0.0,0.0
#isidore,0.2702702702702703,0.27927927927927926,0.09009009009009009,0.02702702702702703,0.0,0.0,0.26126126126126126,0.02702702702702703,0.0,0.036036036036036036,0.0,0.009009009009009009,0.0
#clemence,0.0,0.0,0.0,0.3333333333333333,0.0,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#maurice,0.0,0.05263157894736842,0.21052631578947367,0.0,0.10526315789473684,0.5263157894736842,0.05263157894736842,0.0,0.0,0.0,0.0,0.0,0.05263157894736842
#celiane,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
