VALEUR,#rodolfe,#mathilde,#albert,#frederic,#dionee,#ferdinand,#fredegonde,#rutile,#charles,#leopolde
Fréquences (scènes),0.36363636363636365,0.3181818181818182,0.045454545454545456,0.22727272727272727,0.2727272727272727,0.5,0.22727272727272727,0.045454545454545456,0.4090909090909091,0.18181818181818182
Fréquences(répliques),0.13964497041420118,0.14733727810650887,0.007100591715976331,0.0727810650887574,0.05917159763313609,0.18402366863905326,0.09112426035502959,0.029585798816568046,0.17633136094674556,0.09289940828402367
Confrontation,0.15,0.15833333333333333,0.016666666666666666,0.075,0.10833333333333334,0.16666666666666666,0.09166666666666666,0.008333333333333333,0.15,0.075
Déviations,#rodolfe,#mathilde,#albert,#frederic,#dionee,#ferdinand,#fredegonde,#rutile,#charles,#leopolde
#rodolfe,8.909090909090908,0.08116883116883118,1.1136363636363635,0.7681818181818183,0.015151515151515124,1.0,0.7681818181818183,0.36363636363636365,0.4949494949494951,0.2045454545454545
#mathilde,0.08116883116883118,10.22727272727273,1.4610389610389614,0.21948051948051941,2.29004329004329,0.07142857142857142,0.21948051948051941,0.3181818181818182,0.4509379509379508,0.05844155844155843
#albert,1.1136363636363635,1.4610389610389614,20.045454545454547,0.22727272727272727,0.2727272727272727,0.5,0.22727272727272727,0.045454545454545456,0.4090909090909091,0.18181818181818182
#frederic,0.7681818181818179,0.21948051948051941,0.2272727272727273,13.136363636363638,0.09696969696969691,2.5,0.016363636363636334,2.627272727272727,2.0454545454545454,1.3090909090909089
#dionee,0.015151515151515124,2.2900432900432897,0.2727272727272727,0.09696969696969691,11.636363636363635,0.3333333333333333,1.3636363636363635,0.2727272727272727,0.08417508417508418,1.0909090909090908
#ferdinand,1.0,0.07142857142857142,0.5,2.5,0.3333333333333333,5.5,0.1,0.5,1.3888888888888888,0.5
#fredegonde,0.7681818181818179,0.21948051948051941,0.2272727272727273,0.016363636363636334,1.3636363636363635,0.1,13.136363636363638,0.2272727272727273,0.0010101010101010081,1.3090909090909089
#rutile,0.36363636363636365,0.3181818181818182,0.045454545454545456,2.627272727272727,0.2727272727272727,0.5,0.22727272727272727,20.045454545454547,0.4090909090909091,0.18181818181818182
#charles,0.4949494949494951,0.4509379509379508,0.4090909090909091,2.0454545454545454,0.08417508417508404,1.3888888888888888,0.0010101010101010081,0.4090909090909091,7.681818181818182,0.24747474747474754
#leopolde,0.2045454545454545,0.05844155844155843,0.18181818181818182,1.3090909090909089,1.0909090909090908,0.5,1.3090909090909089,0.18181818181818182,0.24747474747474754,14.727272727272725
Successions,#rodolfe,#mathilde,#albert,#frederic,#dionee,#ferdinand,#fredegonde,#rutile,#charles,#leopolde
#rodolfe,0.045454545454545456,0.22727272727272727,0.0,0.1590909090909091,0.0,0.11363636363636363,0.18181818181818182,0.0,0.09090909090909091,0.18181818181818182
#mathilde,0.3142857142857143,0.0,0.02857142857142857,0.0,0.08571428571428572,0.14285714285714285,0.0,0.0,0.37142857142857144,0.05714285714285714
#albert,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#frederic,0.38461538461538464,0.038461538461538464,0.0,0.0,0.038461538461538464,0.0,0.0,0.19230769230769232,0.0,0.34615384615384615
#dionee,0.0,0.2,0.0,0.06666666666666667,0.0,0.7333333333333333,0.0,0.0,0.0,0.0
#ferdinand,0.07692307692307693,0.057692307692307696,0.0,0.019230769230769232,0.46153846153846156,0.0,0.057692307692307696,0.0,0.3076923076923077,0.019230769230769232
#fredegonde,0.20689655172413793,0.13793103448275862,0.0,0.0,0.0,0.034482758620689655,0.0,0.0,0.5517241379310345,0.06896551724137931
#rutile,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
#charles,0.05357142857142857,0.19642857142857142,0.0,0.017857142857142856,0.03571428571428571,0.30357142857142855,0.32142857142857145,0.0,0.017857142857142856,0.05357142857142857
#leopolde,0.32,0.0,0.0,0.4,0.0,0.08,0.0,0.0,0.2,0.0
