VALEUR,#cathis #lolotte,#broton,#lolotte,#cathis,#victoire,#babot,#leandre,#clorinde,#damis,#champagne
Fréquences (scènes),0.1,0.5,0.4,0.55,0.35,0.7,0.4,0.25,0.25,0.15
Fréquences(répliques),0.0065252854812398045,0.20554649265905384,0.052202283849918436,0.11092985318107668,0.07830342577487764,0.2740619902120718,0.10929853181076672,0.08972267536704731,0.03099510603588907,0.04241435562805873
Confrontation,0.036290322580645164,0.13306451612903225,0.125,0.14516129032258066,0.0967741935483871,0.16129032258064516,0.10483870967741936,0.07258064516129033,0.07258064516129033,0.05241935483870968
Déviations,#cathis #lolotte,#broton,#lolotte,#cathis,#victoire,#babot,#leandre,#clorinde,#damis,#champagne
#cathis #lolotte,16.2,1.0,1.7999999999999998,0.7363636363636361,2.4142857142857146,0.11428571428571424,0.8000000000000002,0.5,0.5,0.3
#broton,1.0,5.0,0.0,0.4090909090909091,0.07142857142857142,0.14285714285714285,0.25,0.1,0.1,0.16666666666666666
#lolotte,1.7999999999999998,0.0,7.199999999999999,2.9454545454545444,0.014285714285714311,0.028571428571428623,0.4500000000000001,0.0,0.0,0.5333333333333334
#cathis,0.7363636363636361,0.4090909090909091,2.9454545454545444,4.049999999999999,0.1876623376623375,0.375324675324675,1.3090909090909093,0.022727272727272728,0.022727272727272728,0.07424242424242429
#victoire,2.4142857142857133,0.07142857142857142,0.014285714285714247,0.18766233766233786,8.450000000000005,0.24693877551020432,0.014285714285714247,0.32142857142857145,0.32142857142857145,0.002380952380952385
#babot,0.11428571428571435,0.14285714285714285,0.028571428571428494,0.3753246753246757,0.24693877551020432,1.800000000000001,1.028571428571428,0.6428571428571429,0.6428571428571429,0.3857142857142856
#leandre,0.8000000000000002,0.25,0.4500000000000001,1.3090909090909093,0.014285714285714311,1.028571428571429,7.199999999999999,0.0,0.0,0.5333333333333334
#clorinde,0.5,0.1,0.0,0.022727272727272728,0.32142857142857145,0.6428571428571429,0.0,11.25,11.25,0.08333333333333333
#clorinde,0.5,0.1,0.0,0.022727272727272728,0.32142857142857145,0.6428571428571429,0.0,11.25,11.25,0.08333333333333333
#champagne,0.30000000000000004,0.16666666666666666,0.533333333333333,0.07424242424242418,0.0023809523809523647,0.38571428571428606,0.533333333333333,0.08333333333333333,0.08333333333333333,14.450000000000001
Successions,#cathis #lolotte,#broton,#lolotte,#cathis,#victoire,#babot,#leandre,#clorinde,#damis,#champagne
#cathis #lolotte,0.0,0.5,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0
#broton,0.023255813953488372,0.0,0.023255813953488372,0.3488372093023256,0.11627906976744186,0.18604651162790697,0.11627906976744186,0.11627906976744186,0.046511627906976744,0.023255813953488372
#lolotte,0.0,0.22727272727272727,0.0,0.5,0.0,0.18181818181818182,0.0,0.045454545454545456,0.0,0.045454545454545456
#cathis,0.023809523809523808,0.21428571428571427,0.23809523809523808,0.0,0.023809523809523808,0.21428571428571427,0.11904761904761904,0.07142857142857142,0.047619047619047616,0.047619047619047616
#victoire,0.038461538461538464,0.15384615384615385,0.0,0.07692307692307693,0.0,0.5384615384615384,0.19230769230769232,0.0,0.0,0.0
#babot,0.0,0.05714285714285714,0.12857142857142856,0.08571428571428572,0.18571428571428572,0.014285714285714285,0.3142857142857143,0.05714285714285714,0.014285714285714285,0.14285714285714285
#leandre,0.0,0.24390243902439024,0.024390243902439025,0.024390243902439025,0.14634146341463414,0.43902439024390244,0.024390243902439025,0.04878048780487805,0.0,0.04878048780487805
#clorinde,0.0,0.25,0.03571428571428571,0.07142857142857142,0.0,0.14285714285714285,0.07142857142857142,0.0,0.42857142857142855,0.0
#damis,0.0,0.11764705882352941,0.0,0.11764705882352941,0.0,0.0,0.0,0.7647058823529411,0.0,0.0
#champagne,0.0,0.0625,0.0,0.125,0.0,0.75,0.0625,0.0,0.0,0.0
