VALEUR,#pasquin,#lisette,#la-fleur,#lisimon,#valere,#lycandre,#isabelle,#philinte,#le-laquais,#le-comte,#monsieur-josse,#valere #isabelle
Fréquences (scènes),0.32,0.48,0.04,0.26,0.18,0.16,0.24,0.1,0.04,0.42,0.04,0.02
Fréquences(répliques),0.11645962732919254,0.21777950310559005,0.022903726708074536,0.13703416149068323,0.0640527950310559,0.11645962732919254,0.07919254658385093,0.036490683229813664,0.006211180124223602,0.18944099378881987,0.01358695652173913,0.00038819875776397513
Confrontation,0.08571428571428572,0.2,0.01904761904761905,0.13333333333333333,0.1,0.06666666666666667,0.1380952380952381,0.02857142857142857,0.009523809523809525,0.1619047619047619,0.02857142857142857,0.02857142857142857
Déviations,#pasquin,#lisette,#la-fleur,#lisimon,#valere,#lycandre,#isabelle,#philinte,#le-laquais,#le-comte,#monsieur-josse,#valere #isabelle
#pasquin,23.119999999999994,0.9352083333333332,2.8899999999999992,1.1215384615384616,2.88,0.12250000000000001,3.84,1.6000000000000003,0.20249999999999999,0.0771428571428571,0.64,0.32
#lisette,0.9352083333333332,13.520000000000001,0.0016666666666666698,0.009230769230769247,5.0699999999999985,0.18374999999999994,3.121111111111112,0.816666666666667,0.96,2.5601587301587303,0.0016666666666666698,0.5633333333333335
#la-fleur,2.8899999999999992,0.0016666666666666698,46.08,0.52,0.36,0.32,0.48,0.20000000000000004,0.08,0.03047619047619049,0.08,0.04
#lisimon,1.1215384615384616,0.009230769230769247,0.52,27.38000000000001,0.18615384615384625,0.0030769230769230826,0.24820512820512816,0.06923076923076925,0.52,0.43435897435897436,4.212307692307692,2.106153846153846
#valere,2.88,5.0699999999999985,0.36,0.18615384615384625,33.62,0.13444444444444442,3.7340740740740737,0.9,0.36,0.8382010582010581,0.36,3.7355555555555564
#lycandre,0.12250000000000001,0.18374999999999994,0.32,0.0030769230769230826,0.13444444444444442,35.279999999999994,0.44083333333333324,0.8000000000000002,0.32,0.12190476190476196,0.32,4.409999999999999
#isabelle,3.84,3.121111111111112,0.48,0.24820512820512816,3.7340740740740737,0.44083333333333324,28.88000000000001,0.03333333333333339,0.48,0.00031746031746031806,4.8133333333333335,2.4066666666666667
#philinte,1.6000000000000003,0.8166666666666665,0.20000000000000004,0.06923076923076925,0.8999999999999999,0.8000000000000002,0.03333333333333332,40.5,3.2000000000000006,0.00476190476190477,0.20000000000000004,0.10000000000000002
#le-laquais,0.20249999999999999,0.96,0.08,0.52,0.36,0.32,0.48,3.2000000000000006,46.08,0.8399999999999999,0.08,0.04
#le-comte,0.0771428571428571,2.5601587301587303,0.03047619047619049,0.43435897435897436,0.8382010582010581,0.12190476190476196,0.00031746031746031806,0.00476190476190477,0.8399999999999999,16.819999999999997,0.03047619047619049,0.8009523809523812
#monsieur-josse,0.64,0.0016666666666666698,0.08,4.212307692307692,0.36,0.32,4.8133333333333335,0.20000000000000004,0.08,0.03047619047619049,46.08,0.04
#valere #isabelle,0.32,0.5633333333333335,0.04,2.106153846153846,3.7355555555555564,4.409999999999999,2.4066666666666667,0.10000000000000002,0.04,0.8009523809523812,0.04,48.019999999999996
Successions,#pasquin,#lisette,#la-fleur,#lisimon,#valere,#lycandre,#isabelle,#philinte,#le-laquais,#le-comte,#monsieur-josse,#valere #isabelle
#pasquin,0.007751937984496124,0.31007751937984496,0.06976744186046512,0.03875968992248062,0.0,0.12403100775193798,0.0,0.0,0.046511627906976744,0.40310077519379844,0.0,0.0
#lisette,0.18552036199095023,0.0,0.02262443438914027,0.11764705882352941,0.16289592760180996,0.22171945701357465,0.2081447963800905,0.03167420814479638,0.0,0.049773755656108594,0.0,0.0
#la-fleur,0.5625,0.375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0625,0.0,0.0
#lisimon,0.040983606557377046,0.19672131147540983,0.0,0.02459016393442623,0.09016393442622951,0.09836065573770492,0.01639344262295082,0.04918032786885246,0.0,0.4180327868852459,0.06557377049180328,0.0
#valere,0.0,0.49382716049382713,0.0,0.1111111111111111,0.0,0.024691358024691357,0.12345679012345678,0.0,0.0,0.24691358024691357,0.0,0.0
#lycandre,0.13861386138613863,0.48514851485148514,0.0,0.1485148514851485,0.019801980198019802,0.009900990099009901,0.0,0.0,0.0,0.19801980198019803,0.0,0.0
#isabelle,0.01098901098901099,0.4945054945054945,0.0,0.03296703296703297,0.13186813186813187,0.01098901098901099,0.0,0.10989010989010989,0.0,0.1978021978021978,0.01098901098901099,0.0
#philinte,0.0,0.16279069767441862,0.0,0.13953488372093023,0.0,0.0,0.2558139534883721,0.0,0.046511627906976744,0.3953488372093023,0.0,0.0
#le-laquais,0.625,0.0,0.0,0.0,0.0,0.0,0.0,0.375,0.0,0.0,0.0,0.0
#le-comte,0.26732673267326734,0.039603960396039604,0.009900990099009901,0.22772277227722773,0.09900990099009901,0.09405940594059406,0.10396039603960396,0.08415841584158416,0.0,0.0,0.06930693069306931,0.0049504950495049506
#monsieur-josse,0.0,0.08695652173913043,0.0,0.391304347826087,0.0,0.0,0.043478260869565216,0.0,0.0,0.4782608695652174,0.0,0.0
#valere #isabelle,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
